Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,Ten (10) nos of bidders have participated.,Manoranjan Behera,16-Aug-2025 12:16 PM,,BOQ Comparative Chart,1.0,3033691.0,GALLOP INFRA SERVICES CONSULTANCY,INR,"1,185,948",Command Area Development-CAD (DOWR)||Jt. Director Survey and Planning,2025_CADSP_116386_2,JDSP-02/2025-26,"Survey and Planning for Command Area Development and Water Management in Dudkijharia MIP of Block - Paikmal, Malkennalla MIP of Block - Gaisilet, Gyan and Khadakhadianalla MIPs of Block - Padampur in Bargarh District.",Sri Pradeep Kumar Mohapatra JD,Internal,Sri M R Behera DD Sri P C Prusty DD Sri D K Pujhari EE Sri S K Panda AEE,Himanshu Sekhar Behera,20-Aug-2025 05:20 PM,finsummary_548168.pdf (484.05 KB),Sri Pradeep Kumar Mohapatra JD,Internal,Sri M R Behera DD Sri P C Prusty DD Sri D K Pujhari EE Sri S K Panda AEE,Himanshu Sekhar Behera,20-Aug-2025 04:07 PM,techsummary_548168.pdf (1502.81 KB),06-Sep-2025,"INR 1,185,948",120.0,Himanshu Sekhar Behera,20-Sep-2025 05:13 PM,Gallop.pdf (2107.00 KB),Through transparent lottery.,1,3035307,Afcones Infratech Private Limited,13-Aug-2025 10:57 PM,Rejected-Technical,Due to non- fulfilling of criteria as per DTCN,20-Aug-2025 04:07 PM,AOC,Deputy Director,"O/O the Joint Director, Survey and Planning, OFMRDC Campus, Satyanagar, Bhubaneswar-7, Odisha",Command Area Development-CAD (DOWR)||Jt. Director Survey and Planning,JDSP-02/2025-26,2025_CADSP_116386_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,04-Aug-2025 11:00 AM,16-Aug-2025 11:00 AM,04-Aug-2025 11:00 AM,14-Aug-2025 05:00 PM,04-Aug-2025 11:00 AM ,08-Aug-2025 05:00 PM ,04-Aug-2025 11:00 AM,14-Aug-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Valid Regd. Cert, GSTIN, PAN card, NRC, affidavit and other Document.",1.0,ICICI BANK,"6,000",Nil,Nil,No,"14,000",Yes,fixed,,Nil,Nil,"Survey and Planning for Command Area Development and Water Management in Dudkijharia MIP of Block - Paikmal, Malkennalla MIP of Block - Gaisilet, Gyan and Khadakhadianalla MIPs of Block - Padampur in Bargarh District.",Survey and Planning for Command Area Development and Water Management,Please refer Tender documents. ,NA ,"13,95,069",Civil Works - Others,NA ,Tender,90.0,120.0,Padampur,768036.0,NA ,NA ,NA ,"O/O JD, S and P, OFMRDC Campus, Satyanagar, BBSR",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3034850,ASIAN GEOTECH RESEARCH SERVICES,13-Aug-2025 03:58 PM,Rejected-AOC,Through transparent lottery.,20-Sep-2025 05:13 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantities,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3034613,D N CONSULTANT,13-Aug-2025 01:33 PM,Rejected-AOC,Through transparent lottery.,20-Sep-2025 05:13 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3033691,GALLOP INFRA SERVICES CONSULTANCY,12-Aug-2025 05:06 PM,Accepted-AOC,Through transparent lottery.,20-Sep-2025 05:13 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3031626,M/S GAYATRI CONSULTANT,11-Aug-2025 03:38 PM,Rejected-AOC,Through transparent lottery.,20-Sep-2025 05:13 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3035759,M/s M K CONSULTANCY,14-Aug-2025 01:40 PM,Rejected-AOC,Through transparent lottery.,20-Sep-2025 05:13 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3034592,NIRAJ BHARAT VANKUDRE,14-Aug-2025 11:03 AM,Rejected-AOC,Through transparent lottery.,20-Sep-2025 05:13 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3036029,Subudhi Technoengineers Pvt Ltd,14-Aug-2025 03:06 PM,Rejected-AOC,Through transparent lottery.,20-Sep-2025 05:13 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3025404,Visiontek Consultancy Services Pvt. Ltd.,14-Aug-2025 12:06 PM,Rejected-AOC,Through transparent lottery.,20-Sep-2025 05:13 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3035200,Water Power Consultants india Pvt Ltd,14-Aug-2025 10:23 AM,Rejected-AOC,Through transparent lottery.,20-Sep-2025 05:13 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
