Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
ST and SC Development Deptt||ITDA Sundergarh,ITDASNG-02/2025-2026,2025_STSCD_113355_19,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,Project Administrator,"ITDA, Sundargarh","11,485",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"License, Pan Card, GSTIN, Affidavits and other documents as per DTCN","6,000",0.0,Nil,Nil,No,16-May-2025 11:00 AM,31-May-2025 11:00 AM,16-May-2025 11:00 AM,30-May-2025 05:00 PM,NA ,NA ,16-May-2025 11:00 AM,30-May-2025 05:00 PM,"Construction of ICT Education and smart learning facility center in Govt. High School, Meghdega in Tangarpali Block","Construction of ICT Education and smart learning facility center in Govt. High School, Meghdega in Tangarpali Block",As per DTCN ,NA ,"11,48,456",Civil Works - Buildings,NA ,Tender,90.0,120.0,Sundargarh,770001.0,NA ,NA ,NA ,"ITDA, Sundargarh",No ,No,1,ICICI BANK,AOC,"Collector, Sundargarh",Internal,"PA, ITDA, Sundargarh, SE, MI Division, Sundargarh, AEE, ITDA, Sundargarh",Dhirendra Kumar Sethy,15-Jul-2025 01:02 PM,finsummary_539261.pdf (321.10 KB),"Collector, Sundargarh",Internal,"PA, ITDA, Sundargarh, SE, MI Division, Sundargarh, AEE, ITDA, Sundargarh",Dhirendra Kumar Sethy,15-Jul-2025 12:32 PM,techsummary_539261.pdf (321.10 KB),1,2930383,M/S GANESHRAM TOPPO,23-May-2025 06:15 PM,Rejected-AOC,NOT QUALIFIED IN LOTTERY,25-Sep-2025 06:48 PM,1.0,2941020.0,PRAYASH SUBHANKAR BHOL,INR,"976,303",ST and SC Development Deptt||ITDA Sundergarh,2025_STSCD_113355_19,ITDASNG-02/2025-2026,"Construction of ICT Education and smart learning facility center in Govt. High School, Meghdega in Tangarpali Block",11-Aug-2025,"INR 976,303",120.0,LAXMAN SAHOO,25-Sep-2025 06:48 PM,ICTMeghdega.pdf (378.00 KB),AOC,Finance,Tender Opened,LAXMAN SAHOO,13-Jul-2025 10:08 PM,finance_539261.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,2,2941020,PRAYASH SUBHANKAR BHOL,29-May-2025 09:49 PM,Accepted-AOC,QUALIFIED IN LOTTERY,25-Sep-2025 06:48 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
