Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
22-Jul-2023 06:55 PM,05-Aug-2023 11:00 AM,22-Jul-2023 06:55 PM,04-Aug-2023 05:00 PM,22-Jul-2023 06:55 PM ,27-Jul-2023 05:00 PM ,22-Jul-2023 06:55 PM,04-Aug-2023 05:00 PM,26-Sep-2023 11:00 AM,1.0,ICICI BANK,"3,78,000",Yes,fixed,,Nil,Nil,"10,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"Online proof copy of tender paper cost and EMD, GSTIN, PAN, RC and Affidavit.",EIC-CIVIL||SERNB-CIRCLE-BOLANGIR,CCE (R and B) BGR-09-2023-24,2023_EICCL_91045_4,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,Construction of 100 bedded Boys Hostel in Odisha Adarsha Vidyalaya at Bibina under Saintala Block in Balangir District.,Building work,Please refer Tender documents. ,NA ,"3,77,97,222",Civil Works - Buildings,NA ,Tender,90.0,330.0,Balangir,767001.0,NA ,NA ,NA ,"O/o CCE, Balangir (R and B) Circle, Balangir",No ,No,"CCE, Balangir (R and B) Circle, Balangir","O/o CCE, Balangir (R and B) Circle, Balangir",AOC,1.0,2193409.0,ASHUTOSH SAHU,INR,"34,021,280",EIC-CIVIL||SERNB-CIRCLE-BOLANGIR,2023_EICCL_91045_4,CCE (R and B) BGR-09-2023-24,Construction of 100 bedded Boys Hostel in Odisha Adarsha Vidyalaya at Bibina under Saintala Block in Balangir District.,B K Pattanaik,Internal,,Basistha Kumar Pattanaik,25-Sep-2023 01:25 PM,26-Sep-2023 11:00 AM,techsummary_444949.pdf (653.46 KB),Roshan tigga,Internal,,Roshan Tigga,08-Aug-2025 04:54 PM,finsummary_444949.pdf (1249.42 KB),16-Sep-2025,"INR 34,021,280",330.0,Tapan Kumar Behera,16-Sep-2025 06:33 PM,agrmt.pdf (719.00 KB),Finance,The Financial bids of 04 (Four) Nos. of bidders are opened for further consideration.,Basistha Kumar Pattanaik,26-Sep-2023 11:19 AM,finance_444949.pdf,BOQ Comparative Chart,Technical,The Technical bids of 05 (Five) Nos. of bidders are opened for further consideration.,Basistha Kumar Pattanaik,05-Aug-2023 11:57 AM,technical_444949.pdf,1,2193409,ASHUTOSH SAHU,03-Aug-2023 06:08 PM,Accepted-AOC,aoc,16-Sep-2025 06:33 PM,AOC
,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,.pdf,Machineries and work Experience.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2194536,Gajanan Agrawal,04-Aug-2023 02:59 PM,Rejected-Finance,as per Dtcn,08-Aug-2025 04:54 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other documents as per DTCN.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2194174,JAI BAJRANGBALI INFRA,03-Aug-2023 06:55 PM,Rejected-Finance,as per Dtcn,08-Aug-2025 04:54 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2194314,M/S SHREE SHYAM INFRA PROP. SRI LOKESH SHARMA,04-Aug-2023 09:57 AM,Rejected-Finance,Lost By Transparent Lottery System,08-Aug-2025 04:54 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2194614,SHAKTI PRASAD THATI,04-Aug-2023 04:50 PM,Rejected-Technical,As per DTCN,25-Sep-2023 01:25 PM,AOC
