EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
"6,05,000",Yes,fixed,,Nil,Nil,1.0,3rd corrigendum,Date,,1.0,Fee/PreQual/Technical,.pdf,"Bid Cost, EMD, RC,PAN, GST, Affidavit regarding correctness, No relation certificate",CE RW I||RWCIRCLE-SUNABEDA,CCERWCSBD Online - 18/2024-25,2025_CERWI_110486_10,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,Chief Construction Engineer,"Rural Works Circle, Sunabeda-1, Near Jagannath Temple, PIN-763001, Dist-Koraput",1.0,ICICI BANK,01-Mar-2025 11:00 AM,13-Mar-2025 11:00 AM,01-Mar-2025 11:00 AM,12-Mar-2025 05:00 PM,01-Mar-2025 11:00 AM ,11-Mar-2025 02:00 PM ,01-Mar-2025 11:00 AM,12-Mar-2025 05:00 PM,01-May-2025 11:00 AM,"10,000",0.0,Nil,Nil,No,"Construction of road from Banamahul to Sagadiapada via Kachharpada, Bhatipada, GP Dalabeda under MMSY-TRIP in the Districts of Nabarangpur for the year 2024-25.","Construction of road from Banamahul to Sagadiapada via Kachharpada, Bhatipada, GP Dalabeda under MMSY-TRIP in the Districts of Nabarangpur for the year 2024-25.",N.A. ,NA ,"6,04,70,000",Civil Works - Roads,NA ,Tender,90.0,272.0,UMERKOTE,764073.0,NA ,NA ,NA ,"Chief Construction Engineer, R.W.Circle, Sunabeda",No ,No,AOC,Technical,bidders name,Prabhakara Behera,26-Mar-2025 09:31 PM,technical_531812.pdf,"Chief Construction Engineer, R.W. Circle, Sunabeda",Internal,"Executive Engineer, DAO, Estimator of Rural Works Division-II, Nabarangpur at Umerkote Estimator R.W. Circle Sunabeda",Prabhakara Behera,02-Sep-2025 07:25 PM,finsummary_531812.pdf (798.87 KB),Finance,cs,Prabhakara Behera,02-Sep-2025 07:21 PM,finance_531812.pdf,BOQ Comparative Chart,"Chief Construction Engineer, R.W. Circle, Sunabeda",Internal,,Prabhakara Behera,28-Apr-2025 10:54 AM,01-May-2025 11:00 AM,techsummary_531812.pdf (975.66 KB),02-Sep-2025,"INR 60,469,798.155",272.0,Prabhakara Behera,02-Sep-2025 07:31 PM,AOCBANAMAHULA.pdf (992.00 KB),"Award of contract to M/S R.B.S. Construction, ""A"" Class Contractor through transparency lottery system",1,2844491,Akbar Ali,07-Mar-2025 12:24 AM,Rejected-AOC,REJECT,02-Sep-2025 07:31 PM,1.0,2851270.0,R.B.S Constructions,INR,"51,405,375.412",CE RW I||RWCIRCLE-SUNABEDA,2025_CERWI_110486_10,CCERWCSBD Online - 18/2024-25,"Construction of road from Banamahul to Sagadiapada via Kachharpada, Bhatipada, GP Dalabeda under MMSY-TRIP in the Districts of Nabarangpur for the year 2024-25.",AOC
,,,,,,2.0,corrigendum-4,Technical Bid,,,,.pdf,"Annual Turn over certificate from CA, Similar nature of Work Certificate",,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2851796,BIKRAM KUMAR GUPTA,12-Mar-2025 01:01 PM,Rejected-AOC,REJECT,02-Sep-2025 07:31 PM,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Machineries and other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2849626,CHANDRA SEKHAR JENA,10-Mar-2025 06:37 PM,Rejected-AOC,REJECT,02-Sep-2025 07:31 PM,,,,,,,,,,AOC
,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2850689,GIRIDHARI LAL AGRAWAL,11-Mar-2025 02:59 PM,Rejected-AOC,REJECT,02-Sep-2025 07:31 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2851574,JAI BAJRANGBALI INFRA,12-Mar-2025 11:10 AM,Rejected-AOC,REJECT,02-Sep-2025 07:31 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2849505,KL INFRABUILD PVT. LTD.,10-Mar-2025 05:13 PM,Rejected-AOC,REJECT,02-Sep-2025 07:31 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2846723,MITTAL INFRAPROJECTS,07-Mar-2025 05:36 PM,Rejected-AOC,REJECT,02-Sep-2025 07:31 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2851270,R.B.S Constructions,11-Mar-2025 10:00 PM,Accepted-AOC,"Award of contract to R.B.S Constructions, A Class Contractor through transparency lottery system",02-Sep-2025 07:31 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2851779,SANAT KUMAR GHOSE,12-Mar-2025 12:12 PM,Rejected-AOC,REJECT,02-Sep-2025 07:31 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2851886,Somnath Patra,12-Mar-2025 01:05 PM,Rejected-AOC,REJECT,02-Sep-2025 07:31 PM,,,,,,,,,,AOC
