Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Divisional Officer,"RURAL WORKS ELECT DIVISION, BHUBANESWAR",Constn.of H.L.Bridge over PURI main canal at Old Cuttack Nuagarh village Smasan under BSY deposited by SERW Dvn.Cuttack vide lr.no.6524.dt.25.6.2025,Constn.of H.L.Bridge over PURI main canal at Old Cuttack Nuagarh village Smasan under BSY deposited by SERW Dvn.Cuttack vide lr.no.6524.dt.25.6.2025,NA ,NA ,"6,01,916",Electrical Works,NA ,Tender,90.0,180.0,Cuttack,754013.0,NA ,NA ,NA ,"RURAL WORKS ELECT DIVISION, BHUBANESWAR",No ,No,"6,019",Yes,percentage,1.0%,Nil,Nil,08-Aug-2025 12:00 PM,19-Aug-2025 01:00 PM,08-Aug-2025 12:00 PM,18-Aug-2025 05:00 PM,08-Aug-2025 12:00 PM ,18-Aug-2025 05:00 PM ,08-Aug-2025 12:00 PM,18-Aug-2025 05:00 PM,1,ICICI BANK,CE RW I||RW Electrical Circle Bhubaneswar||RW Electrical Division Bhubaneswar,EERWELBBSR 08/2025-26,2025_CERWI_116547_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"4,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,DOCUMENT AS PER DTCN,AOC,23-Sep-2025,"INR 511,689",180.0,Chudamani Sethi,25-Sep-2025 12:20 PM,3407.pdf (334.00 KB),M/s Kalyani Electricals and Construction has deposited requisite amount of APS and ISD,1,3040209,MS KALYANI ELECTRICALS AND CONSTRUCTION,18-Aug-2025 03:27 PM,Accepted-AOC,M/s Kalyani Electricals and Construction has deposited requisite amount of APS and ISD,25-Sep-2025 12:20 PM,"Executive Engineer, R.W EL.DIVN.BBSR",Internal,"Executive Engineer, D.A.O-II, and Estimator of R.W EL.DIVN.BBSR",Chudamani Sethi,06-Sep-2025 12:43 PM,techsummary_548531.pdf (399.68 KB),CE RW I||RW Electrical Circle Bhubaneswar||RW Electrical Division Bhubaneswar,2025_CERWI_116547_1,EERWELBBSR 08/2025-26,Constn.of H.L.Bridge over PURI main canal at Old Cuttack Nuagarh village Smasan under BSY deposited by SERW Dvn.Cuttack vide lr.no.6524.dt.25.6.2025,"Executive Engineer, R.W EL.DIVN.BBSR",Internal,"Executive Engineer, D.A.O-II, and Estimator of R.W EL.DIVN.BBSR",Chudamani Sethi,23-Sep-2025 04:50 PM,finsummary_548531.pdf (393.49 KB),Finance,2nos bidders participated in the tender,Chudamani Sethi,22-Aug-2025 04:02 PM,finance_548531.pdf,BOQ Comparative Chart,1.0,3040209.0,MS KALYANI ELECTRICALS AND CONSTRUCTION,INR,"511,689",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,.xls,Boq,AOC,,,,,,,,2,3038988,PHASE AND CONTROL,17-Aug-2025 11:08 AM,Rejected-Finance,Looser on lottery,23-Sep-2025 04:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
