S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
1.0,2263170.0,Manjula Pradhan,INR,"694,700",Finance,attached,Panchanan Sethy,21-Sep-2025 08:27 PM,finance_459446.pdf,BOQ Comparative Chart,CHAIRPERSON,Internal,"Tahasildar, Executive Officer Municipal Engineer,Junior Enginner,Accountant",Panchanan Sethy,21-Sep-2025 08:36 PM,finsummary_459446.pdf (2257.52 KB),Municipal Bodies||Polasara NAC,2023_ORULB_93911_18,NAC/PLS-02/2023-24,Construction of Fish Market main drain from PWD main drain to house of Manmohan Gouda of N.A.C Polasara,CHAIRPERSON,Internal,"Tahasildar, Executive Officer Municipal Engineer,Junior Enginner,Accountant",Panchanan Sethy,21-Sep-2025 08:31 PM,techsummary_459446.pdf (2257.52 KB),1,2262753,A ROJARANI,20-Sep-2023 03:41 PM,Rejected-AOC,highest,21-Sep-2025 08:45 PM,21-Sep-2025,"INR 588,739.86",60.0,Panchanan Sethy,21-Sep-2025 08:45 PM,aoc18.pdf (269.00 KB),AOC,"5,887",Yes,fixed,,Nil,Nil,1,ICICI BANK,"4,720",0.0,Nil,Nil,No,Municipal Bodies||Polasara NAC,NAC/PLS-02/2023-24,2023_ORULB_93911_18,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Construction of Fish Market main drain from PWD main drain to house of Manmohan Gouda of N.A.C Polasara,Construction of Fish Market main drain from PWD main drain to house of Manmohan Gouda of N.A.C Polasara,Please refer Tender documents. ,NA ,"5,88,739",Civil Works - Others,NA ,Tender,90.0,60.0,NAC AREA OF NAC POLASARA,761105.0,NA ,NA ,NA ,NAC OFFICE NAC POLASARA,No ,No,EXECUTIVE OFFICER NAC POLASARA,"NOTIFIED AREA COUNCIL POLASARA,NEAR BUS STAND,MAIN ROAD,POLASARA",1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,08-Sep-2023 11:00 AM,25-Sep-2023 11:00 AM,08-Sep-2023 11:00 AM,22-Sep-2023 05:30 PM,08-Sep-2023 11:00 AM ,22-Sep-2023 05:30 PM ,08-Sep-2023 11:00 AM,22-Sep-2023 05:30 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2263170,Manjula Pradhan,20-Sep-2023 06:32 PM,Accepted-AOC,lowest,21-Sep-2025 08:45 PM,,,,,,,AOC,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,AOC
