S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No.1,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,1stcorrigendum.,Other,,EIC-CIVIL||SERNB-CIRCLE-BOLANGIR||EERNB-DIVISION-KHARIAR,SERNBKHR - 02 /2025-26,2025_EICCL_114005_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Tender paper cost,EMD,RC,PAN,VAT,GSTIN,Affidavit and other document as per DTCN.",1.0,ICICI BANK,"10,000",0.0,Nil,Nil,No,31-May-2025 10:00 AM,11-Jun-2025 11:30 AM,31-May-2025 10:00 AM,10-Jun-2025 05:00 PM,31-May-2025 10:00 AM ,10-Jun-2025 05:00 PM ,31-May-2025 10:00 AM,10-Jun-2025 05:00 PM,07-Jul-2025 11:30 AM,"Construction of Office-cum-residence of the Junior Engineer,Komna RNB Section, Nuapada in the premises of Nuapada RNB Sub-Division in the district of Nuapada for the year 2025-26.","Construction of Office-cum-residence of the Junior Engineer,Komna RNB Section, Nuapada in the premises of Nuapada RNB Sub-Division in the district of Nuapada for the year 2025-26.",Please refer Tender documents. ,NA ,"50,41,965",Civil Works - Buildings,Construction of Office-cum-residence  ,Tender,90.0,180.0,Nuapada,766105.0,NA ,NA ,NA ,"O/o SE,Khariar RandB Division,Khariar",No ,No,"50,500",Yes,fixed,,Nil,Nil,"SE,Khariar RandB Division,Khariar","O/o SE,Khariar RandB Division,Khariar",AOC,"Er.SasankaSekharSukla,S.E.",Internal,"DilipkumarShaw,DAO.Er.SukantaGardia,AEE,Estimator",Sukanta Gardia,14-Jul-2025 08:54 PM,finsummary_541650.pdf (114.74 KB),Technical,Bid Opening Summary,Sukanta Gardia,04-Jul-2025 08:13 PM,technical_541650.pdf,EIC-CIVIL||SERNB-CIRCLE-BOLANGIR||EERNB-DIVISION-KHARIAR,2025_EICCL_114005_1,SERNBKHR - 02 /2025-26,"Construction of Office-cum-residence of the Junior Engineer,Komna RNB Section, Nuapada in the premises of Nuapada RNB Sub-Division in the district of Nuapada for the year 2025-26.",1.0,2958723.0,CHITRA SEN PRADHAN,INR,"4,286,174.32",08-Sep-2025,"INR 4,286,174.32",180.0,Sukanta Gardia,17-Sep-2025 04:38 PM,Aoc2.pdf (244.00 KB),AWARD OF CONTRACT,1,2955219,BIBHUDATTA JOSHI,09-Jun-2025 12:48 PM,Rejected-AOC,Not successful through transparent lottery process.,17-Sep-2025 04:39 PM,Finance,Bid Opening Summary,Sukanta Gardia,14-Jul-2025 08:45 PM,finance_541650.pdf,BOQ Comparative Chart,"Er.SasankaSekharSukla,S.E.",Internal,"DilipkumarShaw,DAO.Er.SukantaGardia,AEE,Estimator",Sukanta Gardia,04-Jul-2025 09:16 PM,07-Jul-2025 11:30 AM,techsummary_541650.pdf (30.63 KB),AOC
,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity.,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2958723,CHITRA SEN PRADHAN,10-Jun-2025 12:02 AM,Accepted-AOC,Successful through transparent lottery process and awarded the work,17-Sep-2025 04:39 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2954809,DOLAMANI BIBHAR,09-Jun-2025 10:20 AM,Rejected-AOC,Not successful through transparent lottery process.,17-Sep-2025 04:39 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2955185,NIRAJ SINGH THAKUR,09-Jun-2025 04:40 PM,Rejected-AOC,Not successful through transparent lottery process.,17-Sep-2025 04:39 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2956021,Prasanna Kumar Mahana,08-Jun-2025 09:32 AM,Rejected-AOC,Not successful through transparent lottery process.,17-Sep-2025 04:39 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2958079,PRINCE KUMAR GUPTA,09-Jun-2025 05:03 PM,Rejected-AOC,Not successful through transparent lottery process.,17-Sep-2025 04:39 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2956676,RAHUL BOSE,08-Jun-2025 08:18 PM,Rejected-AOC,Not successful through transparent lottery process.,17-Sep-2025 04:39 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2958743,SANJIB KUMAR HOTA,09-Jun-2025 11:24 PM,Rejected-AOC,Not successful through transparent lottery process.,17-Sep-2025 04:39 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2957721,SANTOSH AGRAWAL,09-Jun-2025 04:01 PM,Rejected-AOC,Not successful through transparent lottery process.,17-Sep-2025 04:39 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2957603,SHRESTH CONSTRUCTION,10-Jun-2025 01:29 PM,Rejected-AOC,Not successful through transparent lottery process.,17-Sep-2025 04:39 PM,,,,,,,,,,,,,,AOC
