S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,ICICI BANK,S/R to Sanskruti Bhawan to PWD I.B. via Forestd office Chhak in Ward No. 01 and 03 such as SDBC with partia BM in stretches from 0.000 Km to 0.960 Km in the District of Mayurbhanj for the year 2025-26,S/R to Sanskruti Bhawan to PWD I.B. via Forestd office Chhak in Ward No. 01 and 03 such as SDBC with partia BM in stretches from 0.000 Km to 0.960 Km in the District of Mayurbhanj for the year 2025-26,Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,90.0,30.0,Baripada,757001.0,NA ,NA ,NA ,O/o the SE Mayurbhanj (R and B) Division Baripada,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC, EMD. GSTIN, PAN, Affidavit, Machinery and other required documents as per DTCN","19,000",Yes,fixed,,Nil,Nil,EIC-CIVIL||SERNB-CIRCLE-EASTERN||EERNB-DIVN-BARIPADA,Bid Id No. SE- 32/2025-26,2025_EICCL_117198_8,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,22-Aug-2025 10:00 AM,30-Aug-2025 11:00 AM,22-Aug-2025 10:00 AM,29-Aug-2025 05:00 PM,NA ,NA ,22-Aug-2025 10:00 AM,29-Aug-2025 05:00 PM,"6,000",0.0,Nil,Nil,No,SE Mayurbhanj (R and B) Division Baripada,O/o the SE Mayurbhanj (R and B) Division Baripada,AOC,Er Rohan Gourav Ray,Internal,"Er Rohan Gourav Ray SE, Sri J.J.S.G Richards Sr DAO, Sri R. Kishan AEE Estimator",Ansuman Mohapatra,24-Sep-2025 06:32 PM,finsummary_550194.pdf (366.41 KB),EIC-CIVIL||SERNB-CIRCLE-EASTERN||EERNB-DIVN-BARIPADA,2025_EICCL_117198_8,Bid Id No. SE- 32/2025-26,S/R to Sanskruti Bhawan to PWD I.B. via Forestd office Chhak in Ward No. 01 and 03 such as SDBC with partia BM in stretches from 0.000 Km to 0.960 Km in the District of Mayurbhanj for the year 2025-26,1.0,3048160.0,LIJINA BARIK,INR,"1,615,184",Finance,Bid opened,Ansuman Mohapatra,24-Sep-2025 06:21 PM,finance_550194.pdf,BOQ Comparative Chart,1,3052712,Akshay Kumar Rout,29-Aug-2025 11:53 AM,Rejected-Technical,Bid documents are invalid,24-Sep-2025 06:26 PM,24-Sep-2025,"INR 1,615,184",30.0,Ansuman Mohapatra,24-Sep-2025 06:35 PM,Agmt_0001.pdf (365.00 KB),Agreement drawn,Er Rohan Gourav Ray,Internal,"Er Rohan Gourav Ray SE, Sri J.J.S.G Richards Sr DAO, Sri R. Kishan AEE Estimator",Ansuman Mohapatra,24-Sep-2025 06:26 PM,techsummary_550194.pdf (278.62 KB),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3045602,BIVASH KUMAR ROUT,29-Aug-2025 01:49 AM,Rejected-Technical,Bid documents are invalid,24-Sep-2025 06:26 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3051881,JINMAY BISWAL,28-Aug-2025 09:44 AM,Rejected-Finance,L1 tenderer but could not win the transparent lottery context,24-Sep-2025 06:32 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3048160,LIJINA BARIK,27-Aug-2025 01:48 PM,Accepted-AOC,Work order issued,24-Sep-2025 06:35 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3053641,MADHUSMITA SAMAL,29-Aug-2025 06:48 AM,Rejected-Finance,L1 tenderer but could not win the transparent lottery context,24-Sep-2025 06:32 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3054035,MANORANJAN SETHI,29-Aug-2025 04:47 PM,Rejected-Finance,L1 tenderer but could not win the transparent lottery context,24-Sep-2025 06:32 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3053623,PALLABI PALBABU,29-Aug-2025 03:46 PM,Rejected-Technical,Bid documents are invalid,24-Sep-2025 06:26 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3053371,Pradyumna kumar rout,29-Aug-2025 04:52 PM,Rejected-Technical,Bid documents are invalid,24-Sep-2025 06:26 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3051536,Raj Kiran Rout,27-Aug-2025 06:18 PM,Rejected-Finance,L1 tenderer but could not win the transparent lottery context,24-Sep-2025 06:32 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3045453,RUDRA NARAYAN PALATA,26-Aug-2025 04:16 PM,Rejected-Finance,L1 tenderer but could not win the transparent lottery context,24-Sep-2025 06:32 PM,,,,,,,,,,,,,,AOC
