S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,"Additional CE, RB Basin, Berhampur","Office of the Additional CE, RB Basin Berhampur PIN 760004","6,29,500",Yes,fixed,,Nil,Nil,"CE-BM,RVN Basin,Berhampur||S.E. Southern Irr. Circle I Berhampur","ACE,RBB-16/2024-25",2025_CEBMB_111522_2,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,Improvement to LFB of river Padma near village Srirampalli,Improvement to LFB of river Padma near village Srirampalli,Please refer Tender documents. ,NA ,"6,29,49,627",Civil Works - Others,NA ,Tender,90.0,330.0,Aska,761110.0,NA ,NA ,NA ,"Office of the Additional CE, RB Basin, Berhampur",No ,No,11-Mar-2025 10:00 AM,26-Mar-2025 11:30 AM,11-Mar-2025 10:00 AM,25-Mar-2025 05:00 PM,11-Mar-2025 10:00 AM ,20-Mar-2025 05:00 PM ,11-Mar-2025 10:00 AM,25-Mar-2025 05:00 PM,16-May-2025 11:30 AM,"10,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"Tender Paper Cost, EMD, GSTIN, PAN, Contractor RC",AOC,1,2867672,Debendra Chandra Mohanty,25-Mar-2025 11:57 AM,Rejected-Finance,Loser of the lottery,03-Jul-2025 04:06 PM,01-Aug-2025,"INR 53,513,478",330.0,Rajib Kumar Pandit,09-Sep-2025 01:36 PM,Srirampalli.pdf (5652.00 KB),"Awarded to Sri Prakash chandra Sahu, vide Agt No.335P1 of 2025-26 of Bhanjanagar Irr. Division, Bhanjanagar",Finance,Downloaded Successfully,Rajib Kumar Pandit,03-Jul-2025 02:02 PM,,BOQ Comparative Chart,"Rajib Kumar Pandit, Additional Chief Engineer",Internal,,Rajib Kumar Pandit,14-May-2025 05:59 PM,16-May-2025 11:30 AM,techsummary_532805.pdf (323.25 KB),"Rajib Kumar Pandit, Addl.CE",Internal,,Rajib Kumar Pandit,03-Jul-2025 04:06 PM,finsummary_532805.pdf (1139.03 KB),Technical,Downloaded Successfully,Rajib Kumar Pandit,14-May-2025 05:41 PM,,"CE-BM,RVN Basin,Berhampur||S.E. Southern Irr. Circle I Berhampur",2025_CEBMB_111522_2,"ACE,RBB-16/2024-25",Improvement to LFB of river Padma near village Srirampalli,1.0,2866689.0,Prakash Chandra Sahu,INR,"53,513,478",AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit under taking, declaring no Relationship with Department officials",AOC,2,2867653,Er. Shashanka sekhar patro,25-Mar-2025 11:53 AM,Rejected-Finance,Loser of the lottery,03-Jul-2025 04:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,And any other documents as per SBD and DTCN,AOC,3,2867573,Ganesh Sahu,25-Mar-2025 08:22 AM,Rejected-Finance,Loser of the lottery,03-Jul-2025 04:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,4,2861573,Jyoti Prakash Misra,18-Mar-2025 04:23 PM,Rejected-Finance,Loser of the lottery,03-Jul-2025 04:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2867586,Krushna Prasad Swain,25-Mar-2025 09:01 AM,Rejected-Finance,Loser of the lottery,03-Jul-2025 04:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,2863528,Lipsa Rani Patra,21-Mar-2025 12:39 PM,Rejected-Finance,Loser of the lottery,03-Jul-2025 04:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,2862374,M/s Bajarangi Construction,20-Mar-2025 08:37 PM,Rejected-Finance,Loser of the lottery,03-Jul-2025 04:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,2863830,Pabitra Kumar Muni,24-Mar-2025 01:13 PM,Rejected-Finance,Loser of the lottery,03-Jul-2025 04:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,2867631,PRABIN KUMAR DALABEHERA,25-Mar-2025 11:31 AM,Rejected-Technical,Non responsive and Disqualified,14-May-2025 05:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,2866689,Prakash Chandra Sahu,24-Mar-2025 01:46 PM,Accepted-AOC,Winner of lottery,09-Sep-2025 01:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
