S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,2851508.0,SP INFRA PROJECTS,INR,"60,421,348.86",CE RW I||RWCIRCLE-SUNABEDA,2025_CERWI_110486_8,CCERWCSBD Online - 18/2024-25,Construction of Road from Tohra to Jogidongri under MMSY-TRIP in the Districts of Nabarangpur for the year 2024-25.,Technical,bidders name,Prabhakara Behera,26-Mar-2025 09:20 PM,technical_531808.pdf,"Chief Construction Engineer, R.W. Circle, Sunabeda",Internal,"Executive Engineer, DAO, Estimator of Rural Works Division-II, Nabarangpur at Umerkote Estimator R.W. Circle Sunabeda",Prabhakara Behera,02-Sep-2025 07:05 PM,finsummary_531808.pdf (713.08 KB),"Chief Construction Engineer, R.W. Circle, Sunabeda",Internal,,Prabhakara Behera,28-Apr-2025 10:41 AM,01-May-2025 11:00 AM,techsummary_531808.pdf (975.66 KB),Finance,cs,Prabhakara Behera,02-Sep-2025 06:59 PM,finance_531808.pdf,BOQ Comparative Chart,02-Sep-2025,"INR 71,075,578",367.0,Prabhakara Behera,02-Sep-2025 07:12 PM,AOCJOGIDONGRI.pdf (925.00 KB),"Award of contract to M/S S.P. Infra Projects, A Class Contractor through transparency lottery system",1,2844480,Akbar Ali,07-Mar-2025 12:08 AM,Rejected-AOC,REJECT,02-Sep-2025 07:12 PM,AOC,01-Mar-2025 11:00 AM,13-Mar-2025 11:00 AM,01-Mar-2025 11:00 AM,12-Mar-2025 05:00 PM,01-Mar-2025 11:00 AM ,11-Mar-2025 02:00 PM ,01-Mar-2025 11:00 AM,12-Mar-2025 05:00 PM,01-May-2025 11:00 AM,"10,000",0.0,Nil,Nil,No,Chief Construction Engineer,"Rural Works Circle, Sunabeda-1, Near Jagannath Temple, PIN-763001, Dist-Koraput",1.0,ICICI BANK,1.0,3rd corrigendum,Date,,Construction of Road from Tohra to Jogidongri under MMSY-TRIP in the Districts of Nabarangpur for the year 2024-25.,Construction of Road from Tohra to Jogidongri under MMSY-TRIP in the Districts of Nabarangpur for the year 2024-25.,N.A. ,NA ,"7,10,76,000",Civil Works - Roads,NA ,Tender,90.0,367.0,UMERKOTE,764073.0,NA ,NA ,NA ,"Chief Construction Engineer, R.W.Circle, Sunabeda",No ,No,1.0,Fee/PreQual/Technical,.pdf,"Bid Cost, EMD, RC,PAN, GST, Affidavit regarding correctness, No relation certificate",CE RW I||RWCIRCLE-SUNABEDA,CCERWCSBD Online - 18/2024-25,2025_CERWI_110486_8,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"7,11,000",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2846939,ALOK KUMAR BISOYI,11-Mar-2025 03:50 PM,Rejected-AOC,REJECT,02-Sep-2025 07:12 PM,AOC,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,2.0,corrigendum-4,Technical Bid,,,,,,,,,,,,,,,,,,,,,,.pdf,"Annual Turn over certificate from CA, Similar nature of Work Certificate",,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2852427,ANUP BUILDERS,12-Mar-2025 04:47 PM,Rejected-AOC,REJECT,02-Sep-2025 07:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machineries and other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2850921,BIKRAM KUMAR GUPTA,12-Mar-2025 02:35 AM,Rejected-AOC,REJECT,02-Sep-2025 07:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2849438,CHANDRA SEKHAR JENA,12-Mar-2025 08:22 AM,Rejected-AOC,REJECT,02-Sep-2025 07:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2843201,Gopal Haldar,03-Mar-2025 08:54 PM,Rejected-AOC,REJECT,02-Sep-2025 07:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2852389,JAY PRAKASH SHARMA,12-Mar-2025 04:50 PM,Rejected-AOC,REJECT,02-Sep-2025 07:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2845728,KAMAL HALDAR,06-Mar-2025 01:14 PM,Rejected-AOC,REJECT,02-Sep-2025 07:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2852005,Malaya Bisoyi,12-Mar-2025 01:50 PM,Rejected-AOC,REJECT,02-Sep-2025 07:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2852309,M/s Tara Tarini Constructions Pvt. Ltd.,12-Mar-2025 04:16 PM,Rejected-AOC,REJECT,02-Sep-2025 07:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2846795,Niranjan Swain,12-Mar-2025 12:56 AM,Rejected-AOC,REJECT,02-Sep-2025 07:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2847757,RASMITA SWAIN,11-Mar-2025 10:28 PM,Rejected-AOC,REJECT,02-Sep-2025 07:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,2851809,SANAT KUMAR GHOSE,12-Mar-2025 12:25 PM,Rejected-AOC,REJECT,02-Sep-2025 07:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,2851840,Somnath Patra,12-Mar-2025 12:51 PM,Rejected-AOC,REJECT,02-Sep-2025 07:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2851508,SP INFRA PROJECTS,12-Mar-2025 10:26 AM,Accepted-AOC,"Award of contract to M/S S.P. Infra Projects, A Class Contractor through transparency lottery system",02-Sep-2025 07:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,2846600,SURJIT NANDY,12-Mar-2025 12:31 PM,Rejected-AOC,REJECT,02-Sep-2025 07:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
