S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Stage
1.0,2907101.0,KAMAL LOCHAN NAIK,INR,"11,266,672",Finance,Total No of 11 nos of bidder participated and all are accepted for technical and financial evaluation process.,Sunil Kumar Prusty,08-May-2025 09:26 AM,,BOQ Comparative Chart,BERCIUS DUNGDUNG,Internal,,Maheswar Padhan,04-Sep-2025 08:54 PM,finsummary_536804.pdf (113.50 KB),Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Bargarh||BARGARH Block,2025_PRBBR_112564_1,"Bid Identification No. 01/2025-26, Office Of The Panchayat Samiti Bargarh","Construction of Proposed Girls Hostel Building Parbati Giri Womens College, Bargarh for the year 2025-26",BERCIUS DUNGDUNG,Internal,,Maheswar Padhan,04-Sep-2025 08:49 PM,techsummary_536804.pdf (113.50 KB),04-Sep-2025,"INR 11,266,672",270.0,Maheswar Padhan,04-Sep-2025 08:58 PM,AOCcollege.pdf (114.00 KB),1,2896462,ANISHKA ENTERPRISES,04-May-2025 06:46 PM,Rejected-Technical,Not furnished,04-Sep-2025 08:49 PM,AOC,"10,000",Nil,Nil,No,1.0,ICICI BANK,"Construction of Proposed Girls Hostel Building Parbati Giri Womens College, Bargarh for the year 2025-26",Building work (Civil),Please refer the tender documents ,NA ,"1,12,79,079",Civil Works - Buildings,NA ,Tender,90.0,270.0,Bargarh,768028.0,NA ,NA ,NA ,O/o the Panchayat Samiti Bargarh,No ,No,"1,12,791",Yes,fixed,,Nil,Nil,O/o the Panchayat Samiti Bargarh,"O/o the Panchayat Samiti Bargarh, Near S.P Office Bargargh",Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Bargarh||BARGARH Block,"Bid Identification No. 01/2025-26, Office Of The Panchayat Samiti Bargarh",2025_PRBBR_112564_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,21-Apr-2025 11:00 AM,07-May-2025 11:00 AM,21-Apr-2025 11:00 AM,06-May-2025 05:00 PM,21-Apr-2025 11:00 AM ,06-May-2025 05:00 PM ,21-Apr-2025 11:00 AM,06-May-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"EMD, Tender cost, GSTIN, PAN card and valid contract registration certificate and others as per DTCN",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2906768,DEEPAK RANJAN DASH,05-May-2025 07:48 PM,Rejected-Finance,NOT FURNISHED,04-Sep-2025 08:54 PM,AOC,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of quantity,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2904697,JYOTSNA BHOI,03-May-2025 07:16 PM,Rejected-Technical,Not furnished,04-Sep-2025 08:49 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2904052,KABITA DASH,02-May-2025 07:55 PM,Rejected-Technical,Not furnished,04-Sep-2025 08:49 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2907101,KAMAL LOCHAN NAIK,06-May-2025 12:16 PM,Accepted-AOC,1ST LOWEST,04-Sep-2025 08:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2907168,Kamal Tandi,06-May-2025 12:56 PM,Rejected-Technical,Not furnished,04-Sep-2025 08:49 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2905952,M/S SIFAN KUMAR DASH,05-May-2025 12:55 PM,Rejected-Technical,Not furnished,04-Sep-2025 08:49 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2906705,prem ku rath,05-May-2025 06:36 PM,Rejected-Technical,Not furnished,04-Sep-2025 08:49 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2904510,SUBRAT KUMAR PANDA,03-May-2025 05:02 PM,Rejected-Technical,Not furnished,04-Sep-2025 08:49 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2905270,SUMAN SAHA,05-May-2025 01:20 PM,Rejected-Technical,Not furnished,04-Sep-2025 08:49 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
