Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Construction of BT road from PWD main to Ramakrishna Mission in ward no-13,Civil Work,Please refer to Tender Documents ,NA ,"10,71,612",Civil Works - Roads,NA ,Tender,180.0,90.0,Umerkote Municipality,764073.0,NA ,NA ,NA ,Umerkote Municipality,No ,No,1,ICICI BANK,Municipal Bodies||Umerkote Municipality,EO-UKTM-01/2023-24(4),2023_ORULB_87636_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,"10,717",No,fixed,,Nil,Nil,07-Apr-2023 10:00 AM,18-Apr-2023 11:00 AM,07-Apr-2023 10:00 AM,17-Apr-2023 05:00 PM,NA ,NA ,07-Apr-2023 10:00 AM,17-Apr-2023 05:00 PM,Executive Officer,Umerkote Municipality,1.0,Fee/PreQual/Technical/Finance,.pdf,"DTCN,Regd Certificates,GSTIN,PAN etc..",AOC,Smt. RADHA BHATRA,Internal,Chairperson Umerkote Municipality BDO Umerkote E.O Umerkote Municipality M.E Umerkote Municipality J.E Umerkote Municipality Accountant Umerkote Municipality,ALAK KUMAR ANUGULIA,01-Sep-2025 12:55 PM,techsummary_433382.pdf (406.36 KB),1.0,2115199.0,AJAYA KUMAR BEHERA,INR,"964,558",Municipal Bodies||Umerkote Municipality,2023_ORULB_87636_1,EO-UKTM-01/2023-24(4),Construction of BT road from PWD main to Ramakrishna Mission in ward no-13,1.0,2115199.0,AJAYA KUMAR BEHERA,17-Apr-2023 04:48 PM,Accepted-AOC,qualified as L1 bidder.....,01-Sep-2025 01:48 PM,01-Sep-2025,"INR 964,558",90.0,Aswini Kumar Patnaik,01-Sep-2025 01:47 PM,AOC.pdf (215.00 KB),AOC awarded to AJAYA KUMAR BEHERA qualified as L1 in bidding......,Smt. RADHA BHATRA,Internal,Chairperson Umerkote Municipality BDO Umerkote E.O Umerkote Municipality M.E Umerkote Municipality J.E Umerkote Municipality Accountant Umerkote Municipality,ALAK KUMAR ANUGULIA,01-Sep-2025 01:28 PM,finsummary_433382.pdf (406.36 KB),Finance,Single bid found.....,Manoj Kumar Patra,26-Apr-2023 01:27 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
