S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,2971609.0,DEBADATTA NANDA,INR,"1,440,097",Finance,DOWNLOADED FOR FINAL SCRUTINY,Kuldeep Kumar,26-Jun-2025 03:57 PM,finance_541253.pdf,BOQ Comparative Chart,"Chairperson, Rayagada Municipality",Internal,,Bulu Sethy,17-Sep-2025 08:01 PM,finsummary_541253.pdf (521.78 KB),Municipal Bodies||Rayagada Municipality,2025_ORULB_113894_6,RGDA-MUN-01/2025-26,"Construction of Storm water drain at Wealth center near PHD pump house in ward no-03, under Rayagada Municipality.","Chairperson, Rayagada Muncipality",Internal,,Bulu Sethy,17-Sep-2025 07:50 PM,techsummary_541253.pdf (521.78 KB),17-Sep-2025,"INR 1,440,097",30.0,Bulu Sethy,17-Sep-2025 08:06 PM,6.pdf (1216.00 KB),1,2972274,AJAYA KUMAR RATH,18-Jun-2025 03:41 PM,Rejected-Finance,Not qualified in lottery process,17-Sep-2025 08:01 PM,AOC,"Construction of Storm water drain at Wealth center near PHD pump house in ward no-03, under Rayagada Municipality.","Construction of Storm water drain at Wealth center near PHD pump house in ward no-03, under Rayagada Municipality.",Please refer Tender documents. ,NA ,"16,94,032",Civil Works - Others,NA ,Rate Contract,90.0,30.0,RAYAGADA,765001.0,NA ,NA ,NA ,RAYAGADA MUNICIPALITY,No ,No,1.0,ICICI BANK,30-May-2025 11:30 AM,19-Jun-2025 11:30 AM,30-May-2025 11:30 AM,18-Jun-2025 05:30 PM,NA ,NA ,30-May-2025 11:30 AM,18-Jun-2025 05:30 PM,Municipal Bodies||Rayagada Municipality,RGDA-MUN-01/2025-26,2025_ORULB_113894_6,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,EXECUTIVE OFFICER,RAYAGADA MUNICIPALITY,"16,940",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,LICENSE EMD PAPER COST GST ETC,"6,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2970611,AJIT KUMAR SENAPATI,17-Jun-2025 01:40 PM,Rejected-Finance,Not qualified in lottery process,17-Sep-2025 08:01 PM,AOC,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2970681,AMBIKA GOUDA,17-Jun-2025 01:37 PM,Rejected-Finance,Not qualified in lottery process,17-Sep-2025 08:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2972154,ANJAN SABAT,18-Jun-2025 02:03 PM,Rejected-Finance,Not qualified in lottery process,17-Sep-2025 08:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2968665,DAMBARUDHAR MAJHI,16-Jun-2025 12:52 PM,Rejected-Finance,Not qualified in lottery process,17-Sep-2025 08:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2971609,DEBADATTA NANDA,18-Jun-2025 10:53 AM,Accepted-AOC,Qualified,17-Sep-2025 08:06 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2963804,DILLIP KUMAR SAHU,13-Jun-2025 05:47 PM,Rejected-Finance,Not qualified in lottery process,17-Sep-2025 08:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2971995,DURJADHANA MAJHI,18-Jun-2025 01:29 PM,Rejected-Finance,Not qualified in lottery process,17-Sep-2025 08:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2966089,GITANJALI BEHERA,13-Jun-2025 06:58 PM,Rejected-Finance,Not qualified in lottery process,17-Sep-2025 08:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2972045,GOPAL KHURA,18-Jun-2025 01:29 PM,Rejected-Finance,Not qualified in lottery process,17-Sep-2025 08:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
