Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Orissa Lift Irrigation Corporation||LI Southern Circle Berhampur||LI Division Berhampur,03/2025-26 OLIC (BAM),2025_OLIC_112805_18,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Copy of Registration Certificate, PAN, GSTIN, Cost of Bid Online,EMD and JV Details as per DTCN",28-Apr-2025 12:00 PM,09-May-2025 12:00 PM,28-Apr-2025 12:00 PM,08-May-2025 05:00 PM,28-Apr-2025 12:00 PM ,07-May-2025 05:00 PM ,28-Apr-2025 12:00 PM,08-May-2025 05:00 PM,"4,720",0.0,Nil,Nil,No,Kaudia-I T/W,Revival and Energisation L.I. Project,Please refer Tender documents ,NA ,"8,64,000",Civil Works - Lift Irrigation Schemes,Lift Irrigation Projects ,Tender,365.0,90.0,Kaudia under Sanakhemundi Block,760006.0,NA ,NA ,NA ,"O/o Executive Engineer, L.I. Division, Berhampur",No ,No,"Executive Engineer, L.I. Division, Berhampur","O/o of the Executive Engineer, L.I. Division, Berhampur, 1st Gate, Berhampur, Po- Panigrahy Pentho, Dist- Ganjam, Odisha, Pin-760006",1.0,ICICI BANK,"8,640",Yes,percentage,1.0%,Nil,Nil,AOC,"Executive Engineer,L.I.Division,Berhampur",Internal,"Estimator,L.I.Division,Berhampur,Divisional Accountant,L.I.Division,Berhampur",AJAY KUMAR MAHAKUD,29-Sep-2025 04:11 PM,finsummary_537582.pdf (407.10 KB),Orissa Lift Irrigation Corporation||LI Southern Circle Berhampur||LI Division Berhampur,2025_OLIC_112805_18,03/2025-26 OLIC (BAM),Kaudia-I T/W,1.0,2909184.0,Pramod Kumar Ghadei,INR,"863,997.5",Finance,Two Bidder are Admitted,Sibarama Panda,14-May-2025 12:44 PM,,BOQ Comparative Chart,1.0,2909350.0,PRAFULLA KUMAR PADHY,08-May-2025 02:59 PM,Rejected-AOC,Reject,29-Sep-2025 04:19 PM,29-Sep-2025,"INR 1,019,517",90.0,AJAY KUMAR MAHAKUD,29-Sep-2025 04:18 PM,PKG18.pdf (1326.00 KB),Awarded,"Executive Engineer,L.I.Division,Berhampur",Internal,"Estimator,L.I.Division,Berhampur,Divisional Accountant,L.I.Division,Berhampur",AJAY KUMAR MAHAKUD,29-Sep-2025 11:58 AM,techsummary_537582.pdf (407.10 KB),AOC
,,,,,,,,,,,,,,,,.pdf,"Affidavit, Registration Documents of JV, Forms- A to G etc as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2.0,2909184.0,Pramod Kumar Ghadei,08-May-2025 02:02 PM,Accepted-AOC,Accept,29-Sep-2025 04:19 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
