S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
1,ICICI BANK,"10,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-BERHAMPUR,Online Tender/16-2024-25/BPR,2025_CERWI_109521_32,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,18-Jan-2025 09:00 AM,28-Jan-2025 11:00 AM,18-Jan-2025 09:00 AM,27-Jan-2025 05:30 PM,18-Jan-2025 09:00 AM ,24-Jan-2025 05:30 PM ,18-Jan-2025 09:00 AM,27-Jan-2025 05:30 PM,30-Jun-2025 11:00 AM,"Chief Construction Engineer, R.W.Circle, BAM","O/O Chief Construction Engineer, RWC, BAM Near Income Tax Office Ambapua-11","6,10,900",Yes,fixed,,Nil,Nil,1,Fee/PreQual/Technical,.pdf,"Affidavit,GSTIN,PAN,RC,Annual Turnover,experience,machinery and other papers as per DTCN","Improvement to Raipalli to Gopinathpur via Nattapalli, Dhanajaypur, Krushnapalli, Gajpadar, Chandipatna and Narayanpatna road in the District of Ganjam under MMSY-Improvement to Existing RD Road for the year 2024-25","Improvement to Raipalli to Gopinathpur via Nattapalli, Dhanajaypur, Krushnapalli, Gajpadar, Chandipatna and Narayanpatna road in the District of Ganjam under MMSY-Improvement to Existing RD Road for the year 2024-25",Please refer Tender documents. ,NA ,"6,10,90,000",Civil Works - Roads,NA ,Tender,90.0,270.0,Bhanjanagar,760011.0,NA ,NA ,NA ,"O/O Chief Construction Engineer, R.W.Circle, BAM",No ,No,AOC,Finance,Documents to be verified,Lopamudra Dalai,03-Jul-2025 12:57 PM,finance_526314.pdf,BOQ Comparative Chart,"Er. K.Ch.Khatua, CCE, RWC, BAM",Internal,"Junior Engineer,R.W.Circle,BAM P.A. to CCE,R.W.Circle, BAM SE,R.W.Divn-II,Gm,BAM",Lopamudra Dalai,20-Jun-2025 07:02 PM,30-Jun-2025 11:00 AM,techsummary_526314.pdf (3175.20 KB),Technical,Documents to be verified,Lopamudra Dalai,11-Jun-2025 05:34 PM,technical_526314.pdf,"Er. K.Ch.Khatua, CCE, RWC, BAM",Internal,,Lopamudra Dalai,17-Jul-2025 06:03 PM,finsummary_526314.pdf (565.43 KB),04-Sep-2025,"INR 63,526,693",270.0,Lopamudra Dalai,12-Sep-2025 03:14 PM,Raipalli.pdf (1518.00 KB),1,2778461,MS JAYARAM PRADHAN,27-Jan-2025 01:14 PM,Accepted-AOC,1st Lowest,12-Sep-2025 03:14 PM,1.0,2778461.0,MS JAYARAM PRADHAN,INR,"63,526,693",CE RW I||RWCIRCLE-BERHAMPUR,2025_CERWI_109521_32,Online Tender/16-2024-25/BPR,"Improvement to Raipalli to Gopinathpur via Nattapalli, Dhanajaypur, Krushnapalli, Gajpadar, Chandipatna and Narayanpatna road in the District of Ganjam under MMSY-Improvement to Existing RD Road for the year 2024-25",AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2779888,R.B.S Constructions,27-Jan-2025 11:08 AM,Rejected-AOC,2nd Lowest,12-Sep-2025 03:14 PM,,,,,,,,,,AOC
