Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage
Finance,Tender Opened,LAXMAN SAHOO,13-Jul-2025 09:25 PM,finance_539250.pdf,BOQ Comparative Chart,12-Aug-2025,"INR 975,729",120.0,LAXMAN SAHOO,26-Sep-2025 11:46 AM,LAHANDABUDICT.pdf (317.00 KB),AOC,ST and SC Development Deptt||ITDA Sundergarh,2025_STSCD_113355_14,ITDASNG-02/2025-2026,"Construction of ICT Education and smart learning facility center in Govt. SSD High School, Lahandabud under Sundargarh Block",1.0,2940643.0,JIWAN PRAKASH MINZ,INR,"975,729",1,2937411,BHAGABATI SOHELA,30-May-2025 12:49 PM,Rejected-AOC,NOT QUALIFIED IN LOTTERY,26-Sep-2025 11:46 AM,"Collector, Sundargarh",Internal,"PA, ITDA, Sundargarh, SE, MI Division, Sundargarh, AEE, ITDA, Sundargarh",Dhirendra Kumar Sethy,15-Jul-2025 05:58 PM,techsummary_539250.pdf (484.91 KB),"Collector, Sundargarh",Internal,"PA, ITDA, Sundargarh, SE, MI Division, Sundargarh, AEE, ITDA, Sundargarh",Dhirendra Kumar Sethy,15-Jul-2025 06:01 PM,finsummary_539250.pdf (484.91 KB),AOC,"6,000",0.0,Nil,Nil,No,Project Administrator,"ITDA, Sundargarh",16-May-2025 11:00 AM,31-May-2025 11:00 AM,16-May-2025 11:00 AM,30-May-2025 05:00 PM,NA ,NA ,16-May-2025 11:00 AM,30-May-2025 05:00 PM,ST and SC Development Deptt||ITDA Sundergarh,ITDASNG-02/2025-2026,2025_STSCD_113355_14,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"Construction of ICT Education and smart learning facility center in Govt. SSD High School, Lahandabud under Sundargarh Block","Construction of ICT Education and smart learning facility center in Govt. SSD High School, Lahandabud under Sundargarh Block",As per DTCN ,NA ,"11,47,781",Civil Works - Buildings,NA ,Tender,90.0,120.0,Sundargarh,770001.0,NA ,NA ,NA ,"ITDA, Sundargarh",No ,No,"11,478",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"License, Pan Card, GSTIN, Affidavits and other documents as per DTCN",AOC
,,,,,,,,,,,,,,,,,,,,,,2,2930307,EPHREMILATA JOJO,23-May-2025 05:16 PM,Rejected-AOC,NOT QUALIFIED IN LOTTERY,26-Sep-2025 11:46 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BOQ,AOC
,,,,,,,,,,,,,,,,,,,,,,3,2940643,JIWAN PRAKASH MINZ,29-May-2025 05:49 PM,Accepted-AOC,QUALIFIED IN LOTTERY,26-Sep-2025 11:46 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4,2934994,Karttik Sing,27-May-2025 01:39 PM,Rejected-AOC,NOT QUALIFIED IN LOTTERY,26-Sep-2025 11:46 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5,2941033,LAXMIKANTA MALLICK,29-May-2025 05:10 PM,Rejected-AOC,NOT QUALIFIED IN LOTTERY,26-Sep-2025 11:46 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,6,2930372,M/S GANESHRAM TOPPO,23-May-2025 06:13 PM,Rejected-AOC,NOT QUALIFIED IN LOTTERY,26-Sep-2025 11:46 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,7,2943597,PANCHAMI TAJAN,30-May-2025 04:10 PM,Rejected-AOC,NOT QUALIFIED IN LOTTERY,26-Sep-2025 11:46 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,8,2940983,PRAYASH SUBHANKAR BHOL,29-May-2025 09:53 PM,Rejected-AOC,NOT QUALIFIED IN LOTTERY,26-Sep-2025 11:46 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,9,2933558,RABINDRA MEHER,27-May-2025 12:20 PM,Rejected-AOC,NOT QUALIFIED IN LOTTERY,26-Sep-2025 11:46 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,10,2937104,RAJAN BUDA(S.C),28-May-2025 11:56 AM,Rejected-AOC,NOT QUALIFIED IN LOTTERY,26-Sep-2025 11:46 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
