Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Cuttack,2062-8,2025_OSCSC_115735_1,Yes,Open Tender,Percentage,Services,2.0,No,No,Online,No,No,No,"1,31,860",No,fixed,,Nil,Nil,"5,900",0.0,Nil,Nil,No,1.0,ICICI BANK,19-Jul-2025 03:00 PM,04-Aug-2025 11:30 AM,19-Jul-2025 04:00 PM,02-Aug-2025 05:30 PM,NA ,NA ,19-Jul-2025 04:00 PM,02-Aug-2025 05:30 PM,20-Aug-2025 12:00 PM,1.0,Fee/PreQual/Technical,.pdf,NIT N DTCN FOR SELECTION N APPOINTMENT OF LEVEL-II TRANSPORT CONTRACTOR OF KANTAPADA UNIT FOR FY 25-,TENDER FOR SELECTION N APPOINTMENT OF LEVEL-II TRANSPORT CONTRACTOR OF KANTAPADA UNIT FOR FY 25-27,TENDER FOR TRANSPORTING RICE FROM RRC -CUM- DSC TO FPS POINTS KANTAPADA UNIT FOR THE FY 2025-27,PL REFER TO TENDER DOCUMENTS ,NA ,,Handling and Transportation,NA ,Tender,180.0,608.0,WITHIN CUTTACK DISTRICT,753002.0,"OFFICE OF CCSO-CUM-DM, OSCSC LTD., CUTTACK ","OFFICE OF CCSO-CUM-DM, OSCSC LTD., COLLECTORATE, CUTTACK  ",21-Jul-2025 11:30 AM ,"OFFICE OF CCSO-CUM-DM, OSCSC LTD., CUTTACK",No ,No,"OFFICE OF CCSO-CUM-DM, OSCSC LTD., CUTTACK","OFFICE OF CCSO-CUM-DM, OSCSC LTD., COLLECTORATE, CUTTACK",AOC,"COLLECTOR, CUTTACK",Internal,"ADM DEV, CUTTACK, RTO, CUTTACK, DLO, CUTTACK DSWO, CUTTACK CCSO CUM DM, OSCSC LTD., CUTTACK",K CHANDRA SEKHAR PATRA,20-Sep-2025 05:53 PM,finsummary_546475.pdf (1059.73 KB),Technical,All bidders are admitted to Technical Evaluation.,K CHANDRA SEKHAR PATRA,04-Aug-2025 05:04 PM,,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Cuttack,2025_OSCSC_115735_1,2062-8,TENDER FOR SELECTION N APPOINTMENT OF LEVEL-II TRANSPORT CONTRACTOR OF KANTAPADA UNIT FOR FY 25-27,1.0,3018028.0,AJAYA KUMAR PRUSTY,INR,30.61,1,3018028,AJAYA KUMAR PRUSTY,01-Aug-2025 05:23 PM,Accepted-AOC,The bidder is awarded the contract to act as L-II Transport Contractor for lifting of PDS Commodities of Kantapada Unit @ Rs. 30.61 per Quintal.,22-Sep-2025 05:13 PM,22-Sep-2025,"INR 2,637,192.35",608.0,K CHANDRA SEKHAR PATRA,22-Sep-2025 05:11 PM,2456KANTAPADALIIAKPRUSTY.pdf (755.00 KB),The Bidder Ajay Kumar Prusty is awarded the contract to act as Level-II transport contractor of Kantapada Unit for the Year 2025-27,Finance,All bidders are admitted to Financial Evaluation,K CHANDRA SEKHAR PATRA,20-Aug-2025 07:55 PM,,BOQ Comparative Chart,"COLLECTOR, CUTTACK",Internal,"RTO, CUTTACK, DSWO, CUTTACK, DLO, CUTTACK, CHIEF CSO CUM DM, OSCSC LTD, CUTTACK",K CHANDRA SEKHAR PATRA,18-Aug-2025 12:48 PM,20-Aug-2025 12:00 PM,techsummary_546475.pdf (1211.20 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,2.0,Finance,.xls,BOQ FOR SELECTION N APPOINTMENT OF LEVEL-II TRANSPORT CONTRACTOR OF KANTAPADA UNIT FOR FY 25-27,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,3021034,ALL INDIA CARRIERS,02-Aug-2025 02:01 AM,Rejected-Finance,LOWER BIDDING RATE BY BIDDER BUT NOT WINNING IN LOTTERY,20-Sep-2025 05:53 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,3018438,ANSHURAJ ASSOCIATES,02-Aug-2025 12:12 PM,Rejected-Technical,"DUE TO INSUFFICIENT DOCUMENTS, THE BIDDER IS NOT QUALIFIED FOR FINANCIAL BID",18-Aug-2025 12:48 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4,3021406,NAYAK BROTHERS,02-Aug-2025 01:17 PM,Rejected-Finance,LOWER BIDDING RATE BY BIDDER BUT NOT WINNING IN LOTTERY,20-Sep-2025 05:53 PM,,,,,,,,,,,,,,,,,,,,,AOC
