Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"7,080",0.0,Nil,Nil,No,13-Jun-2025 01:00 PM,08-Jul-2025 11:30 AM,13-Jun-2025 01:00 PM,07-Jul-2025 05:00 PM,NA ,NA ,13-Jun-2025 01:00 PM,07-Jul-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender cost, EMD remitted on line mode, GST, PAN,Contractor valid R.C and Labour license as per DTCN","24,200",Yes,fixed,,Nil,Nil,Renovation of Crematorium at Belgadia under Baripada Municipality,Renovation of Crematorium at Belgadia under Baripada Municipality,As per DTCN ,NA ,"24,14,407",Civil Works - Others,NA ,Tender,120.0,90.0,Baripada Municipality,757001.0,NA ,NA ,NA ,Baripada Municipality,No ,No,"Executive Officer,Baripada Municipality","Executive Officer,Baripada Municipality",Municipal Bodies||Baripada Municipality,BPDM-6 OF 2025/2026,2025_ORULB_114441_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,AOC,"Sapan Kumar Sahu, Executive Officer, Baripada Municipality",Internal,"Municipal Engineer, Baripada Municipality, Asst CT and GST Officer,Baripada Tahasilda Baripada Executive Officer, Baripada Municipality Chairperson, Baripada Municipality",JADABENDRA MOHAPATRA,03-Sep-2025 06:12 PM,finsummary_543034.pdf (2005.53 KB),Municipal Bodies||Baripada Municipality,2025_ORULB_114441_1,BPDM-6 OF 2025/2026,Renovation of Crematorium at Belgadia under Baripada Municipality,1.0,2985633.0,SAPAN KUMAR PANDA,INR,"2,421,935",Finance,The 19 nos of bidders have participated and the all the documents will be produced before the the Tender Committee.,JADABENDRA MOHAPATRA,12-Jul-2025 09:06 AM,,BOQ Comparative Chart,1,2991673,ABHAS DEY,07-Jul-2025 04:13 PM,Rejected-Finance,Rejected due to not L1 in Lottery Process.,03-Sep-2025 06:12 PM,03-Sep-2025,"INR 2,421,935",120.0,JADABENDRA MOHAPATRA,03-Sep-2025 06:24 PM,AgreementCrematoriumBelgadia.pdf (2687.00 KB),ok,"Sapan Kumar Sahu, Executive Officer, Baripada Municipality",Internal,"Municipal Engineer, Baripada Municipality, Asst CT and GST Officer,Baripada Tahasilda Baripada Executive Officer, Baripada Municipality Chairperson, Baripada Municipality",JADABENDRA MOHAPATRA,03-Sep-2025 05:40 PM,techsummary_543034.pdf (1970.13 KB),AOC
,,,,,,,,,,,,,,,.pdf,"Affidavits,undertakings and any other documents as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,2,2986181,AJIT KUMAR DAS,03-Jul-2025 12:38 PM,Rejected-Finance,Rejected due to not L1 in Lottery Process.,03-Sep-2025 06:12 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,2991459,AJIT PATTNAIK,06-Jul-2025 06:28 PM,Rejected-Finance,Rejected due to not L1 in Lottery Process.,03-Sep-2025 06:12 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,2991822,CHANDRAKANTA SETHI,07-Jul-2025 02:38 PM,Rejected-Finance,Rejected due to not L1 in Lottery Process.,03-Sep-2025 06:12 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,2991772,DEBASMITA BHUJABAL,07-Jul-2025 01:13 PM,Rejected-Finance,Rejected due to not L1 in Lottery Process.,03-Sep-2025 06:12 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,2992289,JOYTI RANJAN UPADHYAY,07-Jul-2025 03:23 PM,Rejected-Finance,Rejected due to not L1 in Lottery Process.,03-Sep-2025 06:12 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,2991636,LALIT KUMAR SEN,07-Jul-2025 11:13 AM,Rejected-Finance,Rejected due to not L1 in Lottery Process.,03-Sep-2025 06:12 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,2986194,LIPSITA PARIDA,03-Jul-2025 12:26 PM,Rejected-Finance,Rejected due to not L1 in Lottery Process.,03-Sep-2025 06:12 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,2991236,MD. ISLAM,06-Jul-2025 12:58 PM,Rejected-Finance,Rejected due to not L1 in Lottery Process.,03-Sep-2025 06:12 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,2991227,MOHOMOD SHADAB,06-Jul-2025 12:46 PM,Rejected-Finance,Rejected due to not L1 in Lottery Process.,03-Sep-2025 06:12 PM,,,,,,,,,,,,,,AOC
