Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
"Executive Engineer, R.W EL.DIVN.BBSR",Internal,"Executive Engineer, D.A.O-II, and Estimator of R.W EL.DIVN.BBSR",Chudamani Sethi,01-Sep-2025 02:04 PM,techsummary_546686.pdf (429.73 KB),20-Sep-2025,"INR 1,999,333",180.0,Chudamani Sethi,20-Sep-2025 05:35 PM,3036ab.pdf (395.00 KB),Abhilash Pradhan has deposited requisite amount of APS and ISD,1,3016100,ABHILASH PRADHAN,29-Jul-2025 11:05 AM,Accepted-AOC,Abhilash Pradhan has deposited requisite amount of APS and ISD,20-Sep-2025 05:35 PM,1.0,3016100.0,ABHILASH PRADHAN,INR,"1,999,333",Finance,10 nos bidders of participated in the tender,Chudamani Sethi,04-Aug-2025 01:18 PM,finance_546686.pdf,BOQ Comparative Chart,"Executive Engineer, R.W EL.DIVN.BBSR",Internal,"Executive Engineer, D.A.O-II, and Estimator of R.W EL.DIVN.BBSR",Chudamani Sethi,20-Sep-2025 05:31 PM,finsummary_546686.pdf (664.03 KB),CE RW I||RW Electrical Circle Bhubaneswar||RW Electrical Division Bhubaneswar,2025_CERWI_115800_3,EERWELBBSR 06/ 2025-26,") Provn. of 45 KW Roof top Solar System at Cuttack (Cuttack Circle 20 KW , Cuttack-I Division 15 KW , Cuttack-II Division 10 KW, )",AOC,") Provn. of 45 KW Roof top Solar System at Cuttack (Cuttack Circle 20 KW , Cuttack-I Division 15 KW , Cuttack-II Division 10 KW, )",") Provn. of 45 KW Roof top Solar System at Cuttack (Cuttack Circle 20 KW , Cuttack-I Division 15 KW , Cuttack-II Division 10 KW, )",Please refer Tender documents. ,NA ,"23,51,880",Electrical Works,NA ,Tender,90.0,180.0,Cuttack,753100.0,NA ,NA ,NA ,E. E. R.W EL.DIVN.BBSR At- Divn. Complex Rasulgarh,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Valid license copy ,GST certificate ,PAN card , EMD, Tender paper cost",22-Jul-2025 12:00 PM,30-Jul-2025 01:00 PM,22-Jul-2025 12:00 PM,29-Jul-2025 05:00 PM,NA ,NA ,22-Jul-2025 12:00 PM,29-Jul-2025 05:00 PM,1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,"23,519",Yes,percentage,1.0%,Nil,Nil,CE RW I||RW Electrical Circle Bhubaneswar||RW Electrical Division Bhubaneswar,EERWELBBSR 06/ 2025-26,2025_CERWI_115800_3,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,E. E. R.W EL.DIVN.BBSR At- Divn. Complex Rasulgarh,E. E. R.W EL.DIVN.BBSR At- Divn. Complex Rasulgarh,AOC
,,,,,,,,,,,,,2,3015546,AJANTA ENTERPRISES,28-Jul-2025 05:15 PM,Rejected-Finance,Looser on Lottery,20-Sep-2025 05:31 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit for correctness, no relation certificate",,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,3,3015726,Ampere india associates,29-Jul-2025 12:34 PM,Rejected-Finance,Looser on Lottery,20-Sep-2025 05:31 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,4,3015826,CHAKADOLA ELECTRICAL,28-Jul-2025 08:04 PM,Rejected-Finance,Looser on Lottery,20-Sep-2025 05:31 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,5,3016079,Kapaacon Enterprises Pvt Ltd,29-Jul-2025 03:38 PM,Rejected-Technical,"Not qualified, due to other than L1",01-Sep-2025 02:04 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,6,3015620,MKS ASSOCIATES,28-Jul-2025 05:52 PM,Rejected-Technical,"Not qualified, due to other than L1",01-Sep-2025 02:04 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,7,3011275,M/S ALEKHA MAHIMA ELECTRICALS,29-Jul-2025 12:55 PM,Rejected-Finance,Looser on Lottery,20-Sep-2025 05:31 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,8,3016702,ONE STEP SOLUTIONS,29-Jul-2025 02:55 PM,Rejected-Finance,Looser on Lottery,20-Sep-2025 05:31 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,9,3016519,SANTOSH KUMAR MOHANTY,29-Jul-2025 01:31 PM,Rejected-Technical,"Not qualified, due to other than L1",01-Sep-2025 02:04 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,10,3016117,Sk Mohammed Wajuddin,29-Jul-2025 10:01 AM,Rejected-Finance,Looser on Lottery,20-Sep-2025 05:31 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
