S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage
1.0,2973304.0,Softech Systems,INR,"3,314,079",Orissa Lift Irrigation Corporation||LI Western Circle Bhawanipatna||LI Division Bolangir,2025_OLIC_114438_3,OLIC-BLGR-01/2025-26,"Revival of Banjipali-III, Ghuchepali-IV and Latsar-IV defunct L.I.Projects under Agalpur Block (State Plan Fund)",EE,Internal,EE and others,APARNA MISHRA,27-Sep-2025 05:28 PM,techsummary_543035.pdf (201.20 KB),Finance,12 Nos. bidder participated,APARNA MISHRA,27-Sep-2025 05:26 PM,finance_543035.pdf,BOQ Comparative Chart,EE,Internal,EE and others,APARNA MISHRA,27-Sep-2025 05:34 PM,finsummary_543035.pdf (201.20 KB),27-Sep-2025,"INR 3,898,458",90.0,APARNA MISHRA,27-Sep-2025 05:40 PM,3.pdf (1017.00 KB),Success on Lottery System,1,2978930,ACHYUTANAND RAUT,24-Jun-2025 11:48 AM,Rejected-Finance,Unsuccess on Lottery System,27-Sep-2025 05:34 PM,AOC,17-Jun-2025 11:00 AM,25-Jun-2025 11:00 AM,17-Jun-2025 11:00 AM,24-Jun-2025 05:00 PM,17-Jun-2025 11:00 AM ,23-Jun-2025 05:00 PM ,17-Jun-2025 11:00 AM,24-Jun-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC, PAN, GSTIN, AFFIDAVIT, EMD, PAPER COST, NO RELATION CERTIFICATE AND OTHER DOCUMENTS AS PER DTCN",Orissa Lift Irrigation Corporation||LI Western Circle Bhawanipatna||LI Division Bolangir,OLIC-BLGR-01/2025-26,2025_OLIC_114438_3,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"7,080",0.0,Nil,Nil,No,"Revival of Banjipali-III, Ghuchepali-IV and Latsar-IV defunct L.I.Projects under Agalpur Block (State Plan Fund)","Revival of Banjipali-III, Ghuchepali-IV and Latsar-IV defunct L.I.Projects under Agalpur Block (State Plan Fund)",Please refer Tender documents. ,NA ,"38,98,458",Civil Works - Lift Irrigation Schemes,NA ,Tender,90.0,90.0,BALANGIR,767002.0,NA ,NA ,NA ,"O/O. the E.E., L.I. Division, Balangir",No ,No,1.0,ICICI BANK,"38,985",Yes,percentage,1.0%,Nil,Nil,"E.E., L.I. Division, Balangir","O/O. the E.E., L.I. Division, Balangir",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2977752,BIJAYA KUMAR JAIN,24-Jun-2025 02:16 PM,Rejected-Finance,Unsuccess on Lottery System,27-Sep-2025 05:34 PM,AOC,,,,,,,,,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2978595,BISHAL AGRAWALLA,23-Jun-2025 10:32 PM,Rejected-Finance,Unsuccess on Lottery System,27-Sep-2025 05:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2978168,DEBADATTA KHAMARI,24-Jun-2025 12:31 PM,Rejected-Finance,Unsuccess on Lottery System,27-Sep-2025 05:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2974912,Dukhanasana Sethi,24-Jun-2025 11:07 AM,Rejected-Finance,Unsuccess on Lottery System,27-Sep-2025 05:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2978071,NILESH KUMAR JAIN,23-Jun-2025 09:33 PM,Rejected-Finance,Unsuccess on Lottery System,27-Sep-2025 05:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2978240,PRASANTA KUMAR RATH,23-Jun-2025 04:05 PM,Rejected-Finance,Unsuccess on Lottery System,27-Sep-2025 05:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2978963,RATHA MEHER,24-Jun-2025 12:31 PM,Rejected-Finance,Unsuccess on Lottery System,27-Sep-2025 05:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2978102,REBATI RAMAN SAHU,23-Jun-2025 01:07 PM,Rejected-Finance,Unsuccess on Lottery System,27-Sep-2025 05:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2979197,SARAT CHANDRA MAHAPATRA,24-Jun-2025 03:14 PM,Rejected-Finance,Unsuccess on Lottery System,27-Sep-2025 05:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
