Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"4,000",0.0,Nil,Nil,No,"7,100",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,24-Jun-2025 11:00 AM,04-Jul-2025 11:00 AM,24-Jun-2025 11:00 AM,03-Jul-2025 05:00 PM,NA ,NA ,24-Jun-2025 11:00 AM,03-Jul-2025 05:00 PM,"PH works(SI,SD AND WS) to Sub centre building at Kansar of Saitala block in Balangir Dist in the F.Y.-2023-24.","PH works(SI,SD AND WS) to Sub centre building at Kansar of Saitala block in Balangir Dist in the F.Y.-2023-24.",Please refer Tender documents. ,NA ,"7,05,005",Civil Works - Buildings,NA ,Tender,90.0,NA ,Kansar,767032.0,NA ,NA ,NA ,"O/O EE RW (PH) DIVISION ,BBSR",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Valid License Document as per tender class of contractor in NIT, GST, Certificate, PAN Card","EE RW (PH) DIVISION,BBSR","SE RW (PH) DIVISION,BBSR BEHIND ESPLANDE MALL,RASULGARH,751010",CE RW I||SE RW PH CIRCLE BBSR||EE RW PH DIVN. BBSR,EERWPH-15/2025-26,2025_CERWI_114506_24,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,Executive Engineer,Internal,,Anil Kumar Das,18-Jul-2025 01:10 PM,techsummary_543809.pdf (375.15 KB),Executive Engineer,Internal,,Anil Kumar Das,03-Sep-2025 02:11 PM,finsummary_543809.pdf (59.94 KB),Finance,COMPARATIVE STATEMENT,Anil Kumar Das,07-Jul-2025 12:20 PM,finance_543809.pdf,BOQ Comparative Chart,03-Sep-2025,"INR 599,324",90.0,Anil Kumar Das,04-Sep-2025 03:24 PM,5022.pdf (306.00 KB),CE RW I||SE RW PH CIRCLE BBSR||EE RW PH DIVN. BBSR,2025_CERWI_114506_24,EERWPH-15/2025-26,"PH works(SI,SD AND WS) to Sub centre building at Kansar of Saitala block in Balangir Dist in the F.Y.-2023-24.",1.0,2984922.0,GOURI MEHER,INR,"599,324",1,2984986,ANIL KHANDAI,01-Jul-2025 12:57 PM,Rejected-Finance,Not Qualified in Transparency lottery,03-Sep-2025 02:11 PM,AOC
,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"EMD, Tender Paper cost, Affidavit for correctness and no Relation Certificate",,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2987403,ANMOL AGRAWAL,03-Jul-2025 01:21 PM,Rejected-Finance,Not Qualified in Transparency lottery,03-Sep-2025 02:11 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2987880,ASHOK KUMAR JOSHI,03-Jul-2025 03:38 PM,Rejected-Finance,Not Qualified in Transparency lottery,03-Sep-2025 02:11 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2984922,GOURI MEHER,01-Jul-2025 11:47 AM,Accepted-AOC,Qualified in Transparency lottery,04-Sep-2025 03:24 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2986243,LOKANATH MAJHI,02-Jul-2025 07:09 PM,Rejected-Finance,Not Qualified in Transparency lottery,03-Sep-2025 02:11 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2987932,NILU KUMAR DANG,03-Jul-2025 04:28 PM,Rejected-Finance,Not Qualified in Transparency lottery,03-Sep-2025 02:11 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2986309,NIRMALA BEHERA,02-Jul-2025 12:50 PM,Rejected-Finance,Not Qualified in Transparency lottery,03-Sep-2025 02:11 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2987022,PARAME ADJUAD,02-Jul-2025 08:05 PM,Rejected-Finance,Not Qualified in Transparency lottery,03-Sep-2025 02:11 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2982244,PRADEEP KUMAR SAHOO,30-Jun-2025 04:15 PM,Rejected-Finance,Not Qualified in Transparency lottery,03-Sep-2025 02:11 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2985634,RAHUL KUMAR SAHU,01-Jul-2025 07:09 PM,Rejected-Finance,Not Qualified in Transparency lottery,03-Sep-2025 02:11 PM,AOC
