EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
"57,400",Yes,fixed,,Nil,Nil,1,ICICI BANK,"Regular repair and maintenance of roads in Ward 28, 35, 36, 40, 41 and 42 of Bhubaneswar Municipal Corporation (BMC) Area.","Regular repair and maintenance of roads in Ward 28, 35, 36, 40, 41 and 42 of Bhubaneswar Municipal Corporation (BMC) Area.",Please refer Tender documents. ,NA ,"57,32,567",Civil Works - Roads,NA ,Tender,120.0,180.0,BMC AREA,751022.0,"CITY ENGINEER CHAMBER,BMC ","CITY ENGINEER CHAMBER,BMC,ICOMC TOWER ",14-Oct-2024 11:30 AM ,"CENTRAL TENDERCELL,BMC",No ,No,"10,000",0.0,Nil,Nil,No,"EXECUTIVE ENGINEER CENTRAL TENDERCELL,BMC","CENTRAL TENDERCELL,BMC,ICOMC TOWER,BMC",Municipal Bodies||Bhubaneswar Municipal Corporation,BMC-EE-Tender Cell-25/2024-25 Dt. 04.10.2024,2024_ORULB_105488_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,scanned copy of all documents,07-Oct-2024 04:00 PM,18-Oct-2024 11:30 AM,07-Oct-2024 04:00 PM,17-Oct-2024 04:00 PM,07-Oct-2024 04:00 PM ,13-Oct-2024 04:00 PM ,07-Oct-2024 04:00 PM,17-Oct-2024 04:00 PM,10-Jun-2025 12:30 PM,AOC,Municipal Bodies||Bhubaneswar Municipal Corporation,2024_ORULB_105488_2,BMC-EE-Tender Cell-25/2024-25 Dt. 04.10.2024,"Regular repair and maintenance of roads in Ward 28, 35, 36, 40, 41 and 42 of Bhubaneswar Municipal Corporation (BMC) Area.",Technical,one bids opened successfully,Lipsa Parida,09-Jun-2025 11:17 AM,technical_508787.pdf,City Engineer,Internal,"EECENTRALTENDERCELL,EEDIVISIONIII,EEDRAINAGEDIVISION,DYASSTCOMMISSIONER(LEGAL),CHIEFFINACEOFFICER",Lipsa Parida,16-Sep-2025 04:11 PM,finsummary_508787.pdf (534.20 KB),1.0,2580204.0,Lokanath Mohanty,INR,"5,750,441",1.0,2580204.0,Lokanath Mohanty,17-Oct-2024 12:00 PM,Accepted-AOC,L1 bidder,16-Sep-2025 04:16 PM,16-Sep-2025,"INR 5,750,441",180.0,Lipsa Parida,16-Sep-2025 04:16 PM,workorder_25_2.pdf (272.00 KB),City Engineer,Internal,"EECENTRALTENDERCELL,EEDIVISIONIII,EEDRAINAGEDIVISION,DYCOMMISSIONER(LEGAL),CHIEFFINACEOFFICER",Lipsa Parida,10-Jun-2025 10:54 AM,10-Jun-2025 12:30 PM,techsummary_508787.pdf (249.93 KB),Finance,1 bid opened successfully,Lipsa Parida,10-Jun-2025 12:56 PM,finance_508787.pdf,BOQ Comparative Chart,AOC
,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,boq,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
