S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Cost, EMD, RC, GSTIN, PAN, NRC and other documents as per DTCN",Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Jajpur||BADCHANA Block,Tenderonline01 BAD/2025-26/2845/22.05.2025,2025_PRBCN_113919_11,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"12,000",Yes,fixed,,Nil,Nil,"6,000",Nil,Nil,No,BDO Barchana,PANCHAYAT SAMITI OFFICE BARCHANA,Const of Maliahuda Anganwadi centre(AWC) Building,AWC building,Please refer Tender documents. ,NA ,"11,28,467",Civil Works - Buildings,NA ,Tender,90.0,180.0,"Badachana GP, Badachana",754296.0,NA ,NA ,NA ,PANCHAYAT SAMITI OFFICE BARCHANA,No ,No,30-May-2025 09:00 AM,09-Jun-2025 11:30 AM,30-May-2025 09:00 AM,09-Jun-2025 11:00 AM,30-May-2025 09:00 AM ,09-Jun-2025 10:00 AM ,30-May-2025 09:00 AM,09-Jun-2025 11:00 AM,AOC,BDO BADACHANA,Internal,"BFO, AEE, SO, CP,AE/ JE Concerned of Barchana Block",Parthasarathi Panda,05-Sep-2025 07:27 PM,finsummary_541479.pdf (1053.68 KB),BDO BADACHANA,Internal,"BFO, AEE, SO, CP,AE/ JE Concerned of Barchana Block",Parthasarathi Panda,12-Aug-2025 04:40 PM,techsummary_541479.pdf (548.48 KB),06-Sep-2025,"INR 1,128,467",180.0,Rabindra Kumar Pradhan,06-Sep-2025 03:11 PM,AOC_MaliahudaAWC.pdf (404.00 KB),1,2955878,ALOK KUMAR PRUSTY,07-Jun-2025 08:24 PM,Rejected-Finance,Rejected in the transparent lottery,05-Sep-2025 07:27 PM,1.0,2956957.0,M/S NARAYAN OJHA,INR,"959,310",Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Jajpur||BADCHANA Block,2025_PRBCN_113919_11,Tenderonline01 BAD/2025-26/2845/22.05.2025,Const of Maliahuda Anganwadi centre(AWC) Building,Finance,Two bidders are admitted,Rajanikanta Behera,09-Jun-2025 05:41 PM,,BOQ Comparative Chart,AOC
2,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,2956957,M/S NARAYAN OJHA,08-Jun-2025 11:43 PM,Accepted-AOC,L1 in the transparent lottery and done agreement submitting all security deposits.,06-Sep-2025 03:11 PM,,,,,,,,,,,,,,,,AOC
