Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Technical,10 (Ten) bids has been received subjected to evaluation by committee,Manoranjan Pattanaik,03-Apr-2025 11:10 AM,,R K PANDA,Internal,J K MEKAP A K PADHI BANITA PATRA,Sidharth Pattnaik,17-Jul-2025 12:29 PM,finsummary_533738.pdf (870.62 KB),Orissa Mining Corporation,2025_OMC_111789_1,NIT No.05/OMC/CIVIL/2025,Repair and renovation work of Blue Flag Beach at Puri.,Finance,Financial bid of 7 (Seven) qualified bidders have been opened,NIBEDITA SAHOO,01-May-2025 12:19 PM,,BOQ Comparative Chart,17-Jul-2025,"INR 38,256,176.7",335.0,Sidharth Pattnaik,03-Sep-2025 03:27 PM,2025_OMC_111789_1.pdf (305.00 KB),Repair and renovation work of Blue Flag Beach at Puri.,1.0,2873165.0,K.Rabinarayan Das,INR,"38,256,176.7",1,2874608,ASISH KUMAR MOHANTY,02-Apr-2025 01:15 PM,Rejected-Finance,NOT BEING L1,17-Jul-2025 12:29 PM,A K PAL,Internal,A PRADHAN S R PATTNAIK P K BISWAL N C BEHERA,Satyajit Jena,28-Apr-2025 05:43 PM,29-Apr-2025 03:00 PM,techsummary_533738.pdf (4331.87 KB),AOC,"11,800",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"RC, EPF Regd., GSTN, PAN, Registration in CDMS portal, Affidavits, experience, etc. as per DTCN requ","4,50,120",Yes,fixed,,Nil,Nil,Orissa Mining Corporation,NIT No.05/OMC/CIVIL/2025,2025_OMC_111789_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,19-Mar-2025 05:00 PM,03-Apr-2025 11:00 AM,19-Mar-2025 05:00 PM,02-Apr-2025 05:00 PM,NA ,NA ,19-Mar-2025 05:00 PM,02-Apr-2025 05:00 PM,29-Apr-2025 03:00 PM,1.0,ICICI BANK,"GM(C), OMC Ltd.","Office of the GM(C), OMC Ltd., Bhubaneswar",Repair and renovation work of Blue Flag Beach at Puri.,Repair and renovation work of Blue Flag Beach at Puri.,"RC, EPF Regd., GSTN, PAN, Registration in CDMS portal, Affidavits, experience, etc. as per DTCN requirements.  ",NA ,"4,50,12,000",Civil Works - Others,NA ,Tender,180.0,335.0,PURI,752001.0,NA ,NA ,NA ,"OMC Ltd., Bhubaneswar",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2873165,K.Rabinarayan Das,30-Mar-2025 08:39 AM,Accepted-AOC,L1,03-Sep-2025 03:27 PM,,,,,,,,AOC,,,,,,2.0,Finance,.xls,FINANCIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2874416,LOKNATH PANDA,02-Apr-2025 02:50 PM,Rejected-Technical,Disqualified due to lac of Financial turnoveras per clause 2.3 iii A,28-Apr-2025 05:43 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2869422,Ms GOLDEN WOOD PECKER,02-Apr-2025 03:44 PM,Rejected-Finance,NOT BEING L1,17-Jul-2025 12:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2874289,RASMIRANJAN DAS,01-Apr-2025 04:00 PM,Rejected-Finance,NOT BEING L1,17-Jul-2025 12:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2874623,Ravi Realcons Private Limited,02-Apr-2025 04:21 PM,Rejected-Technical,Disqualified due to lack of work experience as per Clause 2.3 iii B,28-Apr-2025 05:43 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2874743,SMRUTI RANJAN BAL,02-Apr-2025 02:34 PM,Rejected-Finance,NOT BEING L1,17-Jul-2025 12:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2874228,SOUMIT PANDA,01-Apr-2025 07:34 PM,Rejected-Finance,NOT BEING L1,17-Jul-2025 12:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2874844,SURESH KUMAR PANDA,02-Apr-2025 04:46 PM,Rejected-Finance,NOT BEING L1,17-Jul-2025 12:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2874605,SURYA KANTA NAYAK,02-Apr-2025 01:04 PM,Rejected-Technical,Disqualified due to non submission of EMDas per clause 2.5,28-Apr-2025 05:43 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
