S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,2768175.0,RISHEET ACHARYA,INR,"28,010,887",CE RW I||RWCIRCLE-CUTTACK,2025_CERWI_109425_10,Tender Online RWC - 23/24,Improvement to Gopapur to Badakambilo road under MMSY-Improvement to Existing RD Road in the dist of Cuttack for the year 2024-25,1,2778303,BIJAYA KUMAR SWAIN,26-Jan-2025 01:19 PM,Rejected-Technical,Disqualified as per clause no.14(d) (i) and (ii) due to insufficient of similar nature of work and due to insufficient of financial turn over,22-Feb-2025 01:45 PM,01-Sep-2025,"INR 28,010,887",270.0,Usharani Behera,01-Sep-2025 12:32 PM,agmt.pdf (1238.00 KB),Agmt drawn,Finance,total 4 nos document downloaded,Ajay Kumar Behera,25-Feb-2025 06:18 PM,,BOQ Comparative Chart,C.C.E.R.W.Circle Cuttack,Internal,EE RW Division-II Cuttack DAO RW Division Cuttack PA to CCE,Usharani Behera,01-Sep-2025 12:30 PM,finsummary_525870.pdf (406.75 KB),Technical,total 5 nos document downloaded,SOMANATHA PARIDA,05-Feb-2025 05:53 PM,,AOC,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"Tender Paper Cost, EMD, GSTIN, RC, PAN, Registration Certificate, Labor License, No Relationship","C.C.E.R.W. Circle, Cuttack","C.C.E.R.W. Circle, Cuttack",CE RW I||RWCIRCLE-CUTTACK,Tender Online RWC - 23/24,2025_CERWI_109425_10,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,"3,29,502",Yes,percentage,1.0%,Nil,Nil,16-Jan-2025 06:00 PM,28-Jan-2025 11:30 AM,16-Jan-2025 06:00 PM,27-Jan-2025 05:00 PM,16-Jan-2025 06:00 PM ,27-Jan-2025 02:00 PM ,16-Jan-2025 06:00 PM,27-Jan-2025 05:00 PM,25-Feb-2025 05:30 PM,Improvement to Gopapur to Badakambilo road under MMSY-Improvement to Existing RD Road in the dist of Cuttack for the year 2024-25,road works,Please refer Tender documents. ,NA ,"3,29,50,200",Civil Works - Roads,NA ,Tender,90.0,270.0,Cuttack,753004.0,NA ,NA ,NA ,"C.C.E.R.W. Circle, Cuttack",No ,No,AOC
,,,,,,,,,2,2779938,HIMANSU SEKHAR MOHANTY,27-Jan-2025 11:22 AM,Rejected-Finance,Unsucessful bidder,01-Sep-2025 12:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,.pdf,"Affidavit of Correctness Certificate undertaking duly filled, all affidavits",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,2765623,Kamal Lochan Das,26-Jan-2025 06:37 AM,Rejected-Finance,Unsucessful bidder,01-Sep-2025 12:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,"A.T.O from CA, Similar Nature of Work Experience Certificate, Work in Hand Machineries followed by",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,2768175,RISHEET ACHARYA,27-Jan-2025 03:33 PM,Accepted-AOC,Agmt drawn,01-Sep-2025 12:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,2779567,Sasikanta Jena,27-Jan-2025 12:37 PM,Rejected-Finance,Unsucessful bidder,01-Sep-2025 12:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
