Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage
CE BM Baitarani Basin Kenojhar||Addl CE Salapada Irrigation Circle Salapada||SE Salandi Canal Division Bhadrak,2025_SCDBH_109446_30,e-Procurement Notice No.2/2024-25,"(30) Construction of R.C.C. trough wall on Begunia Minor at Rd.140M under Salandi Irrigation Sub-Division No.II,Khaira.",1.0,2766776.0,ANJAN KUMAR SAHOO,INR,"1,747,329.71",1,2766776,ANJAN KUMAR SAHOO,20-Jan-2025 04:03 PM,Accepted-AOC,Won the lottery,16-Sep-2025 03:15 PM,16-Sep-2025,"INR 1,747,329.71",120.0,Raikan Besra,16-Sep-2025 03:15 PM,WOSAP2P47_30.pdf (759.00 KB),Contract Awarded,Finance,Uploaded documents of all the participated bidders have been downloaded successfully.,Raikan Besra,16-Sep-2025 03:05 PM,,BOQ Comparative Chart,"Superintending Engineer, Salandi Canal Division",Internal,"SE and DAO, Office of the SE, Salandi Canal Division, Bhadrak",Raikan Besra,16-Sep-2025 03:13 PM,finsummary_525948.pdf (758.95 KB),"Superintending Engineer, Salandi Canal Division",Internal,"SE and DAO, Office of the SE, Salandi Canal Division, Bhadrak",Raikan Besra,16-Sep-2025 03:10 PM,techsummary_525948.pdf (758.95 KB),AOC,16-Jan-2025 04:00 PM,01-Feb-2025 11:00 AM,16-Jan-2025 04:00 PM,31-Jan-2025 05:00 PM,16-Jan-2025 04:00 PM ,22-Jan-2025 05:00 PM ,16-Jan-2025 04:00 PM,31-Jan-2025 05:00 PM,1.0,ICICI BANK,CE BM Baitarani Basin Kenojhar||Addl CE Salapada Irrigation Circle Salapada||SE Salandi Canal Division Bhadrak,e-Procurement Notice No.2/2024-25,2025_SCDBH_109446_30,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"(30) Construction of R.C.C. trough wall on Begunia Minor at Rd.140M under Salandi Irrigation Sub-Division No.II,Khaira.",Construction of R.C.C. trough wall,Please refer Tender documents. ,NA ,"20,55,440",Civil Works - Canal,NA ,Tender,90.0,120.0,Bhadrak,756100.0,NA ,NA ,NA ,"O/o SE, Salandi Canal Division, Bhadrak",No ,No,Superintending Engineer,"O/o SE, Salandi Canal Division, Bhadrak","20,600",Yes,fixed,,Nil,Nil,"6,000",Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN, GSTIN, Registration Certificate, Affidavit, NRC, undertakings, any other documents as per DTCN.",AOC
,,,,,,,,,2,2790466,ASHWINI KUMAR MOHANTY,30-Jan-2025 10:48 PM,Rejected-Technical,Does not satisfy as per DTCN,16-Sep-2025 03:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,AOC
,,,,,,,,,3,2771391,"BHADRAKALI ENGINEERING AND INFRASTRUCTURE PVT. LTD, DIRECTOR-TAPAN KUMAR DAS",23-Jan-2025 12:26 PM,Rejected-Technical,Does not satisfy as per DTCN,16-Sep-2025 03:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,2790598,BHARATI MOHAPATRA,30-Jan-2025 10:46 PM,Rejected-Technical,Does not satisfy as per DTCN,16-Sep-2025 03:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,2778153,Bijaya Kumar Mohapatra,28-Jan-2025 02:57 PM,Rejected-Technical,Does not satisfy as per DTCN,16-Sep-2025 03:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,2788487,BIRANCHI NARAYAN MOHANTY,30-Jan-2025 11:33 PM,Rejected-Technical,Does not satisfy as per DTCN,16-Sep-2025 03:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,2790506,BISHNU CHARAN MOHAPATRA,30-Jan-2025 09:22 PM,Rejected-Technical,Does not satisfy as per DTCN,16-Sep-2025 03:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,2791045,DILLIP KUMAR MOHANTY,31-Jan-2025 11:48 AM,Rejected-Technical,Does not satisfy as per DTCN,16-Sep-2025 03:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,9,2788037,DIPTA RANJAN JENA,31-Jan-2025 08:41 AM,Rejected-Technical,Does not satisfy as per DTCN,16-Sep-2025 03:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,10,2776562,Hrushikesh Sahoo,25-Jan-2025 04:11 PM,Rejected-Technical,Does not satisfy as per DTCN,16-Sep-2025 03:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
