Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Rourkela Municipal Corporation,2025_RMC_114235_9,MC/RMC/23/2025,"Construction of boundary wall of Staff quarter from KN 11 to KN 18, Koel Nagar in WN 34",Commissioner,External,"Audit Officer, Executive Engineer, Superintending Engineer, Joint Commissioner",Manas Biswal,03-Sep-2025 03:45 PM,finsummary_542281.pdf (3039.05 KB),03-Sep-2025,"INR 623,773.51",30.0,Manas Biswal,03-Sep-2025 04:14 PM,BID23.pdf (3039.00 KB),Awarded to Arati Tripathy,1.0,2965409.0,ARATI TRIPATHY,INR,"623,773.51",Finance,EMD refund,Birendra Nanda,02-Sep-2025 04:03 PM,finance_542281.pdf,BOQ Comparative Chart,Commissioner,External,"Audit Officer, Executive Engineer, Superintending Engineer, Joint Commissioner",Birendra Nanda,02-Sep-2025 04:52 PM,techsummary_542281.pdf (3039.05 KB),1,2969061,ANITA SETHI,16-Jun-2025 02:07 PM,Rejected-Technical,By The Tender COmmittee,02-Sep-2025 04:52 PM,AOC,"Municipal Commissioner, RMC","Rourkela Municipal Corporation, Rourkela",05-Jun-2025 06:00 PM,17-Jun-2025 11:00 AM,05-Jun-2025 06:00 PM,16-Jun-2025 05:00 PM,NA ,NA ,05-Jun-2025 06:00 PM,16-Jun-2025 05:00 PM,1.0,ICICI BANK,"Construction of boundary wall of Staff quarter from KN 11 to KN 18, Koel Nagar in WN 34",Works,Please refer Tender documents. ,NA ,"7,34,000",Civil Works - Others,NA ,Tender,90.0,30.0,Rourkela,769012.0,NA ,NA ,NA ,"Rourkela Municipal Corporation, Rourkela",No ,No,Rourkela Municipal Corporation,MC/RMC/23/2025,2025_RMC_114235_9,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, Affidavit, EMD, GST, PAN, Paper cost and Other Documents as per DTCN","4,000",Nil,Nil,No,"7,340",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2963662,ARADHYA CONSTRUCTION,12-Jun-2025 01:08 PM,Rejected-Technical,By The Tender COmmittee,02-Sep-2025 04:52 PM,AOC,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2965409,ARATI TRIPATHY,13-Jun-2025 12:36 PM,Accepted-AOC,By The Tender Committee,03-Sep-2025 04:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2969253,BABULA NAYAK,16-Jun-2025 02:55 PM,Rejected-Technical,By The Tender COmmittee,02-Sep-2025 04:52 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2968189,CHIDA ORAM,16-Jun-2025 10:57 AM,Rejected-Technical,By The Tender COmmittee,02-Sep-2025 04:52 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2969308,GANESH CONSTRUCTION PROP. GANESH SAHOO,16-Jun-2025 03:11 PM,Rejected-Technical,By The Tender COmmittee,02-Sep-2025 04:52 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2961802,GOURI ROUT,11-Jun-2025 04:04 PM,Rejected-Technical,By The Tender COmmittee,02-Sep-2025 04:52 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2964616,KARTIK DAS,12-Jun-2025 05:54 PM,Rejected-Technical,By The Tender COmmittee,02-Sep-2025 04:52 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2964533,PRAVAT KUMAR BEHURA,12-Jun-2025 04:55 PM,Rejected-Technical,By The Tender COmmittee,02-Sep-2025 04:52 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2966679,RABINDRA KUMAR JENA,14-Jun-2025 01:36 PM,Rejected-Technical,By The Tender COmmittee,02-Sep-2025 04:52 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
