S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,3000409.0,SUJIT KUMAR JENA,INR,"28,214,321.15",Technical,6 Nos. of bidders have been participated,Bikram Keshari Malla,17-Jul-2025 03:51 PM,,Orissa State Police Housing and Welfare Corporation Ltd,2025_OSPHW_115013_5,07/OPHWC/2025-26,"Cluster for Constn. of 6 nos. F type Qtrs. and 4 Nos. E type Qtr. at Manoharpur PS, Keonjhar",AS PER AS ACCEPTANCE LETTER,Internal,AS PER AS ACCEPTANCE LETTER,Bikram Keshari Malla,19-Sep-2025 11:55 AM,finsummary_544800.pdf (362.25 KB),AS PER TC MINUTES,Internal,AS PER TC MINUTES,Srikanta Samal,26-Aug-2025 07:00 PM,30-Aug-2025 10:30 AM,techsummary_544800.pdf (195.43 KB),Finance,FINANCIAL BID OPEN AND COMPARAITVE GENERATED,Bikram Keshari Malla,30-Aug-2025 11:38 AM,,BOQ Comparative Chart,19-Sep-2025,"INR 28,214,321.15",365.0,Bikram Keshari Malla,19-Sep-2025 11:57 AM,WORKOIUYU.pdf (636.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 17.09.2025,1,2997747,BISHNU PRASAD SETHY,13-Jul-2025 11:53 AM,Rejected-Finance,DUE TO L2 BIDDER,19-Sep-2025 11:55 AM,AOC,01-Jul-2025 06:55 PM,17-Jul-2025 10:30 AM,01-Jul-2025 06:55 PM,16-Jul-2025 05:00 PM,NA ,NA ,01-Jul-2025 06:55 PM,16-Jul-2025 05:00 PM,30-Aug-2025 10:30 AM,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit","3,13,900",Yes,fixed,,Nil,Nil,CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR,1.0,ICICI BANK,"11,800",0.0,Nil,Nil,No,Orissa State Police Housing and Welfare Corporation Ltd,07/OPHWC/2025-26,2025_OSPHW_115013_5,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"Cluster for Constn. of 6 nos. F type Qtrs. and 4 Nos. E type Qtr. at Manoharpur PS, Keonjhar",Building Work,Please refer Tender documents. ,NA ,"3,13,87,608",Civil Works - Buildings,NA ,Tender,90.0,365.0,Keonjhar,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2999399,MANAMOHAN BARAL,14-Jul-2025 06:31 PM,Rejected-Technical,Non submission of valid adequate documents to secure qualifying marks in Sch-C as per DTCN Cl. No. 13 and 110(f),26-Aug-2025 07:00 PM,AOC,,,,,,,,,,,,.pdf,Other Document as per DTCN,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3000013,NAROTTAM SATAPATHY,16-Jul-2025 12:10 PM,Rejected-Technical,Non-securing qualifying marks in the Point of Presentation as per DTCN Cl.110(m).,26-Aug-2025 07:00 PM,AOC,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3000975,SMRUTI RANJAN BAL,16-Jul-2025 04:17 PM,Rejected-Technical,Absent in the Point of Presentation as per DTCN Cl.110(m).,26-Aug-2025 07:00 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2989268,SOUMIT PANDA,04-Jul-2025 07:06 PM,Rejected-Technical,Non submission of adequate similar nature of works as per DTCN Cl. No. 11 and 110(k),26-Aug-2025 07:00 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3000409,SUJIT KUMAR JENA,15-Jul-2025 09:35 PM,Accepted-AOC,QUALIFIED BIDDER,19-Sep-2025 11:57 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
