Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Construction of road from Durkajodi to Timasput road under MMSY-CUVDA in the Districts of Malkangiri for the year 2024-25.,Construction of road from Durkajodi to Timasput road under MMSY-CUVDA in the Districts of Malkangiri for the year 2024-25.,N.A ,NA ,"4,96,82,000",Civil Works - Roads,NA ,Tender,90.0,272.0,MALKANGIRI,764045.0,NA ,NA ,NA ,"Chief Construction Engineer, R.W.Circle, Sunabeda",No ,No,"10,000",0.0,Nil,Nil,No,01-May-2025 03:00 PM,14-May-2025 10:00 AM,01-May-2025 03:00 PM,13-May-2025 05:00 PM,01-May-2025 03:00 PM ,09-May-2025 02:00 PM ,01-May-2025 03:00 PM,13-May-2025 05:00 PM,23-Jun-2025 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,"Bid Cost, EMD, RC,PAN, GST, Affidavit regarding correctness, No relation certificate",Chief Construction Engineer,"Rural Works Circle, Sunabeda-1, Near Jagannath Temple, PIN-763001, Dist-Koraput","4,97,000",Yes,fixed,,Nil,Nil,CE RW I||RWCIRCLE-SUNABEDA,CCERWCSBD Online-02/2025-26,2025_CERWI_113019_2,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,CORRIGENDUM,Date,,AOC,08-Sep-2025,"INR 49,681,970",272.0,Prabhakara Behera,08-Sep-2025 09:25 PM,AOCDURKAJODI.PDF (1401.00 KB),"Award of contract to Sasmita Kumari Swain, A Class Engineering Contractor through transparency lottery system",1,2915348,BIKRAM KUMAR GUPTA,13-May-2025 03:11 PM,Rejected-AOC,REJECT,08-Sep-2025 09:25 PM,Finance,CS,Prabhakara Behera,01-Aug-2025 09:39 PM,finance_538154.pdf,BOQ Comparative Chart,"Chief Construction Engineer, R.W. Circle, Sunabeda",Internal,"Executive Engineer, DAO, Estimator of Rural Works Division-I, Malkangiri Estimator R.W. Circle Sunabeda",Prabhakara Behera,19-Jun-2025 02:23 PM,23-Jun-2025 11:00 AM,techsummary_538154.pdf (601.14 KB),"Chief Construction Engineer, R.W. Circle, Sunabeda",Internal,"Executive Engineer, DAO, Estimator of Rural Works Division-I, Malkangiri Estimator R.W. Circle Sunabeda",Prabhakara Behera,01-Aug-2025 09:48 PM,finsummary_538154.pdf (804.03 KB),Technical,bidders name,Prabhakara Behera,19-Jun-2025 02:14 PM,technical_538154.pdf,CE RW I||RWCIRCLE-SUNABEDA,2025_CERWI_113019_2,CCERWCSBD Online-02/2025-26,Construction of road from Durkajodi to Timasput road under MMSY-CUVDA in the Districts of Malkangiri for the year 2024-25.,1.0,2916011.0,SASMITA KUMARI SWAIN,INR,"42,234,642.7",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Annual Turn over certificate from CA, Similar nature of Work Certificate",,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,AOC,,,,,,,,2,2913793,CHETAN BISOI,12-May-2025 06:07 PM,Rejected-AOC,REJECT,08-Sep-2025 09:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machineries and other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,2910136,GOBINDA CHANDRA NAYAK,09-May-2025 11:46 AM,Rejected-AOC,REJECT,08-Sep-2025 09:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,2915221,Kiran Kumar Gouda,13-May-2025 03:50 PM,Rejected-Finance,REJECT,01-Aug-2025 09:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,2906361,MAHENDRA ANUGULIA,12-May-2025 11:16 AM,Rejected-AOC,REJECT,08-Sep-2025 09:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,2915609,M/s SHREE INFRA AND CO,13-May-2025 02:31 PM,Rejected-AOC,REJECT,08-Sep-2025 09:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,2907063,P.RAMA RAO,12-May-2025 10:46 AM,Rejected-Finance,REJECT,01-Aug-2025 09:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,2915528,Rajesh Kumar Jain,13-May-2025 12:59 PM,Rejected-AOC,REJECT,08-Sep-2025 09:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,2916011,SASMITA KUMARI SWAIN,13-May-2025 03:20 PM,Accepted-AOC,"Award of contract to Sasmita Kumari Swain, A Class Engineering Contractor through transparency lottery system",08-Sep-2025 09:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,2914969,Saumya Ranjan Muduli,13-May-2025 10:22 AM,Rejected-AOC,REJECT,08-Sep-2025 09:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
