Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
Finance,All are admitted,Raj Kumar Meher,24-Jul-2025 08:46 PM,,BOQ Comparative Chart,1.0,3001711.0,APU PRADHAN,INR,"2,745,207",CE RW I||RWCIRCLE-SAMBALPUR||RWDIVISION-DEOGARH,2025_CERWI_115374_6,EERWDGH-Online-02 of 2025-26,Construction of New Sub-Centre Building at Rengalbeda under Reamal block in the dist of Deogarh,SE,Internal,,Subash Chandra Besra,24-Sep-2025 10:41 AM,finsummary_545813.pdf (298.32 KB),SE,Internal,,Subash Chandra Besra,24-Sep-2025 10:35 AM,techsummary_545813.pdf (298.32 KB),1,3001711,APU PRADHAN,18-Jul-2025 10:52 PM,Accepted-AOC,Signed the agreement,27-Sep-2025 11:05 PM,27-Sep-2025,"INR 2,745,207",180.0,Laxman Kumar Soren,27-Sep-2025 11:05 PM,reng.pdf (300.00 KB),AOC,1.0,ICICI BANK,"32,293",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,CE RW I||RWCIRCLE-SAMBALPUR||RWDIVISION-DEOGARH,EERWDGH-Online-02 of 2025-26,2025_CERWI_115374_6,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Construction of New Sub-Centre Building at Rengalbeda under Reamal block in the dist of Deogarh,Civil work,Please refer Tender documents. ,NA ,"32,29,276",Civil Works - Buildings,NA ,Tender,90.0,180.0,Deogarh,768119.0,NA ,NA ,NA ,O/o the EE RW Division Deogarh,No ,No,EE RW Division Deogarh,O/o the EE RW Division Deogarh,"6,000",0.0,Nil,Nil,No,11-Jul-2025 12:00 PM,22-Jul-2025 11:00 AM,11-Jul-2025 12:00 PM,21-Jul-2025 05:00 PM,11-Jul-2025 12:00 PM ,19-Jul-2025 05:00 PM ,11-Jul-2025 12:00 PM,21-Jul-2025 05:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3005114,GYANCHAND BEHERA,21-Jul-2025 12:35 PM,Rejected-AOC,Loss the agreement,27-Sep-2025 11:05 PM,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,.pdf,TCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3004875,JULI SAHU,20-Jul-2025 08:07 PM,Rejected-AOC,Loss the agreement,27-Sep-2025 11:05 PM,,,,,,,AOC,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3003686,KEDARA KUMAR PRADHAN,18-Jul-2025 11:40 PM,Rejected-AOC,Loss the agreement,27-Sep-2025 11:05 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2997559,PADMALAYA DHARUA,15-Jul-2025 08:43 PM,Rejected-AOC,Loss the agreement,27-Sep-2025 11:05 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3002451,RAJALAXMI SAHU,18-Jul-2025 07:02 AM,Rejected-AOC,Loss the agreement,27-Sep-2025 11:05 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3004683,Rohit Kisan,20-Jul-2025 12:22 AM,Rejected-AOC,Loss the agreement,27-Sep-2025 11:05 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3005117,SANJAY KUMAR SAHOO,21-Jul-2025 01:10 PM,Rejected-AOC,Loss the agreement,27-Sep-2025 11:05 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3004813,"SHRI GANESH CONSTRUCTION,PROP-SAPAN KUMAR SAHU",20-Jul-2025 04:57 PM,Rejected-AOC,Loss the agreement,27-Sep-2025 11:05 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3004846,SUDHIR KUMAR RAUL,20-Jul-2025 11:08 AM,Rejected-AOC,Loss the agreement,27-Sep-2025 11:05 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3006672,SUSHANTA KUMAR BEHERA,21-Jul-2025 01:01 PM,Rejected-AOC,Loss the agreement,27-Sep-2025 11:05 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
