S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage
1.0,2952541.0,SUSANTA KUMAR BEHERA,INR,"1,023,633",Ground Water Survey and Investigation,2025_GWSI_113799_1,1/GWDBLGR/ARUA/2025-26,Construction of 07(Seven) nos of Recharge Shaft in different existing Tanks/Ponds in Jharbandh Block of Bargarh district under ARUA Scheme,Abhijeet Kumar Behera,Internal,,Abinash Nayak,09-Jun-2025 11:42 AM,techsummary_540984.pdf (1501.78 KB),Finance,Bid Opening Summary,Abinash Nayak,07-Jun-2025 12:21 PM,finance_540984.pdf,BOQ Comparative Chart,Abhijeet Kumar Behera,Internal,,Abinash Nayak,09-Jun-2025 11:54 AM,finsummary_540984.pdf (1501.78 KB),21-Aug-2025,"INR 1,023,633",60.0,Abinash Nayak,17-Sep-2025 06:36 PM,01.pdf (501.00 KB),1,2952905,KAUSHIKA PANIGRAHI,05-Jun-2025 04:04 PM,Rejected-AOC,Not selected in Transparent Lottery,17-Sep-2025 06:36 PM,AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,Tender Document,Ground Water Survey and Investigation,1/GWDBLGR/ARUA/2025-26,2025_GWSI_113799_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,24-May-2025 11:00 AM,06-Jun-2025 11:30 AM,24-May-2025 11:00 AM,05-Jun-2025 05:00 PM,NA ,NA ,24-May-2025 11:00 AM,05-Jun-2025 05:00 PM,"12,042",Yes,fixed,,Nil,Nil,"6,000",0.0,Nil,Nil,No,Deputy Director Geology,"OFFICE OF THE DEPUTY DIRECTOR, GEOLOGY, GROUND WATER DEVELOPMENT DIVISION, BOLANGIR, Laltikra, P.O Rajendra College, Dist- Bolangir, PIN -767002",Construction of 07(Seven) nos of Recharge Shaft in different existing Tanks/Ponds in Jharbandh Block of Bargarh district under ARUA Scheme,Construction of 07(Seven) nos of Recharge Shaft in different existing Tanks/Ponds in Jharbandh Block of Bargarh district under ARUA Scheme,Please refer Tender documents. ,NA ,,Civil Works - Others,NA ,Tender,90.0,60.0,Jharbandh,768042.0,NA ,NA ,NA ,"Deputy Director Geology, GWD Division, Bolangir",No ,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2951777,LOKNATH RANA,04-Jun-2025 11:37 PM,Rejected-AOC,Not selected in Transparent Lottery,17-Sep-2025 06:36 PM,AOC,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2950297,MADHUSMITA PAIKARAY,03-Jun-2025 06:45 PM,Rejected-AOC,Not selected in Transparent Lottery,17-Sep-2025 06:36 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2952438,M/s Alok Kumar Mishra,05-Jun-2025 01:27 PM,Rejected-AOC,Not selected in Transparent Lottery,17-Sep-2025 06:36 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2946191,NIKESH KUMBHAR,01-Jun-2025 05:50 PM,Rejected-AOC,Not selected in Transparent Lottery,17-Sep-2025 06:36 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2950025,PRATAP KUMAR PRADHAN,03-Jun-2025 04:00 PM,Rejected-AOC,Not selected in Transparent Lottery,17-Sep-2025 06:36 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2946223,RAGHUMMANI KUMBHAR,01-Jun-2025 05:46 PM,Rejected-AOC,Not selected in Transparent Lottery,17-Sep-2025 06:36 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2952554,Reshmarani Sahu,05-Jun-2025 01:45 PM,Rejected-AOC,Not selected in Transparent Lottery,17-Sep-2025 06:36 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2952347,SHIBANANDA MOHANTY,05-Jun-2025 12:43 PM,Rejected-AOC,Not selected in Transparent Lottery,17-Sep-2025 06:36 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2950254,SRIDHAR SAHOO,03-Jun-2025 06:08 PM,Rejected-AOC,Not selected in Transparent Lottery,17-Sep-2025 06:36 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
