S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1,ICICI BANK,"Block Development Officer, Umerkote","Panchayat Samiti, Umerkote, At-Gulipatna, Umerkote, Dist.- Nabarangpur",Construction of Additional Classroom at Bhitargada PS,Construction of Additional Classroom at Bhitargada PS,Please refer Tender documents. ,NA ,"9,74,207",Civil Works - Buildings,NA ,Tender,90.0,180.0,Umerkote,764073.0,NA ,NA ,NA ,"O/o Block Development Officer, Umerkote",No ,No,"4,000",Nil,Nil,No,02-Jun-2025 04:00 PM,23-Jun-2025 11:00 AM,02-Jun-2025 04:00 PM,21-Jun-2025 04:00 PM,NA ,NA ,02-Jun-2025 04:00 PM,21-Jun-2025 04:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"GST, PAN, Affidavit and other related documents as per DTCN","10,000",Yes,fixed,,Nil,Nil,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Nabarangpur||UMERKOTE Block,BDO/EDU/UKT/01/25-26,2025_PRBUM_113916_10,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,"BDO, UMERKOTE",Internal,"BDO, AEE, BFO, SO",Manoj Kumar Meher,09-Sep-2025 07:32 PM,finsummary_541768.pdf (216.78 KB),"BDO, UMERKOTE",Internal,"BDO, AEE, BFO, SO",Manoj Kumar Meher,09-Sep-2025 07:28 PM,techsummary_541768.pdf (216.78 KB),1,2974348,KUSHA SAHU,20-Jun-2025 02:41 PM,Accepted-AOC,Qualified in transparent lottery,09-Sep-2025 07:38 PM,1.0,2974348.0,KUSHA SAHU,INR,"828,173",Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Nabarangpur||UMERKOTE Block,2025_PRBUM_113916_10,BDO/EDU/UKT/01/25-26,Construction of Additional Classroom at Bhitargada PS,09-Sep-2025,"INR 828,173",180.0,Manoj Kumar Meher,09-Sep-2025 07:37 PM,Agrtbhitargada.pdf (851.00 KB),Agreement Value,Finance,All bidders are qualified,Manoj Kumar Meher,09-Sep-2025 07:27 PM,finance_541768.pdf,BOQ Comparative Chart,AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,2,2976739,TUTU MAJUMDAR,21-Jun-2025 01:36 PM,Rejected-AOC,Disqualified in transparent lottery,09-Sep-2025 07:38 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
