Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"6,000",0.0,Nil,Nil,No,"Executive Officer, Balangir Municipality","Office of the Municipal Council, Balangir",Municipal Bodies||Balangir Municipality,BLGRMPTY/06(01-17)/2025-26,2025_ORULB_115888_9,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Construction of Road from Munindra Das res to Barja Pradhan res, Nalkhandi pada,W.No.19",Road work,Please refer tender Documents  ,NA ,"12,68,524",Civil Works - Roads,NA ,Tender,120.0,90.0,Balangir,767001.0,NA ,NA ,NA ,"Office of the Municipal Council, Balangir",No ,No,1.0,ICICI BANK,23-Jul-2025 02:00 PM,04-Aug-2025 11:00 AM,23-Jul-2025 02:00 PM,02-Aug-2025 05:00 PM,NA ,NA ,23-Jul-2025 02:00 PM,02-Aug-2025 05:00 PM,"12,685",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Online proof of tender paper cost, EMD,GSTIN,PAN,RC,Affidavit and any others documents as per DTCN",AOC,20-Sep-2025,"INR 1,078,372.42",90.0,Rojalisa Rout,26-Sep-2025 01:44 PM,WO2025260609.pdf (195.00 KB),After approval of the tender Committee contractor Sri Amit Kumar Mohanty is awarded the work.,1,3021189,ALAKA DASH,02-Aug-2025 10:31 AM,Rejected-Finance,other then L1 Bidder,19-Sep-2025 08:01 PM,"SMT LIKA SAHU,CHAIRPERSON",Internal,"Chairperson,Executive Officer,Municipal Engineer,Junior Engineer,Balangir Municipality",Rojalisa Rout,15-Sep-2025 05:49 PM,techsummary_547037.pdf (443.88 KB),Municipal Bodies||Balangir Municipality,2025_ORULB_115888_9,BLGRMPTY/06(01-17)/2025-26,"Construction of Road from Munindra Das res to Barja Pradhan res, Nalkhandi pada,W.No.19","SMT LIKA SAHU,CHAIRPERSON",Internal,"Chairperson,Executive Officer,Municipal Engineer,Junior Engineer,Balangir Municipality",Rojalisa Rout,19-Sep-2025 08:01 PM,finsummary_547037.pdf (194.54 KB),Finance,13 Nos. of bidders have participated.,Rojalisa Rout,12-Sep-2025 03:57 PM,,BOQ Comparative Chart,1.0,3018595.0,AMIT KUMAR MOHANTY,INR,"1,078,372.42",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.xls,BOQ,AOC,,,,,,,,2,3018595,AMIT KUMAR MOHANTY,30-Jul-2025 06:58 PM,Accepted-AOC,L1,26-Sep-2025 01:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,3019564,ASHOK PRADHAN,31-Jul-2025 06:11 PM,Rejected-Finance,other then L1 Bidder,19-Sep-2025 08:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,3020341,ASHOK SETH,01-Aug-2025 03:18 PM,Rejected-Finance,other then L1 Bidder,19-Sep-2025 08:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,3015564,JANMEJAYA CHANDAN,28-Jul-2025 06:31 PM,Rejected-Finance,other then L1 Bidder,19-Sep-2025 08:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,3020558,JITU DAS,01-Aug-2025 04:01 PM,Rejected-Finance,other then L1 Bidder,19-Sep-2025 08:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,3021686,KAUSHIKA PANIGRAHI,02-Aug-2025 04:11 PM,Rejected-Finance,other then L1 Bidder,19-Sep-2025 08:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,3020630,MADHABA KUMAR SETHI,01-Aug-2025 05:05 PM,Rejected-Finance,other then L1 Bidder,19-Sep-2025 08:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,3021093,PREMPRAKASH MISHRA,02-Aug-2025 02:14 AM,Rejected-Finance,other then L1 Bidder,19-Sep-2025 08:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,3019918,SAGAR SANGAM SATPATHY,01-Aug-2025 12:26 AM,Rejected-Finance,other then L1 Bidder,19-Sep-2025 08:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
