S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,18-Jul-2025 09:00 AM,29-Jul-2025 11:30 AM,18-Jul-2025 09:00 AM,28-Jul-2025 05:30 PM,18-Jul-2025 09:00 AM ,18-Jul-2025 05:00 PM ,18-Jul-2025 09:00 AM,28-Jul-2025 05:30 PM,13-Aug-2025 11:00 AM,SELECTION OF Level-II Transport Contractor of Custom Milled Rice CMR from RRC to FPS under OSCSC Ltd in Gajapati for the biennial 2025-27-MOHANA,Transport of Custom Milled Rice CMR from RRC to FPS under OSCSC Ltd in Gajapati for the biennial 2025-27-MOHANA,AS PER DTCN ,NA ,"80,87,588",Handling and Transportation,NA ,Rate Contract,180.0,NA ,GAJAPTI,761200.0,"CSO cum District Manager , OSCSC Ltd., Gajapati, ","CSO cum District Manager , OSCSC Ltd., Gajapati, PARALAKHEMUNDI, COLLECTORATE BUILDING  ",18-Jul-2025 09:00 AM ,"CSO cum District Manager , OSCSC Ltd., Gajapati,",No ,No,1.0,Fee/PreQual/Technical,.pdf,NOTIFICATION OF TENDER,1.0,Security deposit (HO L.No-9674-16.07.2025),Financial Bid,,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Gajapati,2309-Dt 17.07.2025-MOHANA,2025_OSCSC_115701_1,Yes,Open Tender,Percentage,Services,2.0,No,No,Online,No,No,No,"5,900",0.0,Nil,Nil,No,"4,04,379",No,percentage,5.0%,Nil,Nil,"CSO cum DM, Gajapati","CSO cum District Manager , OSCSC Ltd., Gajapati, PARALAKHEMUNDI, COLLECTORATE BUILDING",AOC,20-Sep-2025,"INR 8,087,588",193.0,Abinash Nayak,20-Sep-2025 01:52 PM,Mohanaproceeding.pdf (1865.00 KB),1,3009165,CHIRANJEEVULU RAUTU,28-Jul-2025 12:09 PM,Accepted-AOC,LOWEST BIDDER,20-Sep-2025 01:52 PM,Finance,proceeding attachment,Abinash Nayak,20-Sep-2025 01:29 PM,finance_546391.pdf,BOQ Comparative Chart,COLLECTOR GAJAPATI,Mixed,"DSWO,RTO,DLO,ADM AND CSO CUM DM",Abinash Nayak,12-Aug-2025 07:42 PM,13-Aug-2025 11:00 AM,techsummary_546391.pdf (57.45 KB),COLLECTOR GAJAPATI,Internal,"RTO,DLO,DSWO,CSO",Abinash Nayak,20-Sep-2025 01:38 PM,finsummary_546391.pdf (1864.68 KB),Technical,4 bidders are eligible in technical bid,Anup Panda,12-Aug-2025 06:43 PM,,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Gajapati,2025_OSCSC_115701_1,2309-Dt 17.07.2025-MOHANA,SELECTION OF Level-II Transport Contractor of Custom Milled Rice CMR from RRC to FPS under OSCSC Ltd in Gajapati for the biennial 2025-27-MOHANA,1.0,3009165.0,CHIRANJEEVULU RAUTU,INR,49.84,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,TENDER DOCUMENT OF LEVEL -ii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2,3004520,KAPPLA TRINATH,28-Jul-2025 04:28 PM,Rejected-Finance,l2 bidder,20-Sep-2025 01:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ OF TENDER FINANCIAL BID-MOHANA BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3,3011791,SHYAM SUNDAR DASH,27-Jul-2025 09:24 PM,Rejected-Finance,l-4 bidder,20-Sep-2025 01:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,4,3011206,TUTU SWAIN,27-Jul-2025 09:44 PM,Rejected-Finance,l-3 bidder,20-Sep-2025 01:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
