Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No.1,Bank Name,Tender Stage
Finance,The Financial bids of 09 (Nine) Nos. of bidders are opened for further consideration.,Tapan Kumar Behera,21-Jun-2025 10:45 AM,finance_535714.pdf,BOQ Comparative Chart,tapan kumar behera,Internal,,Tapan Kumar Behera,17-Jun-2025 08:16 PM,18-Jun-2025 09:00 AM,techsummary_535714.pdf (788.81 KB),1,2891053,DEBABRATA BRAHMA,22-Apr-2025 01:14 PM,Rejected-Finance,Lost by transparent lottery System,10-Jul-2025 01:06 PM,20-Sep-2025,"INR 10,477,732",180.0,Tapan Kumar Behera,20-Sep-2025 06:02 PM,agrmt.pdf (1105.00 KB),1.0,2889653.0,SOBIKA AGRAWAL,INR,"10,477,732",tapan kumar behera,Internal,,Tapan Kumar Behera,10-Jul-2025 01:06 PM,finsummary_535714.pdf (1376.20 KB),Technical,The Technical bids of 11 (Eleven) Nos. of bidders are opened for further consideration.,Tapan Kumar Behera,23-Apr-2025 07:23 PM,technical_535714.pdf,EIC-CIVIL||SERNB-CIRCLE-BOLANGIR,2025_EICCL_112314_7,CCE (R and B) BGR-06-2024-25,CONSTRUCTION OF RESIDENTIAL QUARTER FOR ADDITIONAL DISTRICT AND SESSIONS JUDGE (1NO. B-TYPE) AT KANTABANJI IN THE DISTRICT OF BOLANGIR.,AOC,08-Apr-2025 03:00 PM,23-Apr-2025 11:00 AM,08-Apr-2025 03:00 PM,22-Apr-2025 05:00 PM,08-Apr-2025 03:00 PM ,15-Apr-2025 05:00 PM ,08-Apr-2025 03:00 PM,22-Apr-2025 05:00 PM,18-Jun-2025 09:00 AM,1.0,corrigendum 1,Other,,EIC-CIVIL||SERNB-CIRCLE-BOLANGIR,CCE (R and B) BGR-06-2024-25,2025_EICCL_112314_7,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,CCE Rand B CIRCLE BALANGIR,O/O CCE R and B CIRCLE BALANGIR,"10,000",0.0,Nil,Nil,No,"1,23,000",Yes,fixed,,Nil,Nil,CONSTRUCTION OF RESIDENTIAL QUARTER FOR ADDITIONAL DISTRICT AND SESSIONS JUDGE (1NO. B-TYPE) AT KANTABANJI IN THE DISTRICT OF BOLANGIR.,Building work,Please refer tender documents ,NA ,"1,23,25,294",Civil Works - Buildings,NA ,Tender,90.0,180.0,Kantabanji,767039.0,NA ,NA ,NA ,O/O CCE R and B CIRCLE BALANGIR,No ,No,1.0,Fee/PreQual/Technical,.pdf,"Online proof copy of tender paper cost and EMD, GSTIN, PAN, RC and Affidavit.",1.0,ICICI BANK,AOC
,,,,,,,,,,,,,2,2889521,Gokul Pradhan,22-Apr-2025 09:51 AM,Rejected-Finance,Lost by transparent lottery System,10-Jul-2025 01:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machineries and work Experience.,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,3,2885563,KL INFRAPROJECTS,17-Apr-2025 02:06 PM,Rejected-Technical,as per Dtcn,17-Jun-2025 08:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other documents as per DTCN.,,,AOC
,,,,,,,,,,,,,4,2890183,PRABHASH KUMAR JAIN,22-Apr-2025 09:28 AM,Rejected-Finance,Lost by transparent lottery System,10-Jul-2025 01:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity.,,,AOC
,,,,,,,,,,,,,5,2891735,Raghunandan Agrawal,22-Apr-2025 04:14 PM,Rejected-Finance,Lost by transparent lottery System,10-Jul-2025 01:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,6,2889812,SAGAR CHAND KHEDIA,21-Apr-2025 11:05 AM,Rejected-Finance,Lost by transparent lottery System,10-Jul-2025 01:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,7,2883067,Sanjaya Kumar Agrawal,16-Apr-2025 05:35 PM,Rejected-Technical,as per Dtcn,17-Jun-2025 08:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,8,2889653,SOBIKA AGRAWAL,22-Apr-2025 12:50 PM,Accepted-AOC,aoc,20-Sep-2025 06:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,9,2889540,SOURAV AGRAWAL,20-Apr-2025 07:10 PM,Rejected-Finance,Lost by transparent lottery System,10-Jul-2025 01:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,10,2889750,Tanay Kumar Agrawal,21-Apr-2025 08:52 AM,Rejected-Finance,Lost by transparent lottery System,10-Jul-2025 01:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
