Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
ODISHA CONSTRUCTION CORPORATION LTD,2024_OCCL_103326_1,Bid identification No. OCCL-HQP/19/2024-25,E-procurement Notice No.05/OCCL/2024-25(on-line),1.0,2518025.0,PRAKASH CHANDRA MOHAPATRA,INR,"18,861,923",MANAGING DIRECTOR OF OCC LTD.,Internal,,Pratap Chandra Chaudhury,10-Sep-2024 03:52 PM,11-Sep-2024 11:30 AM,techsummary_502034.pdf (1565.80 KB),MANAGING DIRECTOR OF OCC LTD.,Internal,,Pratap Chandra Chaudhury,19-Nov-2024 05:59 PM,finsummary_502034.pdf (388.91 KB),19-Dec-2024,"INR 22,187,887.88",180.0,Pratap Chandra Chaudhury,06-Sep-2025 05:39 PM,AOC_HQP_19.pdf (1814.00 KB),AOC,Finance,Opened Successfully.,Pratap Chandra Chaudhury,11-Sep-2024 12:11 PM,,BOQ Comparative Chart,1,2510563,ACP CONSTRUCTION,09-Jul-2024 06:34 PM,Rejected-Finance,UNSUCCESSFUL IN TRANSPARENT LOTTERY.,19-Nov-2024 05:59 PM,Technical,Opened Successfully.,Pratap Chandra Chaudhury,25-Jul-2024 12:39 PM,,AOC,27-Jun-2024 06:00 PM,25-Jul-2024 12:00 PM,27-Jun-2024 06:00 PM,24-Jul-2024 05:30 PM,27-Jun-2024 06:00 PM ,02-Jul-2024 03:30 PM ,27-Jun-2024 06:00 PM,24-Jul-2024 05:30 PM,11-Sep-2024 11:30 AM,1.0,Fee/PreQual/Technical,.pdf,"GST,PAN,EPF registration certificate,Valid OCC Ltd enlistment certificate etc.","11,800",Nil,Nil,No,ODISHA CONSTRUCTION CORPORATION LTD,Bid identification No. OCCL-HQP/19/2024-25,2024_OCCL_103326_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,MANAGING DIRECTOR OF OCC LTD.,"ODISHA CONSTRUCTION CORPORATION Ltd.,UNIT - VIII, GOPABANDHUNAGAR,BBSR-751012",E-procurement Notice No.05/OCCL/2024-25(on-line),Improvement to service road to right bank of phirphira distributary from RD 0.120 Km to 3.338 Km.,Please refer Tender documents. ,NA ,"2,21,87,888",Civil Works - Others,NA ,Tender,90.0,180.0,Prachi Division,751012.0,NA ,NA ,NA ,HEAD OFFICE OCCL,No ,No,1.0,1st Corrigendum.,Date,,"2,22,000",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2515418,MS GLOBAL CONSTRUCTION,20-Jul-2024 10:50 AM,Rejected-Finance,UNSUCCESSFUL IN TRANSPARENT LOTTERY.,19-Nov-2024 05:59 PM,,,,,,AOC,,,,,,,,,,,,.pdf,"Other documents as per DTCN. EMD is in BG Shape, Provide Original BG during technical bid opening.",,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2518025,PRAKASH CHANDRA MOHAPATRA,24-Jul-2024 05:02 PM,Accepted-AOC,L1 SUCCESSFUL BIDDER.,06-Sep-2025 05:40 PM,,,,,,AOC,,,,,,,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2517846,RAMACHANDRA SAMANTA SINGHAR,24-Jul-2024 03:27 PM,Rejected-Technical,Non-Responsive.,10-Sep-2024 03:52 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2515725,SMT. RUPASHREE DAS,20-Jul-2024 08:52 PM,Rejected-Finance,UNSUCCESSFUL IN TRANSPARENT LOTTERY.,19-Nov-2024 05:59 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2509645,SPD CONSTRUCTION,09-Jul-2024 01:47 PM,Rejected-Finance,UNSUCCESSFUL IN TRANSPARENT LOTTERY.,19-Nov-2024 05:59 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
