Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Collector,Internal,,Nirad Das,19-Jul-2025 11:32 AM,22-Jul-2025 11:30 AM,techsummary_544174.pdf (181.35 KB),Finance,Phanindra Dash selected,Rosalin Sethi,04-Sep-2025 01:32 PM,finance_544174.pdf,BOQ Comparative Chart,24-Sep-2025,"INR 2,836,621",545.0,Rosalin Sethi,24-Sep-2025 04:05 PM,OrderL2.pdf (386.00 KB),1,2987375,Phanindra Kumar Dash,09-Jul-2025 11:16 AM,Accepted-AOC,Lowest Bidder,24-Sep-2025 04:05 PM,1.0,2987375.0,Phanindra Kumar Dash,INR,"2,836,621",Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Sonepur,2025_OSCSC_114781_1,2025_OSCSC_1008/21.06.2025,Selection and Appointment of Level-II Transport contactor for the biennial year 2025-27 in Subarnapur district.,Technical,Accepted,Nirad Das,19-Jul-2025 11:10 AM,technical_544174.pdf,Collector,Internal,,Rosalin Sethi,24-Sep-2025 01:32 PM,finsummary_544174.pdf (386.04 KB),AOC,"DM OSCSC LTD, Subarnapur","DM OSCSC LTD, Subarnapur",1,ICICI BANK,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Sonepur,2025_OSCSC_1008/21.06.2025,2025_OSCSC_114781_1,Yes,Open Tender,Percentage,Services,2.0,No,No,Online,No,No,No,24-Jun-2025 05:00 PM,10-Jul-2025 11:30 AM,24-Jun-2025 05:00 PM,09-Jul-2025 05:00 PM,24-Jun-2025 05:00 PM ,28-Jun-2025 05:00 PM ,24-Jun-2025 05:00 PM,09-Jul-2025 05:00 PM,22-Jul-2025 11:30 AM,Selection and Appointment of Level-II Transport contactor for the biennial year 2025-27 in Subarnapur district.,Selection and Appointment of Level-II Transport Contractors for transportation of Custom Milled Rice (CMR) from Rice Receiving Centre (RRC) to Retail Centre (FPS) in Subarnapur District for the biennial year 2025-27 for Sonepur Block.,Please refer Tender documents. ,NA ,,Handling and Transportation,NA ,Tender,180.0,640.0,Subarnapur,767017.0,"Conference Hall of Collectorate, Subarnapur  ","Conference Hall of Collectorate, Subarnapur  ",25-Jun-2025 11:30 AM ,"Conference Hall of Collectorate, Subarnapur",No ,No,1,Fee/PreQual/Technical,.pdf,Tender Document for Soneur Block,"1,50,455",No,fixed,,Nil,Nil,"5,900",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,2,2992906,SAMIR KUMAR AGRAWAL,09-Jul-2025 02:11 PM,Not Admitted-Finance,Not qualified for AOC,04-Sep-2025 01:32 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BoQ for Sonepur Block,,,,,,,,,,,,AOC
