Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Tender Stage
Rajendra Marndi,Internal,"ESTIMATOR cum AEE,DAO,SE",RAJENDRA KUMAR MARNDI,14-Jul-2025 06:28 PM,techsummary_544693.pdf (969.97 KB),11-Aug-2025,"INR 536,156.37",30.0,RAJENDRA KUMAR MARNDI,16-Sep-2025 05:20 PM,AOC2.pdf (653.00 KB),1,2989112,"ACHYUTA NANDA SWAIN ,PROPRIETOR M/S. ADITYA ENTERPRISER.",05-Jul-2025 05:40 PM,Rejected-Finance,Loser of Lottery,28-Jul-2025 11:50 AM,Finance,All the bid documents are downloaded successfully and found in order.,RAJENDRA KUMAR MARNDI,14-Jul-2025 01:18 PM,,BOQ Comparative Chart,1.0,2988676.0,M/S SHREE INDUSTRIES,INR,"536,156.37",Chief Engineer Mech - WR Bhubaneswar||SE Mechanical Circle Bhubaneswar||EE Mechanical Division Salapada,2025_CEMWR_114980_1,SE/MDS-01(2)/2025-26,Repair Seal Changing and Painting of 02 Nos HR Gate of Kureijodi MIP under MI Division Anandapur,Rajendra Marndi,Internal,"SE,DAO,ESTIMATOR",RAJENDRA KUMAR MARNDI,28-Jul-2025 11:50 AM,finsummary_544693.pdf (607.60 KB),AOC,Repair Seal Changing and Painting of 02 Nos HR Gate of Kureijodi MIP under MI Division Anandapur,Gate Works,Please refer Tender documents. ,NA ,"6,30,698",Mechanical Works,NA ,Tender,90.0,30.0,Ghatgaon,758027.0,NA ,NA ,NA ,Office of SE Mechanical Division Salapada,No ,No,Chief Engineer Mech - WR Bhubaneswar||SE Mechanical Circle Bhubaneswar||EE Mechanical Division Salapada,SE/MDS-01(2)/2025-26,2025_CEMWR_114980_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,307",No,fixed,,Nil,Nil,30-Jun-2025 12:00 PM,08-Jul-2025 11:00 AM,30-Jun-2025 12:00 PM,07-Jul-2025 05:00 PM,NA ,NA ,30-Jun-2025 12:00 PM,07-Jul-2025 05:00 PM,S.E Mechanical Salapada,Mechanical Division Salapada keonjhar odisha 758020,1.0,Fee/PreQual/Technical/Finance,.xls,Boq,"4,000",0.0,Nil,Nil,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,2,2992432,BAANI CONSTRUCTION,07-Jul-2025 04:45 PM,Rejected-Finance,Loser of Lottery,28-Jul-2025 11:50 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST,PAN,EPF,ESI,ADHAAR,RC,GST as per DTCN",,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,3,2985015,M/s. ASHIRBAD INDUSTRIES Prp. PRAKASH CHANDRA LENKA,06-Jul-2025 01:21 PM,Rejected-Finance,Loser of Lottery,28-Jul-2025 11:50 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,4,2985034,M/s. BHAGABATI INDUSTRIES Prop. NIRANJAN PANDA,06-Jul-2025 01:35 PM,Rejected-Finance,Loser of Lottery,28-Jul-2025 11:50 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,5,2991908,M/S JAGANNATH AGRICULTURAL IMPLEMENTS WORKSHOP,07-Jul-2025 03:57 PM,Rejected-Finance,Loser of Lottery,28-Jul-2025 11:50 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,6,2989541,M/S KALINGA METAL PRODUCT (PROP. SMT BASANTILATA MOHANTY,05-Jul-2025 08:29 AM,Rejected-Finance,Loser of Lottery,28-Jul-2025 11:50 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,7,2989498,"M/S MOHANTY INDUSTRIAL ENTERPRISERS -PROPRIETOR ,MALAYA KUMAR MOHANTY",05-Jul-2025 07:43 AM,Rejected-Finance,Loser of Lottery,28-Jul-2025 11:50 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,8,2988039,M/S SAIKRUPA ENTERPRISERS (PROP.UMESH CHANDRA SWAIN),05-Jul-2025 11:56 AM,Rejected-Finance,Loser of Lottery,28-Jul-2025 11:50 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,9,2988676,M/S SHREE INDUSTRIES,05-Jul-2025 12:47 PM,Accepted-AOC,Winner of the lottery,16-Sep-2025 05:21 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,10,2991545,"Shree Jagannath Steel Industries, Prop. KRUSHNA CHANDRA SASMAL",06-Jul-2025 07:49 PM,Rejected-Finance,Loser of Lottery,28-Jul-2025 11:50 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
