Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Finance,DOWNLOADED FOR FINAL SCRUTINY,Kuldeep Kumar,26-Jun-2025 03:36 PM,finance_541249.pdf,BOQ Comparative Chart,1.0,2966937.0,TIRUPATI PRASAD PANIGRAHI,INR,"1,440,221",Municipal Bodies||Rayagada Municipality,2025_ORULB_113894_2,RGDA-MUN-01/2025-26,"Construction of Boundary wall at Antariguda Wealth center in ward no-11, under Rayagada Municipality.","Chairperson, Rayagada Municipality",Internal,,Bulu Sethy,25-Sep-2025 07:33 AM,finsummary_541249.pdf (521.78 KB),"Chairperson, Rayagada Muncipality",Internal,,Bulu Sethy,21-Aug-2025 04:10 PM,techsummary_541249.pdf (521.78 KB),1,2970580,AJIT KUMAR SENAPATI,17-Jun-2025 01:27 PM,Rejected-Finance,Not qualified in lottery system,25-Sep-2025 07:33 AM,25-Sep-2025,"INR 1,694,178.007",30.0,Bulu Sethy,25-Sep-2025 07:41 AM,2.pdf (1428.00 KB),AOC,30-May-2025 11:30 AM,19-Jun-2025 11:30 AM,30-May-2025 11:30 AM,18-Jun-2025 05:30 PM,NA ,NA ,30-May-2025 11:30 AM,18-Jun-2025 05:30 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,LICENSE EMD PAPER COST GST ETC,EXECUTIVE OFFICER,RAYAGADA MUNICIPALITY,"16,941",Yes,fixed,,Nil,Nil,"Construction of Boundary wall at Antariguda Wealth center in ward no-11, under Rayagada Municipality.","Construction of Boundary wall at Antariguda Wealth center in ward no-11, under Rayagada Municipality.",Please refer Tender documents. ,NA ,"16,94,178",Civil Works - Others,NA ,Rate Contract,90.0,30.0,RAYAGADA,765001.0,NA ,NA ,NA ,RAYAGADA MUNICIPALITY,No ,No,Municipal Bodies||Rayagada Municipality,RGDA-MUN-01/2025-26,2025_ORULB_113894_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2963198,AMAR PRASAD PATNAIK,12-Jun-2025 05:41 PM,Rejected-Finance,Not qualified in lottery system,25-Sep-2025 07:33 AM,,,,,,,AOC,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2969839,AMBIKA GOUDA,16-Jun-2025 05:43 PM,Rejected-Finance,Not qualified in lottery system,25-Sep-2025 07:33 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2960313,ANAM CONSTRUCTION,10-Jun-2025 07:36 PM,Rejected-Finance,Not qualified in lottery system,25-Sep-2025 07:33 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2971820,ANJAN SABAT,18-Jun-2025 12:16 PM,Rejected-Finance,Not qualified in lottery system,25-Sep-2025 07:33 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2970908,BHAVANI PRASAD PATTANAIK,17-Jun-2025 03:39 PM,Rejected-Finance,Not qualified in lottery system,25-Sep-2025 07:33 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2967927,DAMBARUDHAR MAJHI,15-Jun-2025 09:59 PM,Rejected-Finance,Not qualified in lottery system,25-Sep-2025 07:33 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2971591,DEBADATTA NANDA,18-Jun-2025 11:04 AM,Rejected-Finance,Not qualified in lottery system,25-Sep-2025 07:33 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2971982,DURJADHANA MAJHI,18-Jun-2025 01:12 PM,Rejected-Finance,Not qualified in lottery system,25-Sep-2025 07:33 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2966035,GITANJALI BEHERA,13-Jun-2025 06:23 PM,Rejected-Finance,Not qualified in lottery system,25-Sep-2025 07:33 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
