Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Municipal Bodies||Belpahar Municipal Council,EO/BPHM/S/01/2025-2026,2025_ORULB_113427_1,Yes,Open Tender,Percentage,Services,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Scanned copies of required documents as per DTCN,"Executive Officer,Belpahar Municipality",At/Po-Belpahar Dist_Jharsuguda Odisha-768218,"2,17,592",Yes,fixed,,Nil,Nil,Providing Cleaning and Sanitation Service in 19 (nineteen) nos of ward under Belpahar Municipality.,Providing Cleaning and Sanitation Service in 19 (nineteen) nos of ward under Belpahar Municipality.,Please refer Tender documents. ,NA ,"2,17,59,130",Human Resources Supply,NA ,Tender,90.0,365.0,Belpahar Municipality,768218.0,NA ,NA ,NA ,Belpahar Municipality Office,No ,No,16-May-2025 10:00 AM,02-Jun-2025 11:00 AM,16-May-2025 10:00 AM,31-May-2025 05:00 PM,NA ,NA ,16-May-2025 10:00 AM,31-May-2025 05:00 PM,23-Jun-2025 11:00 AM,"10,000",0.0,Nil,Nil,No,AOC,Nimai Charan Panda,Internal,,Nilakantha Kisan,09-Sep-2025 05:04 PM,finsummary_539448.pdf (256.18 KB),Technical,ok,Nilakantha Kisan,21-Jun-2025 03:45 PM,technical_539448.pdf,Municipal Bodies||Belpahar Municipal Council,2025_ORULB_113427_1,EO/BPHM/S/01/2025-2026,Providing Cleaning and Sanitation Service in 19 (nineteen) nos of ward under Belpahar Municipality.,1.0,2935213.0,PRASANNA PRADHAN,INR,"19,365,625.7",09-Sep-2025,"INR 19,365,625.7",365.0,Nilakantha Kisan,09-Sep-2025 05:16 PM,WO.pdf (1531.00 KB),1,2944770,ANADI CHARAN NATH,31-May-2025 01:34 PM,Rejected-AOC,Rejected as L3,09-Sep-2025 05:16 PM,Finance,ok,Nilakantha Kisan,09-Sep-2025 04:49 PM,finance_539448.pdf,BOQ Comparative Chart,Nimar Charan Panda,Internal,,Nilakantha Kisan,21-Jun-2025 03:58 PM,23-Jun-2025 11:00 AM,techsummary_539448.pdf (256.18 KB),AOC
,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Scanned copies of online deposit receipt of EMD and cost of bid documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2944995,G.MANJU SERVICES PRIVATE LIMITED,31-May-2025 02:33 PM,Rejected-AOC,Rejected as L4,09-Sep-2025 05:16 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2941149,Green Circle Environment Pvt. Ltd.,30-May-2025 05:17 PM,Rejected-AOC,Rejected as L3,09-Sep-2025 05:16 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2943147,M/S CHANDAN SECURITY SERVICE,30-May-2025 02:05 PM,Rejected-AOC,Rejected as L5,09-Sep-2025 05:16 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2930362,M/s. MAA TARINI SECURITY SERVICE,29-May-2025 05:33 PM,Rejected-AOC,Not win the lottery,09-Sep-2025 05:16 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2944736,Neta Security Services Private limited,31-May-2025 02:53 PM,Not Admitted-Fee/PreQual/Technical,Others-EMD not deposited,21-Jun-2025 03:45 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2938014,NISCHINT MULTISERVICE PVT. LTD.,30-May-2025 05:51 PM,Not Admitted-Fee/PreQual/Technical,Others-EMD not deposited,21-Jun-2025 03:45 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2929911,PMR CONSORTIUM,31-May-2025 02:25 PM,Rejected-AOC,Rejected as L2,09-Sep-2025 05:16 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2935213,PRASANNA PRADHAN,30-May-2025 06:45 PM,Accepted-AOC,Tender finalised through transparent lottery system drawn among L1 bidders and winner of lottery,09-Sep-2025 05:16 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2944759,SOCIAL ACTIVITIES AND HEALTH ADVANCEMENT (SAHA),31-May-2025 01:50 PM,Rejected-AOC,Rejected as L6,09-Sep-2025 05:16 PM,,,,,,,,,,,,,,AOC
