Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Tender Stage
Finance,6 Nos. Bidders Participated,MANAS RANJAN BUDA,19-Apr-2025 04:24 PM,finance_534855.pdf,BOQ Comparative Chart,1.0,2879358.0,SEELA RAJEYA REDDY,INR,"1,258,940",Orissa Lift Irrigation Corporation||LI Western Circle Bhawanipatna||LI Division Nuapada,2025_OLIC_112006_42,OLIC-NPD-03/2024-25,Revival of RAGHUPALI-I defunct LI. Project under KOMNA Block in NUAPADA District under State Plan Fund 2024-25.,EE,Internal,EE and others,MANAS RANJAN BUDA,07-Sep-2025 09:31 AM,finsummary_534855.pdf (198.47 KB),EE,Internal,EE and others,MANAS RANJAN BUDA,07-Sep-2025 05:52 AM,techsummary_534855.pdf (1370.47 KB),07-Sep-2025,"INR 1,480,932",90.0,MANAS RANJAN BUDA,07-Sep-2025 09:33 AM,42.pdf (1370.00 KB),Success on Lottery system,1,2881091,MOHAMMED SALMAN,10-Apr-2025 07:20 PM,Rejected-Finance,Unsuccess on Lottery System,07-Sep-2025 09:31 AM,AOC,"7,080",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Cost of TP, EMD, PAN, GST, RC, Affidavits, Joint Venture and other imp Document as per DTCN",Orissa Lift Irrigation Corporation||LI Western Circle Bhawanipatna||LI Division Nuapada,OLIC-NPD-03/2024-25,2025_OLIC_112006_42,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Executive Engineer, L.I. Division, Nuapada","O/O. the Executive Engineer, L.I. Division, Nuapad","14,809",Yes,percentage,1.0%,Nil,Nil,Revival of RAGHUPALI-I defunct LI. Project under KOMNA Block in NUAPADA District under State Plan Fund 2024-25.,Revival of RAGHUPALI-I defunct LI. Project under KOMNA Block in NUAPADA District under State Plan Fund 2024-25.,Please refer Tender documents. ,NA ,"14,80,932",Civil Works - Lift Irrigation Schemes,NA ,Tender,90.0,90.0,Nuapada,766105.0,NA ,NA ,NA ,"O/O. the Executive Engineer, L.I. Division, Nuapad",No ,No,04-Apr-2025 11:00 AM,15-Apr-2025 11:00 AM,04-Apr-2025 11:00 AM,11-Apr-2025 05:00 PM,04-Apr-2025 11:00 AM ,09-Apr-2025 05:00 PM ,04-Apr-2025 11:00 AM,11-Apr-2025 05:00 PM,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2881387,NIRAJ KUMAR PANDEY,11-Apr-2025 01:52 AM,Rejected-Finance,Unsuccess on Lottery System,07-Sep-2025 09:31 AM,AOC,,,,,,,,.xls,Bill of quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2881308,Pankaj kumar pandey,11-Apr-2025 04:49 PM,Rejected-Finance,Unsuccess on Lottery System,07-Sep-2025 09:31 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2879220,ROHIT KUMAR TRIVEDI,08-Apr-2025 06:42 PM,Rejected-Finance,Unsuccess on Lottery System,07-Sep-2025 09:31 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2879358,SEELA RAJEYA REDDY,08-Apr-2025 09:34 PM,Accepted-AOC,Success on Lottery System,07-Sep-2025 09:33 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2881327,SURENDRA KUMAR AGRAWAL,10-Apr-2025 10:05 PM,Rejected-Finance,Unsuccess on Lottery System,07-Sep-2025 09:31 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
