Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Tender Stage
Finance,BOQ SUMMARY,Dhanraj Hanumant Dhamdhere,24-Jul-2025 04:32 PM,finance_545219.pdf,BOQ Comparative Chart,25-Sep-2025,"INR 800,871",150.0,Dhanraj Hanumant Dhamdhere,25-Sep-2025 06:40 PM,17.pdf (527.00 KB),Work Order Issue to L1 Bidder selected through Lottery,1.0,2997521.0,CHHEDILAL KATARUKA,INR,"800,871",Forest Environment and Climate Change Department||RCCF Rourkela||DFO Keonjhar,2025_DFOKJ_115123_17,FEnCC-DFOT KJR-01_2025-26,"Construction of Water Body near village Baghabasa, Kalapat RF of Telkoi Range",1,2997223,AJIT KUMAR SAHU,12-Jul-2025 02:00 PM,Rejected-AOC,Not Accepted,25-Sep-2025 06:40 PM,"Dhanraj HD, IFS",Internal,"Jyotirmaya Suar, Jr. Asst., Narayan Panda, IC Head Clerk, Ashok Kumar Das, ACF, Sudipta Kumar Panda, ACF",Ashok Kumar Das,20-Sep-2025 04:47 PM,techsummary_545219.pdf (302.04 KB),"Dhanraj HD, IFS",Internal,"Jyotirmaya Suar, Jr. Asst., Narayan Panda, IC Head Clerk, Ashok Kumar Das, ACF, Sudipta Kumar Panda, ACF",Ashok Kumar Das,20-Sep-2025 04:54 PM,finsummary_545219.pdf (150.11 KB),AOC,"Construction of Water Body near village Baghabasa, Kalapat RF of Telkoi Range","Construction of Water Body near village Baghabasa, Kalapat RF of Telkoi Range under OMBADC",Please refer Tender documents. ,NA ,,Civil Works - Others,NA ,Tender,120.0,150.0,Kalapat Rf of Telkoi Range,758019.0,NA ,NA ,NA ,O/o the Divisional Forest Officer Keonjhar Divisio,No ,No,"8,000",Yes,fixed,,Nil,Nil,08-Jul-2025 10:00 AM,18-Jul-2025 10:00 AM,08-Jul-2025 10:00 AM,17-Jul-2025 05:00 PM,08-Jul-2025 10:00 AM ,17-Jul-2025 05:00 PM ,08-Jul-2025 10:00 AM,17-Jul-2025 05:00 PM,Forest Environment and Climate Change Department||RCCF Rourkela||DFO Keonjhar,FEnCC-DFOT KJR-01_2025-26,2025_DFOKJ_115123_17,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.xls,BOQ,"4,000",Nil,Nil,No,Divisional Forest Officer,At/Po/Dist- Keonjhar-758001,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,2,2998908,ANANTA KUMAR THAMB,14-Jul-2025 01:18 PM,Rejected-AOC,Not Accepted,25-Sep-2025 06:40 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,DTCN,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,3,2995084,ANNAPURNA ROUT,10-Jul-2025 09:36 PM,Rejected-AOC,Not Accepted,25-Sep-2025 06:40 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4,3001334,BASANTA KUMAR MAHANTA,17-Jul-2025 10:23 AM,Rejected-AOC,Not Accepted,25-Sep-2025 06:40 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5,2995028,BISHNUPRASAD JENA,11-Jul-2025 10:58 AM,Rejected-AOC,Not Accepted,25-Sep-2025 06:40 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,6,2999715,CHAITANYA PANDIT,17-Jul-2025 03:48 PM,Rejected-AOC,Not Accepted,25-Sep-2025 06:40 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,7,2997521,CHHEDILAL KATARUKA,12-Jul-2025 08:34 PM,Accepted-AOC,Accepted,25-Sep-2025 06:40 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,8,3001363,DEBENDRA MAJHI,17-Jul-2025 08:46 AM,Rejected-AOC,Not Accepted,25-Sep-2025 06:40 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,9,3002310,DILESWAR SASAMAL,17-Jul-2025 02:21 PM,Rejected-AOC,Not Accepted,25-Sep-2025 06:40 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,10,2999749,DILLIP KUMAR BEHERA,15-Jul-2025 12:13 PM,Rejected-AOC,Not Accepted,25-Sep-2025 06:40 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
