Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage
Orissa Lift Irrigation Corporation||LI Southern Circle Berhampur||LI Division Berhampur,2025_OLIC_112565_7,02/2025-26 OLIC (BAM),Khamarapaitri R/L,1.0,2895335.0,PRAFULA KUMAR SETHY,INR,"1,147,971.12","Executive Engineer,L.I.Division,Berhampur",Internal,"Estimator,L.I.Division,Berhampur,Divisional Accountant,L.I.Division,Berhampur",Sibarama Panda,04-Sep-2025 11:11 AM,techsummary_536814.pdf (403.70 KB),08-Sep-2025,"INR 1,318,141",120.0,Sibarama Panda,08-Sep-2025 11:11 AM,Pkg07.pdf (1292.00 KB),Awarded,Finance,Two Bidder are Admitted,Sibarama Panda,02-May-2025 04:50 PM,,BOQ Comparative Chart,"Executive Engineer,L.I.Division,Berhampur",Internal,"Estimator,L.I.Division,Berhampur,Divisional Accountant,L.I.Division,Berhampur",Sibarama Panda,08-Sep-2025 11:06 AM,finsummary_536814.pdf (403.70 KB),1.0,2893862.0,CHANDAN ELECTRICAL WORKS,25-Apr-2025 01:23 AM,Rejected-AOC,Reject,08-Sep-2025 11:11 AM,AOC,Orissa Lift Irrigation Corporation||LI Southern Circle Berhampur||LI Division Berhampur,02/2025-26 OLIC (BAM),2025_OLIC_112565_7,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,17-Apr-2025 12:00 PM,28-Apr-2025 12:00 PM,17-Apr-2025 12:00 PM,26-Apr-2025 05:00 PM,17-Apr-2025 12:00 PM ,24-Apr-2025 05:00 PM ,17-Apr-2025 12:00 PM,26-Apr-2025 05:00 PM,"Executive Engineer, L.I. Division, Berhampur","O/o the Executive Engineer, L.I. Division, Berhampur, 1st Gate, Berhampur, Po- Panigrahy Pentho, Dist- Ganjam, Odisha, Pin- 760006","12,420",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,"7,080",0.0,Nil,Nil,No,Khamarapaitri R/L,Revival and Energisation of L.I. Project,Please refer Tender documents ,NA ,"12,42,000",Civil Works - Lift Irrigation Schemes,Lift Irrigation Projects ,Tender,365.0,120.0,Khamarapaitri under Dharakote Block,760006.0,NA ,NA ,NA ,"O/o Executive Engineer, L.I. Division, Berhampur",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Copy of Registration Certificate, PAN, GSTIN, Cost of Bid Online,EMD and JV Details as per DTCN",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2895335.0,PRAFULA KUMAR SETHY,26-Apr-2025 01:10 PM,Accepted-AOC,Accept,08-Sep-2025 11:11 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit, Registration Documents of JV, Forms- A to G etc as per DTCN",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,AOC
