Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
tapan kumar behera,Internal,,Tapan Kumar Behera,17-Jun-2025 08:39 PM,18-Jun-2025 09:45 AM,techsummary_535706.pdf (950.13 KB),Finance,The Financial bids of 13 (Thirteen) Nos. of bidders are opened for further consideration.,Tapan Kumar Behera,20-Jun-2025 08:31 PM,finance_535706.pdf,BOQ Comparative Chart,20-Sep-2025,"INR 16,357,067",180.0,Tapan Kumar Behera,20-Sep-2025 05:48 PM,agrmt.pdf (1080.00 KB),1,2889477,AJAY KUMAR AGRAWAL,20-Apr-2025 04:03 PM,Rejected-Finance,Lost By transparent Lottery System,10-Jul-2025 12:09 PM,1.0,2891709.0,Raghunandan Agrawal,INR,"16,357,067",EIC-CIVIL||SERNB-CIRCLE-BOLANGIR,2025_EICCL_112314_3,CCE (R and B) BGR-06-2024-25,"Construction of staff quarter (GF D Type and FF E Type,one Block) for ITI, Kantabanji in the district of Balangir .",Technical,The Technical bids of 17 (Seventeen) Nos. of bidders are opened for further consideration.,Tapan Kumar Behera,23-Apr-2025 06:29 PM,technical_535706.pdf,tapan kumar behera,Internal,,Tapan Kumar Behera,10-Jul-2025 12:09 PM,finsummary_535706.pdf (1735.86 KB),AOC,1.0,Fee/PreQual/Technical,.pdf,"Online proof copy of tender paper cost and EMD, GSTIN, PAN, RC and Affidavit.","10,000",0.0,Nil,Nil,No,CCE Rand B CIRCLE BALANGIR,O/O CCE R and B CIRCLE BALANGIR,EIC-CIVIL||SERNB-CIRCLE-BOLANGIR,CCE (R and B) BGR-06-2024-25,2025_EICCL_112314_3,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,08-Apr-2025 02:00 PM,23-Apr-2025 11:00 AM,08-Apr-2025 02:00 PM,22-Apr-2025 05:00 PM,08-Apr-2025 02:00 PM ,15-Apr-2025 05:00 PM ,08-Apr-2025 02:00 PM,22-Apr-2025 05:00 PM,18-Jun-2025 09:45 AM,"Construction of staff quarter (GF D Type and FF E Type,one Block) for ITI, Kantabanji in the district of Balangir .",Building work,Please refer tender documents ,NA ,"1,92,41,345",Civil Works - Buildings,NA ,Tender,90.0,180.0,Kantabanji,767039.0,NA ,NA ,NA ,O/O CCE R and B CIRCLE BALANGIR,No ,No,1.0,ICICI BANK,1.0,corrigendum 1,Other,,"1,92,000",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,2,2891045,DEBABRATA BRAHMA,22-Apr-2025 01:23 PM,Rejected-Finance,Lost By transparent Lottery System,10-Jul-2025 12:09 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Machineries and work Experience.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,3,2889537,Gokul Pradhan,22-Apr-2025 09:46 AM,Rejected-Finance,Lost By transparent Lottery System,10-Jul-2025 12:09 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Other documents as per DTCN.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,4,2891624,GOPAL AGRAWAL,22-Apr-2025 04:20 PM,Rejected-Technical,as per Dtcn,17-Jun-2025 08:39 PM,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,Bill of Quantity.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,5,2885576,KL INFRAPROJECTS,17-Apr-2025 01:27 PM,Rejected-Technical,as per Dtcn,17-Jun-2025 08:39 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,6,2891244,M/S RAMESH KUMAR AGRAWAL,22-Apr-2025 01:00 PM,Rejected-Finance,Lost By transparent Lottery System,10-Jul-2025 12:09 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,7,2890187,PRABHASH KUMAR JAIN,22-Apr-2025 09:33 AM,Rejected-Finance,Lost By transparent Lottery System,10-Jul-2025 12:09 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,8,2888119,PURNAMASI PARICHHA,19-Apr-2025 12:37 PM,Rejected-Finance,as per dtcn,10-Jul-2025 12:09 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,9,2891709,Raghunandan Agrawal,22-Apr-2025 03:53 PM,Accepted-AOC,aoc,20-Sep-2025 05:48 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,10,2889806,SAGAR CHAND KHEDIA,21-Apr-2025 10:59 AM,Rejected-Finance,Lost By transparent Lottery System,10-Jul-2025 12:09 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
