Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
PHEO||PH Circle Bhawanipatna||PH Division Bhawanipatna,2025_PHEO_116942_3,SEPH BHPT 13 of 2025-26,"Supply , installation , testing and commissioning of flowmeters in zonal reservoirs with other ancillary work in Junagarh NAC",1.0,3048680.0,RAJESH KUMAR SAHOO,INR,"1,021,384",ACE PH BHAWANIPATNA,Internal,,Subrat Kumar Das,26-Sep-2025 06:55 PM,techsummary_549398.pdf (852.17 KB),26-Sep-2025,"INR 1,021,384",60.0,Subrat Kumar Das,26-Sep-2025 07:08 PM,workorder.pdf (835.00 KB),WORK ORDER PLACED ON DTD 22.09.2025,Finance,opened,Subrat Kumar Das,30-Aug-2025 04:35 PM,finance_549398.pdf,BOQ Comparative Chart,ACE PH BHAWANIPATNA,Internal,,Subrat Kumar Das,26-Sep-2025 07:04 PM,finsummary_549398.pdf (1005.84 KB),1,3048873,ABHIMANYU CHHATRIA,26-Aug-2025 10:07 AM,Rejected-AOC,L2,26-Sep-2025 07:08 PM,AOC,16-Aug-2025 11:50 AM,29-Aug-2025 11:30 AM,16-Aug-2025 11:50 AM,26-Aug-2025 05:00 PM,16-Aug-2025 11:50 AM ,22-Aug-2025 05:00 PM ,16-Aug-2025 11:50 AM,26-Aug-2025 05:00 PM,"Supply , installation , testing and commissioning of flowmeters in zonal reservoirs with other ancillary work in Junagarh NAC","Supply , installation , testing and commissioning of flowmeters in zonal reservoirs with other ancillary work in Junagarh NAC",relevant documents as per dtcn ,NA ,"12,01,487",Civil Works - Water Works,NA ,Tender,120.0,60.0,Junagarh,766014.0,NA ,NA ,NA ,BHAWANIPATNA,No ,No,1.0,ICICI BANK,"12,015",Yes,percentage,1.0%,Nil,Nil,SUPERINTENDING ENGINEER PH DIVISION BHAWANIPATNA,bhawanipatna,PHEO||PH Circle Bhawanipatna||PH Division Bhawanipatna,SEPH BHPT 13 of 2025-26,2025_PHEO_116942_3,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,RELEVANT DOCUMENTS AS PER DTCN,"6,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3050350,ABHIMANYU SWAIN,26-Aug-2025 04:57 PM,Rejected-AOC,L2,26-Sep-2026 01:30 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3040034,ALEKH CHANDRA DAS,18-Aug-2025 02:11 PM,Rejected-AOC,L2,26-Sep-2025 07:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3049740,ASCENSOR LIFTS AND AUTOMATION PRIVATE LIMITED,26-Aug-2025 01:14 PM,Rejected-AOC,L2,26-Sep-2025 07:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3049803,CIMCON SOFTWARE INDIA PRIVATE LIMITED,26-Aug-2025 02:56 PM,Rejected-Technical,Technically Not Qualified,26-Sep-2025 06:55 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3048856,ELEADEL,26-Aug-2025 11:04 AM,Rejected-AOC,L2,26-Sep-2025 07:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3045054,JANAKI PUJHARI,26-Aug-2025 04:07 PM,Rejected-AOC,L2,26-Sep-2025 07:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3050212,KHUSBU AGRAWAL,26-Aug-2025 04:37 PM,Rejected-AOC,L2,26-Sep-2025 07:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3047611,KRUSHNA JENA,25-Aug-2025 02:36 PM,Rejected-AOC,L2,26-Sep-2025 07:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3041614,MAA TARINI CONSTRUCTION,26-Aug-2025 11:34 AM,Rejected-AOC,L2,26-Sep-2025 07:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
