S.No,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Instrument Type,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ORIGINAL BIDS DOCUMENTS CORRIGENDUM,Other,,24-Jul-2025 11:00 AM,08-Aug-2025 11:00 AM,24-Jul-2025 11:00 AM,07-Aug-2025 05:30 PM,24-Jul-2025 11:00 AM ,07-Aug-2025 05:30 PM ,24-Jul-2025 11:00 AM,07-Aug-2025 05:30 PM,20-Sep-2025 10:00 AM,Executive Officer,"NAC Kuchinda,At/Po/Ps-Kuchinda,Dist-Sambalpur,Odisha",1.0,Fee/PreQual/Technical,.pdf,DTCN,Municipal Bodies||Kuchinda NAC,KCDA/NAC-3/2025-26,2025_ORULB_115899_1,Yes,Open Tender,EOI,Services,2.0,No,No,Offline,No,No,No,"30,000",No,fixed,,Executive Officer NAC Kuchinda,Kuchinda,"Provision Manpower for Watchman, Mali And Caretaker Services in NAC Kuchinda","Manpower for Watchman, Mali And Caretaker Services in NAC Kuchinda",As per DTCN ,NA ,0.0,Human Resources Supply,"Watchman, Mali And Caretake ",Rate Contract,180.0,730.0,NAC Kuchinda,768222.0,NA ,NA ,NA ,NAC KUCHINDA,No ,No,"4,000",0.0,Executive Officer NAC Kuchinda,Kuchinda,No,1,DD - Demand Draft,AOC,20-Sep-2025,"INR 222,900",730.0,Barun Kumar Sa,20-Sep-2025 12:44 PM,2746.pdf (606.00 KB),Work Order Issued,1,3021254,BHARAT SECURITY SERVICE,05-Aug-2025 11:31 AM,Rejected-Technical,Not Fulfill all eligibility Criteria,19-Sep-2025 07:32 PM,Pradyut Kumar Mohanty,Internal,"MIS CP, JE,ME,EO NAC Kuchinda",Barun Kumar Sa,19-Sep-2025 07:32 PM,20-Sep-2025 10:00 AM,techsummary_546932.pdf (1074.50 KB),Finance,ok,Barun Kumar Sa,20-Sep-2025 12:16 PM,finance_546932.pdf,Technical,OK,Barun Kumar Sa,19-Sep-2025 01:45 PM,technical_546932.pdf,Municipal Bodies||Kuchinda NAC,2025_ORULB_115899_1,KCDA/NAC-3/2025-26,"Provision Manpower for Watchman, Mali And Caretaker Services in NAC Kuchinda",Pradyut Kumar Mohanty,Internal,"MIS CP, JE,ME,EO, NAC Kuchinda",Barun Kumar Sa,20-Sep-2025 12:28 PM,finsummary_546932.pdf (180.83 KB),1.0,3025455.0,SRIRAM INTELLIGENCE SECURITIES PVT. LTD.,INR,"222,900",AOC
,,,,,,,,,,,,,,,2.0,Finance,.pdf,Financial Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,BC - Bankers Cheque,AOC,,,,,,,,2,3024748,M/s. KALINGA WARRIORS SECURITY SERVICES,07-Aug-2025 02:59 PM,Rejected-Technical,Not Fulfill all eligibility Criteria,19-Sep-2025 07:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,SS - Small Savings Instrument,AOC,,,,,,,,3,3019144,Quantum Global Infratech Limited,06-Aug-2025 04:41 PM,Rejected-AOC,L2,20-Sep-2025 12:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,BG - Bank Guarantee,AOC,,,,,,,,4,3025455,SRIRAM INTELLIGENCE SECURITIES PVT. LTD.,06-Aug-2025 06:13 PM,Accepted-AOC,L1,20-Sep-2025 12:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,TD- Term Deposit,AOC,,,,,,,,5,3020701,SURENDRA BARIK INFRASERVICE PRIVATE LIMITED,04-Aug-2025 04:44 PM,Rejected-AOC,L3,20-Sep-2025 12:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
