Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
Finance,"Successful bidder Sri Shashi Bhusan Praharaj, C Class Contractor declared as winner in lottery",Srikrushna Sabar,03-Jun-2025 12:44 PM,finance_531177.pdf,BOQ Comparative Chart,1.0,2835956.0,SHASHI BHUSAN PRAHARAJ,INR,"360,020",CE RW I||RWCIRCLE-BERHAMPUR||EE RW Divn. Baliguda,2025_CERWI_111044_2,Online Tender/08/EERWD/BLG-2024-25,S/R to Staff Qtr of Govt. Ayurvedic Dispensary at Bataguda in the district of Kandhamal for the year 2024 - 25,EE/DAO,Internal,EE/DAO,Srikrushna Sabar,03-Jun-2025 01:04 PM,finsummary_531177.pdf (430.95 KB),EE/DAO,Internal,EE/DAO,Srikrushna Sabar,03-Jun-2025 12:55 PM,techsummary_531177.pdf (430.95 KB),03-Jun-2025,"INR 360,020",30.0,Srikrushna Sabar,03-Jun-2025 01:11 PM,Work.pdf (431.00 KB),"Successful bidder Sri Shashi Bhusan Praharaj, C Class Contractor declared as winner in lottery",1,2835944,AKASH KUMAR NAYAK,24-Feb-2025 04:37 PM,Rejected-Finance,Unsuccessful bidder,03-Jun-2025 01:04 PM,AOC,"2,000",0.0,Nil,Nil,No,Executive Engineer RWD Balliguda,Executive Engineer RWD Balliguda,S/R to Staff Qtr of Govt. Ayurvedic Dispensary at Bataguda in the district of Kandhamal for the year 2024 - 25,S/R to Staff Qtr of Govt. Ayurvedic Dispensary at Bataguda in the district of Kandhamal for the year 2024 - 25,Please refer Tender documents. ,NA ,"4,23,503",Civil Works - Buildings,NA ,Tender,90.0,30.0,Balliguda/Kandhamal,762103.0,NA ,NA ,NA ,Executive Engineer RWD Balliguda,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Valid Contract Registration Certificate,GSTIN, PAN,Affidavit,cost of Tender Paper as per DTCN","4,230",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,CE RW I||RWCIRCLE-BERHAMPUR||EE RW Divn. Baliguda,Online Tender/08/EERWD/BLG-2024-25,2025_CERWI_111044_2,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,21-Feb-2025 06:00 PM,01-Mar-2025 11:30 AM,21-Feb-2025 06:00 PM,28-Feb-2025 06:00 PM,21-Feb-2025 06:00 PM ,27-Feb-2025 04:00 PM ,21-Feb-2025 06:00 PM,28-Feb-2025 06:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2841021,BIBHU DIGAL,28-Feb-2025 11:45 AM,Rejected-Finance,Unsuccessful bidder,03-Jun-2025 01:04 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,DTCN,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2840930,BIREN NAG,27-Feb-2025 10:32 PM,Rejected-Finance,Unsuccessful bidder,03-Jun-2025 01:04 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2841427,KRUTIBAS MOHANTY,28-Feb-2025 02:20 PM,Rejected-Finance,Unsuccessful bidder,03-Jun-2025 01:04 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2841277,M/S NIMRAD DIGAL,28-Feb-2025 01:00 PM,Rejected-Finance,Unsuccessful bidder,03-Jun-2025 01:04 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2838825,M/S SANJIB KUMAR MALLA,26-Feb-2025 05:00 PM,Rejected-Finance,Unsuccessful bidder,03-Jun-2025 01:04 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2841035,M/S SANJUKTA SAHU,28-Feb-2025 11:50 AM,Rejected-Finance,Unsuccessful bidder,03-Jun-2025 01:04 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2841029,M/S SARMISTHA PATRA,28-Feb-2025 12:25 PM,Rejected-Finance,Unsuccessful bidder,03-Jun-2025 01:04 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2840781,PRAKASH CHANDRA NAYAK,28-Feb-2025 10:58 AM,Rejected-Finance,Unsuccessful bidder,03-Jun-2025 01:04 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2841609,RAJASHREE CONSTRUCTION,28-Feb-2025 04:07 PM,Rejected-Finance,Unsuccessful bidder,03-Jun-2025 01:04 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
