Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage
Finance,Thirteen bidders participated. BOQ Comparative Chart is enclosed for reference. The Original documents of bidders to be verified.,Sanjukta Sa,01-Mar-2025 11:51 AM,finance_530007.pdf,BOQ Comparative Chart,1.0,2828359.0,SOUBHAGYA RANJAN MOHAPATRA,INR,"3,345,447.33",Municipal Bodies||Cuttack Municipal Corporation,2025_ORULB_109405_2,MCCMCCTC_Div-III_No28/2024-25,Construction of Parking at Tarini Temple Gopalpur in Ward No.57.,Deputy Executive Engineer,Internal,Executive Engineer,Antarjyamee Patra,28-Jun-2025 01:51 PM,finsummary_530007.pdf (402.21 KB),Deputy Executive Engineer,Internal,Executive Engineer,Antarjyamee Patra,28-Jun-2025 01:48 PM,techsummary_530007.pdf (402.21 KB),28-Jun-2025,"INR 3,345,447.33",90.0,Antarjyamee Patra,28-Jun-2025 02:08 PM,3282.pdf (484.00 KB),WO,1,2828950,ABHIJIT KUMAR BEHERA,21-Feb-2025 01:05 PM,Rejected-AOC,Rejected,28-Jun-2025 02:08 PM,AOC,1.0,ICICI BANK,Municipal Bodies||Cuttack Municipal Corporation,MCCMCCTC_Div-III_No28/2024-25,2025_ORULB_109405_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"7,080",0.0,Nil,Nil,No,13-Feb-2025 05:25 PM,27-Feb-2025 10:00 AM,13-Feb-2025 05:25 PM,21-Feb-2025 05:00 PM,NA ,NA ,13-Feb-2025 05:25 PM,21-Feb-2025 05:00 PM,"39,400",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"TENDER PAPER COST,EMD,GST,PAN,REGISTRATION CERTIFICATE,OTHER DOCUMENTS AS PER DTCN in online.",Construction of Parking at Tarini Temple Gopalpur in Ward No.57.,Construction of Parking at Tarini Temple Gopalpur in Ward No.57.,Please refer Tender documents. ,NA ,"39,35,357",Civil Works - Others,NA ,Tender,105.0,90.0,CMC,753012.0,NA ,NA ,NA ,"Bikash Bhawan,Jagannath Lane,Badambadi-753012",No ,No,"Executive Engineer,Div-III","Bikash Bhawan,Jagannath Lane,Badambadi-753012",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2827157,ASHIS KUMAR BISWAL,20-Feb-2025 11:36 AM,Rejected-AOC,Rejected,28-Jun-2025 02:08 PM,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2828881,CHITTARANJAN ROUT,21-Feb-2025 12:04 PM,Rejected-AOC,Rejected,28-Jun-2025 02:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2829366,DEBASIS JENA,21-Feb-2025 03:35 PM,Rejected-AOC,Rejected,28-Jun-2025 02:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2826040,JYOTI ENTERPRISES,20-Feb-2025 11:57 AM,Rejected-AOC,Rejected,28-Jun-2025 02:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2825405,LIPIKA PRIYADARSINI DAS,20-Feb-2025 06:18 PM,Rejected-AOC,Rejected,28-Jun-2025 02:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2829189,PRATAP KUMAR ROUT,21-Feb-2025 02:04 PM,Rejected-AOC,Rejected,28-Jun-2025 02:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2828829,SANJAY KUMAR DALAI,21-Feb-2025 01:24 PM,Rejected-AOC,Rejected,28-Jun-2025 02:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2824322,SATYA RANJAN LENKA,18-Feb-2025 02:45 PM,Rejected-AOC,Rejected,28-Jun-2025 02:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2829301,SOMYA RANJAN MOHARANA,21-Feb-2025 03:07 PM,Rejected-AOC,Rejected,28-Jun-2025 02:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
