Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,"Registration certificate,GSTIN,PAN,Affidavits etc",CE RW I||RW-CIRCLE-SUNDARGARH,RWCCESNG-07 OF 2024-25,2024_CERWI_104299_34,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"C.C.E.,R.W. Circle ,Sundargarh","Office of the C.C.E.,R.W. Circle ,Sundargarh",1.0,ICICI BANK,Construction of new 60 bedded SSD(PSH) hostel at Aleikera of Tangarpali block in the district of Sundargarh for the year 2023-24.,Construction of new 60 bedded SSD(PSH) hostel at Aleikera of Tangarpali block in the district of Sundargarh for the year 2023-24.,Please refer Tender documents. ,NA ,"2,45,11,365",Civil Works - Buildings,NA ,Tender,90.0,270.0,Sundargarh,770020.0,NA ,NA ,NA ,"Office of the C.C.E.,R.W. Circle ,Sundargarh",No ,No,1.0,Date Corrigendum,Date,,"2,45,114",Yes,percentage,1.0%,Nil,Nil,22-Aug-2024 02:00 PM,09-Sep-2024 11:00 AM,22-Aug-2024 02:00 PM,07-Sep-2024 05:00 PM,22-Aug-2024 02:00 PM ,05-Sep-2024 05:00 PM ,22-Aug-2024 02:00 PM,07-Sep-2024 05:00 PM,18-Oct-2024 11:00 AM,"10,000",0.0,Nil,Nil,No,AOC,Technical,Total twelve nos of bidder only.,Biswanath Sethy,11-Sep-2024 06:39 PM,,B.Sethy,Internal,,Biswanath Sethy,17-Dec-2024 11:40 AM,finsummary_505274.pdf (22.76 KB),Finance,Twelve nos of bidder,Biswanath Sethy,18-Oct-2024 05:28 PM,finance_505274.pdf,BOQ Comparative Chart,B.Sethy,Internal,,Biswanath Sethy,09-Oct-2024 02:21 PM,18-Oct-2024 11:00 AM,techsummary_505274.pdf (1251.43 KB),05-Jun-2025,"INR 24,511,364.63",270.0,Binata Kishan,05-Jun-2025 11:49 AM,438.pdf (729.00 KB),1,2541388,ANIL KUMAR PUJARI,05-Sep-2024 06:26 PM,Rejected-Finance,Not Qualified,17-Dec-2024 11:40 AM,CE RW I||RW-CIRCLE-SUNDARGARH,2024_CERWI_104299_34,RWCCESNG-07 OF 2024-25,Construction of new 60 bedded SSD(PSH) hostel at Aleikera of Tangarpali block in the district of Sundargarh for the year 2023-24.,1.0,2542508.0,"A R INFRA ,PROP-NELSAN KANDULNA",INR,"20,837,111.07",AOC
,,.pdf,"Annual turnover, work experience, machinaries and other documents as per DTCN.",,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2542508,"A R INFRA ,PROP-NELSAN KANDULNA",07-Sep-2024 02:45 PM,Accepted-AOC,Successful bidder by lottery,05-Jun-2025 11:49 AM,,,,,,,,,,AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2542601,ASHISH AGARWAL,07-Sep-2024 04:37 PM,Rejected-Finance,Not Qualified,17-Dec-2024 11:40 AM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2533660,BHABANI SHANKAR PATEL,31-Aug-2024 05:42 PM,Rejected-Finance,Not Qualified,17-Dec-2024 11:40 AM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2541701,GURU PRASAD MOHARANA,06-Sep-2024 10:18 AM,Rejected-Finance,Not Qualified,17-Dec-2024 11:40 AM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2541339,MIRZA ADIL IQUBAL BAIG,05-Sep-2024 01:09 PM,Rejected-Finance,Not Qualified,17-Dec-2024 11:40 AM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2541680,RAJEN TIRKEY,06-Sep-2024 08:52 AM,Rejected-Finance,Not Qualified,17-Dec-2024 11:40 AM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2541008,RISIT KUMAR SARANGI,04-Sep-2024 08:33 PM,Rejected-Finance,Not Qualified,17-Dec-2024 11:40 AM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2537008,SADASHIBA SETH,30-Aug-2024 11:20 AM,Rejected-Finance,Not Qualified,17-Dec-2024 11:40 AM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2542434,SATYA PRAKASH AGRAWAL,07-Sep-2024 01:32 PM,Rejected-Finance,Not Qualified,17-Dec-2024 11:40 AM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2542123,SUMEET DAS,06-Sep-2024 07:56 PM,Rejected-Finance,Not Qualified,17-Dec-2024 11:40 AM,,,,,,,,,,AOC
