Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Municipal Bodies||Balasore Municipality,BM_06_2024_25,2025_ORULB_111643_26,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"2,000",0.0,Nil,Nil,No,"Executive Officer, Balasore Municipality",Balasore Municipality Office,CONSTRUCTION OF PAVER BLOCK ROAD AND DRAIN FROM CHANDAK BABU HOUSE TO SHIBA SHANKAR DAS HOUSE AT BHASKARGANJ IN WARD NO_19,CONSTRUCTION OF PAVER BLOCK ROAD AND DRAIN FROM CHANDAK BABU HOUSE TO SHIBA SHANKAR DAS HOUSE AT BHASKARGANJ IN WARD NO_19,Please refer Tender documents. ,NA ,"4,20,678",Civil Works - Others,NA ,Tender,90.0,60.0,Balasore Municipality,756001.0,NA ,NA ,NA ,Balasore Municipality,No ,No,"4,207",Yes,percentage,1.0%,Nil,Nil,17-Mar-2025 05:00 PM,27-Mar-2025 11:00 AM,17-Mar-2025 05:00 PM,26-Mar-2025 05:00 PM,NA ,NA ,17-Mar-2025 05:00 PM,26-Mar-2025 05:00 PM,1.0,REVISED DTCN,Technical Bid,,1,ICICI BANK,AOC,EO CP ME AE,Internal,,Pradeep Kumar Nayak,24-Jun-2025 06:36 PM,techsummary_533126.pdf (446.26 KB),EO CP ME AE,Internal,,Pradeep Kumar Nayak,25-Jun-2025 05:08 PM,finsummary_533126.pdf (446.26 KB),Finance,Tender opened successfully,Pradeep Kumar Nayak,27-Mar-2025 01:56 PM,,BOQ Comparative Chart,25-Jun-2025,"INR 420,678",60.0,Pradeep Kumar Nayak,25-Jun-2025 05:10 PM,WO0626.pdf (496.00 KB),1.0,2868390.0,DHARAMJIT NAYAK,INR,"420,678",Municipal Bodies||Balasore Municipality,2025_ORULB_111643_26,BM_06_2024_25,CONSTRUCTION OF PAVER BLOCK ROAD AND DRAIN FROM CHANDAK BABU HOUSE TO SHIBA SHANKAR DAS HOUSE AT BHASKARGANJ IN WARD NO_19,1,2868390,DHARAMJIT NAYAK,26-Mar-2025 11:00 AM,Accepted-AOC,WO,25-Jun-2025 05:10 PM,AOC
,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2868542,LIPSA PRAVA SHAW,25-Mar-2025 10:11 PM,Rejected-Technical,L2,24-Jun-2025 06:36 PM,AOC
