Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, Affidavit, PAN, GST, EMD paper Cost and other documents as per DTCN",01-Mar-2025 06:00 PM,17-Mar-2025 11:00 AM,01-Mar-2025 06:00 PM,13-Mar-2025 05:00 PM,NA ,NA ,01-Mar-2025 06:00 PM,13-Mar-2025 05:00 PM,Rourkela Municipal Corporation,MC/RMC/13/2025,2025_RMC_111247_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,"6,330",Yes,fixed,,Nil,Nil,"4,000",Nil,Nil,No,"Electrical Wiring and Installation to Madhusudan Bal School, Malgodown under Rourkela Municipal Corporation.",Electrical,Please refer Tender documents. ,NA ,"6,33,000",Electrical Works,NA ,Tender,90.0,30.0,Rourkela,769012.0,NA ,NA ,NA ,"Rourkela Municipal Corporation, Rourkela",No ,No,"Municipal Commissioner, RMC","Rourkela Municipal Corporation, Rourkela",AOC,Finance,EMD refund,Birendra Nanda,03-Jun-2025 09:56 AM,finance_531852.pdf,BOQ Comparative Chart,Commissioner,External,"Audit Officer, Superintending Engineer, Joint Commissioner",Birendra Nanda,03-Jun-2025 10:11 AM,techsummary_531852.pdf (862.25 KB),1,2853030,ECO ELECTRIC POWER SOLUTIONS,13-Mar-2025 12:25 AM,Rejected-Technical,By The Tender Committee,03-Jun-2025 10:11 AM,10-Jun-2025,"INR 538,234.01",30.0,Birendra Nanda,10-Jun-2025 10:22 AM,BID13.pdf (862.00 KB),Awarded to Manoj Kumar Bhuyan,1.0,2853486.0,MANOJ KUMAR BHUYAN,INR,"538,234.01",Rourkela Municipal Corporation,2025_RMC_111247_2,MC/RMC/13/2025,"Electrical Wiring and Installation to Madhusudan Bal School, Malgodown under Rourkela Municipal Corporation.",Commissioner,External,"Audit Officer, Superintending Engineer, Joint Commissioner",Birendra Nanda,10-Jun-2025 10:09 AM,finsummary_531852.pdf (862.25 KB),AOC
,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,2,2849805,EDITION INTERNATIONAL,10-Mar-2025 08:17 PM,Rejected-Technical,By The Tender Committee,03-Jun-2025 10:11 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,3,2851559,JBS ENTERPRISES,12-Mar-2025 12:55 PM,Rejected-Technical,By The Tender Committee,03-Jun-2025 10:11 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,4,2852149,JUPITER ENGINEERS,12-Mar-2025 06:34 PM,Rejected-Technical,By The Tender Committee,03-Jun-2025 10:11 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,5,2853486,MANOJ KUMAR BHUYAN,13-Mar-2025 01:08 PM,Accepted-AOC,By The Tender Committee,10-Jun-2025 10:22 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,6,2850203,M/S GANGA ELECTRIC,12-Mar-2025 10:24 AM,Rejected-Technical,By The Tender Committee,03-Jun-2025 10:11 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,7,2853356,M/S SRIKALI ENTERPRISES,13-Mar-2025 01:44 PM,Rejected-Technical,By The Tender Committee,03-Jun-2025 10:11 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,8,2849831,NARAYANI CONSTRUCTION,10-Mar-2025 08:39 PM,Rejected-Technical,By The Tender Committee,03-Jun-2025 10:11 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,9,2853523,PRABAHA ENTERPRISES,13-Mar-2025 02:40 PM,Rejected-Technical,By The Tender Committee,03-Jun-2025 10:11 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,10,2849775,RAKESH PATTANAYAK,10-Mar-2025 07:59 PM,Rejected-Technical,By The Tender Committee,03-Jun-2025 10:11 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,11,2850187,R.S. ENTERPRISE,12-Mar-2025 11:40 AM,Rejected-Technical,By The Tender Committee,03-Jun-2025 10:11 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
