Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
EIC-CIVIL||SERNB-CIRCLE-BOLANGIR,CCE (R and B) BGR-12-2023-24,2023_EICCL_92164_4,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,10-Aug-2023 06:55 PM,28-Aug-2023 11:00 AM,10-Aug-2023 06:55 PM,25-Aug-2023 05:00 PM,10-Aug-2023 06:55 PM ,17-Aug-2023 05:00 PM ,10-Aug-2023 06:55 PM,25-Aug-2023 05:00 PM,02-Dec-2023 11:00 AM,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"Online proof copy of tender paper cost and EMD, GSTIN, PAN, RC and Affidavit.","10,000",0.0,Nil,Nil,No,"3,55,000",Yes,fixed,,Nil,Nil,"CCE, Balangir (R and B) Circle, Balangir","O/o CCE, Balangir (R and B) Circle, Balangir",Construction of 100 Bedded Boys Hostel Building in Odisha Adarsha Vidyalaya at Turekela under Jharni Block in Bolangir District.,Building Work,Please refer Tender documents. ,NA ,"3,54,77,158",Civil Works - Buildings,NA ,Tender,90.0,330.0,Kantabanji,767039.0,NA ,NA ,NA ,"O/o CCE, Balangir (R and B) Circle, Balangir",No ,No,AOC,Finance,The Financial bids of 05 (Five) Nos. of bidders are opened for further consideration.,Santosh Kumar Behera,02-Dec-2023 11:47 AM,finance_447599.pdf,BOQ Comparative Chart,Technical,The Technical bids of 05 (Five) Nos. of bidders are opened for further consideration.,Basistha Kumar Pattanaik,28-Aug-2023 11:52 AM,technical_447599.pdf,1,2214365,JAI BAJRANGBALI INFRA,24-Aug-2023 06:46 PM,Rejected-Finance,as per dtcn,03-May-2024 07:35 PM,02-Jan-2025,"INR 31,932,990",330.0,Roshan Tigga,12-Jun-2025 06:28 PM,367agreement.pdf (1656.00 KB),B K Pattanaik,Internal,,Basistha Kumar Pattanaik,03-May-2024 07:35 PM,finsummary_447599.pdf (610.44 KB),B K Pattanaik,Internal,,Basistha Kumar Pattanaik,30-Nov-2023 05:33 PM,02-Dec-2023 11:00 AM,techsummary_447599.pdf (629.54 KB),EIC-CIVIL||SERNB-CIRCLE-BOLANGIR,2023_EICCL_92164_4,CCE (R and B) BGR-12-2023-24,Construction of 100 Bedded Boys Hostel Building in Odisha Adarsha Vidyalaya at Turekela under Jharni Block in Bolangir District.,1.0,2211565.0,Sanjaya Kumar Agrawal,INR,"31,932,990",AOC
,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Machineries and work Experience.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2,2216057,M/S HEMANTA KUMAR SHARMA,25-Aug-2023 04:04 PM,Rejected-Finance,as per dtcn,03-May-2024 07:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other documents as per DTCN.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3,2215584,M/S SHREE SHYAM INFRA PROP. SRI LOKESH SHARMA,24-Aug-2023 05:29 PM,Rejected-Finance,as per dtcn,03-May-2024 07:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4,2211565,Sanjaya Kumar Agrawal,25-Aug-2023 11:38 AM,Accepted-AOC,as per dtcn,12-Jun-2025 06:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,5,2216214,Tanay Kumar Agrawal,24-Aug-2023 02:16 PM,Rejected-Finance,lost by transparent lottery system,03-May-2024 07:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
