Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage
09-Jun-2025,"INR 13,624,894.28",365.0,BIBHUTI BHUSHAN NAIK,09-Jun-2025 01:19 PM,WORKJL7.pdf (550.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 29.05.2025,Orissa State Police Housing and Welfare Corporation Ltd,2025_OSPHW_110660_16,15/OPHWC/2024-25,"Constn. of 6 Nos. F type Qtr. at Kutra PS, Sundargarh",1.0,2841512.0,SUSHANTA KUMAR SUNA,INR,"13,624,894.28",1,2839475,ARIA INFRA PROJECTS PRIVATE LIMITED,27-Feb-2025 09:44 AM,Rejected-Finance,due to l3 bidder,09-Jun-2025 01:15 PM,Finance,financial bid open and comparative generated,Bikram Keshari Malla,24-Apr-2025 11:22 AM,,BOQ Comparative Chart,AS PER TC MINUTES,Internal,AS PER TC MINUTES,BIBHUTI BHUSHAN NAIK,23-Apr-2025 05:38 PM,24-Apr-2025 10:30 AM,techsummary_530190.pdf (314.51 KB),Technical,FIVE BIDDER HAVE PARTICIAPTED,Bikram Keshari Malla,04-Mar-2025 01:40 PM,,AS PER AS ACCEPTANCE LETTER,Internal,AS PER AS ACCEPTANCE LETTER,BIBHUTI BHUSHAN NAIK,09-Jun-2025 01:15 PM,finsummary_530190.pdf (401.75 KB),AOC,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit",CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR,14-Feb-2025 06:55 PM,01-Mar-2025 10:30 AM,14-Feb-2025 06:55 PM,28-Feb-2025 05:00 PM,NA ,NA ,14-Feb-2025 06:55 PM,28-Feb-2025 05:00 PM,24-Apr-2025 10:30 AM,"1,60,300",Yes,fixed,,Nil,Nil,"Constn. of 6 Nos. F type Qtr. at Kutra PS, Sundargarh",Building Work,Please refer Tender documents  ,NA ,"1,60,27,402",Civil Works - Buildings,NA ,Tender,90.0,365.0,Sundargarh,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,"11,800",0.0,Nil,Nil,No,Orissa State Police Housing and Welfare Corporation Ltd,15/OPHWC/2024-25,2025_OSPHW_110660_16,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,2,2841505,RIZWAN RAZA,28-Feb-2025 02:37 PM,Rejected-Finance,due to l4 bidder,09-Jun-2025 01:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Other Document as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,3,2841278,SHIBA BADAIK,28-Feb-2025 12:32 PM,Rejected-Finance,due to l4 bidder,09-Jun-2025 01:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,2841158,S SUVENDU,28-Feb-2025 02:04 PM,Rejected-Finance,due to l1 bidder but l2 bidder is sc bidder,09-Jun-2025 01:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,2841512,SUSHANTA KUMAR SUNA,28-Feb-2025 02:23 PM,Accepted-AOC,QUALIFIED BIDDER,09-Jun-2025 01:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
