Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Orissa State Police Housing and Welfare Corporation Ltd,18/OPHWC/2024-25,2025_OSPHW_111752_6,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"2,75,000",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit","11,800",0.0,Nil,Nil,No,20-Mar-2025 06:55 PM,07-Apr-2025 10:30 AM,20-Mar-2025 06:55 PM,05-Apr-2025 05:00 PM,NA ,NA ,20-Mar-2025 06:55 PM,05-Apr-2025 05:00 PM,13-May-2025 10:30 AM,"Cluster of Constn. of 8 nos. F type Qtrs. and 1 nos. E type Qtrs. at Agalpur FS, Bolangir",Building Work,Please refer Tender documents  ,NA ,"2,75,00,405",Civil Works - Buildings,NA ,Tender,90.0,300.0,Bolangir,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,AOC,AS PER AS ACCEPTANCE LETTER,Internal,AS PER AS ACCEPTANCE LETTER,Bikram Keshari Malla,18-Jun-2025 03:28 PM,finsummary_533618.pdf (368.59 KB),Technical,TEN BIDDER HAVE PARTICIAPTED,Bikram Keshari Malla,08-Apr-2025 12:35 PM,,Orissa State Police Housing and Welfare Corporation Ltd,2025_OSPHW_111752_6,18/OPHWC/2024-25,"Cluster of Constn. of 8 nos. F type Qtrs. and 1 nos. E type Qtrs. at Agalpur FS, Bolangir",1.0,2876674.0,BIKRAM SETHI,INR,"24,753,114.41",18-Jun-2025,"INR 24,753,114.41",300.0,Bikram Keshari Malla,18-Jun-2025 03:50 PM,WORKORDER8.pdf (652.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 10.06.2025,1,2876674,BIKRAM SETHI,05-Apr-2025 02:55 PM,Accepted-AOC,qualified bidder,18-Jun-2025 03:50 PM,Finance,financial bid open and comparative generated,Bikram Keshari Malla,13-May-2025 12:39 PM,,BOQ Comparative Chart,AS PER TC MINUTES,Internal,AS PER TC MINUTES,BIBHUTI BHUSHAN NAIK,09-May-2025 06:24 PM,13-May-2025 10:30 AM,techsummary_533618.pdf (461.52 KB),AOC
,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,.pdf,Other Document as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2873597,Haresh Kumar Agrawal,05-Apr-2025 12:32 PM,Rejected-Finance,DUE TO L1 BIDDER BUT SC BIDDER GET WORK,18-Jun-2025 03:28 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2876282,KT CONSTRUCTION,04-Apr-2025 09:23 PM,Rejected-Finance,DUE TO L1 BIDDEDUE TO L1 BIDDER BUT SC BIDDER GET WORK,18-Jun-2025 03:28 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2876385,M/S BRILLIANT DEVELOPERS,05-Apr-2025 03:53 PM,Rejected-Finance,DUE TO L1 BIDDER BUT SC BIDDER GET WORK,18-Jun-2025 03:28 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2875658,M/S RAMESH KUMAR AGRAWAL,05-Apr-2025 12:57 PM,Rejected-Technical,Non-securing qualifying marks in the Point of Presentation as per DTCN Cl.110(m).,09-May-2025 06:24 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2876496,SANTOSH KUMAR MAHAPATRA,05-Apr-2025 12:14 PM,Rejected-Finance,DUE TO L1 BIDDER BUT SC BIDDER GET WORK,18-Jun-2025 03:28 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2874415,SAROJ KUMAR MISHRA,05-Apr-2025 04:40 PM,Rejected-Finance,DUE TO L1 BIDDER BUT SC BIDDER GET WORK,18-Jun-2025 03:28 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2876630,SHASHIRAM MANGARAJ,05-Apr-2025 03:37 PM,Rejected-Technical,Non-securing qualifying marks in the Point of Presentation as per DTCN Cl.110(m).,09-May-2025 06:24 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2871207,SRI GOPAL PRASAD MISHRA,27-Mar-2025 07:54 PM,Rejected-Finance,DUE TO L2 BIDDER,18-Jun-2025 03:28 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2875520,Tanay Kumar Agrawal,04-Apr-2025 01:48 PM,Rejected-Finance,DUE TO L3 BIDDER,18-Jun-2025 03:28 PM,,,,,,,,,,,,,,AOC
