Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Superintending Engineer,O/o Superintending Engineer RWSS Division Balangir,"18,679",Yes,percentage,1.0%,Nil,Nil,"Supply all materials labour T and P erection testing and commissioning of external power supply of RPWS to village Kanthipali, Haldipadar under Agalpur Block in Balangir District","Supply all materials labour T and P erection testing and commissioning of external power supply of RPWS to village Kanthipali, Haldipadar under Agalpur Block in Balangir District",Please refer DTCN ,NA ,"18,67,934",Electrical Works,Electrical Works ,Tender,90.0,45.0,"Kanthipali, haldipadar under Agalpur Block",767022.0,NA ,NA ,NA ,O/o Superintending Engineer RWSS Division Balangir,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender paper cost, EMD, GST, PAN, Contractor Registration Certificate, Experience Certificate etc",05-Apr-2025 11:00 AM,16-Apr-2025 11:00 AM,05-Apr-2025 11:00 AM,15-Apr-2025 05:00 PM,NA ,NA ,05-Apr-2025 11:00 AM,15-Apr-2025 05:00 PM,1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,Rural Water Supply and Sanitation||RWSS Circle Bolangir||RWSS Division Bolangir,BID NO 26 OF 2024 - 25,2025_RWSS_112211_2,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,19-Jun-2025,"INR 1,867,934",45.0,Khagendra Barik,19-Jun-2025 07:49 PM,KANTHIPALI.pdf (1916.00 KB),L1 BIDDER HAS RESPOND,ROUPYARANJAN_BEHERA,Internal,ARJUN_MATHO_ Khagendra_Barik,Khagendra Barik,19-Jun-2025 07:43 PM,finsummary_535381.pdf (1915.81 KB),Finance,BID HAS BEEN OPENED,Khagendra Barik,18-Apr-2025 12:07 PM,finance_535381.pdf,BOQ Comparative Chart,1,2878521,Arihant Electricals and Engineers,11-Apr-2025 09:46 PM,Rejected-Finance,AFTER TRANSPERENT LOTTERY,19-Jun-2025 07:43 PM,1.0,2884610.0,PNP CONSTRUCTION,INR,"1,587,931",Rural Water Supply and Sanitation||RWSS Circle Bolangir||RWSS Division Bolangir,2025_RWSS_112211_2,BID NO 26 OF 2024 - 25,"Supply all materials labour T and P erection testing and commissioning of external power supply of RPWS to village Kanthipali, Haldipadar under Agalpur Block in Balangir District",ROUPYARANJAN_BEHERA,Internal,ARJUN_MATHO_ Khagendra_Barik,Khagendra Barik,19-Jun-2025 07:36 PM,techsummary_535381.pdf (1915.81 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Document as per DTCN,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,2,2882995,ASHOK CHANDRA PATRA,12-Apr-2025 06:16 PM,Rejected-AOC,REJECTED AS PER OPWD CODE,19-Jun-2025 07:49 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,3,2884164,MAA BHUBANESWARI ELECTRICALS,15-Apr-2025 02:58 PM,Rejected-Finance,AFTER TRANSPERENT LOTTERY,19-Jun-2025 07:43 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,4,2884093,MDSG CONSTRUCTION PRIVATE LIMITED,14-Apr-2025 09:44 PM,Rejected-Finance,AFTER TRANSPERENT LOTTERY,19-Jun-2025 07:43 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,5,2884795,M/S K.P. ELECTRICAL AND ENGINEERS,15-Apr-2025 02:00 PM,Rejected-Finance,AFTER TRANSPERENT LOTTERY,19-Jun-2025 07:43 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,6,2883022,"M/s Ramchandi Construction, Nayagargh",12-Apr-2025 10:12 PM,Rejected-Finance,AFTER TRANSPERENT LOTTERY,19-Jun-2025 07:43 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,7,2879195,M/S SAMBEET SUPPLIERS,10-Apr-2025 11:23 AM,Rejected-Finance,AFTER TRANSPERENT LOTTERY,19-Jun-2025 07:43 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,8,2884682,M/S SAROJINEE POWER AND CONSTRUCTION,15-Apr-2025 01:32 PM,Rejected-Finance,AFTER TRANSPERENT LOTTERY,19-Jun-2025 07:43 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,9,2884447,PABITRA ELECTRICAL WORKSHOP,15-Apr-2025 03:18 PM,Rejected-Finance,AFTER TRANSPERENT LOTTERY,19-Jun-2025 07:43 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,10,2884610,PNP CONSTRUCTION,15-Apr-2025 01:01 PM,Accepted-AOC,AWARDED AS PER OPWD CODE,19-Jun-2025 07:49 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,11,2884834,R S Infrastructure,15-Apr-2025 02:23 PM,Rejected-Finance,AFTER TRANSPERENT LOTTERY,19-Jun-2025 07:43 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,12,2884464,SIMANCHAL KUMAR PANDA,15-Apr-2025 12:36 PM,Rejected-Finance,AFTER TRANSPERENT LOTTERY,19-Jun-2025 07:43 PM,,,,,,,,,,,,,,,,AOC
