S.No,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1.0,Changes in BOQ,Other,,14-Feb-2025 09:00 AM,28-Feb-2025 11:00 AM,14-Feb-2025 09:00 AM,27-Feb-2025 05:00 PM,NA ,NA ,14-Feb-2025 09:00 AM,27-Feb-2025 05:00 PM,EIC-CIVIL||SERNB-CIRCLE-DHENKANAL||EERNB-DIVN-DHENKANAL,SE DKL (R and B) 37/ 2024-25,2025_EICCL_110610_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Supply and Installation of street light for area lighting at runway Birasal Airstrip Dhenkanal,Supply and Installation of street light for area lighting at runway Birasal Airstrip Dhenkanal,please refer tender documents  ,NA ,"48,83,211",Electrical Works,NA ,Tender,90.0,90.0,Dhenkanal,759001.0,NA ,NA ,NA ,SE Dhenkanal R and B Division,No ,No,"6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,SE Dhenkanal R and B Division,SE Dhenkanal R and B Division,1.0,Fee/PreQual/Technical/Finance,.pdf,GSTIN EMD PAN Valid RC Affidavit as per DTCN,"49,000",Yes,fixed,,Nil,Nil,AOC,1,2838623,ANIL KUMAR SAHU,26-Feb-2025 02:01 PM,Rejected-AOC,Disqualified in transparent lottery,25-Jun-2025 08:27 PM,25-Jun-2025,"INR 4,883,211",90.0,JAYANTA PRASAD NAIK,25-Jun-2025 08:27 PM,Birasal.pdf (446.00 KB),Agreement as on 30.04.2025,Superintending Engineer,Internal,Sr DAO AEE Estimator JEE stimator,JAYANTA PRASAD NAIK,25-Jun-2025 07:56 PM,techsummary_530027.pdf (25.12 KB),Superintending Engineer,Internal,Sr DAO AEE Estimator JE Estimator,JAYANTA PRASAD NAIK,25-Jun-2025 08:07 PM,finsummary_530027.pdf (25.12 KB),EIC-CIVIL||SERNB-CIRCLE-DHENKANAL||EERNB-DIVN-DHENKANAL,2025_EICCL_110610_2,SE DKL (R and B) 37/ 2024-25,Supply and Installation of street light for area lighting at runway Birasal Airstrip Dhenkanal,1.0,2839148.0,JUPITER ENGINEERS,INR,"4,151,218",Finance,Open,JAYANTA PRASAD NAIK,28-Feb-2025 06:03 PM,finance_530027.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,.xls,BOQ,,,,,,,AOC,2,2838312,DIVINE ENTERPRISES,26-Feb-2025 10:54 AM,Rejected-AOC,Disqualified in transparent lottery,25-Jun-2025 08:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,2837971,ECO ELECTRIC POWER SOLUTIONS,25-Feb-2025 11:23 PM,Rejected-AOC,Disqualified in transparent lottery,25-Jun-2025 08:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,2838577,EDITION INTERNATIONAL,26-Feb-2025 01:30 PM,Rejected-AOC,Disqualified in transparent lottery,25-Jun-2025 08:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2840265,G-ON ENERGY CONTROLS,27-Feb-2025 03:47 PM,Rejected-AOC,Disqualified in transparent lottery,25-Jun-2025 08:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,2838853,GREEN INNOVATIVE POWER PRIVATE LIMITED,27-Feb-2025 03:24 PM,Rejected-AOC,Disqualified in transparent lottery,25-Jun-2025 08:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,2828631,JAY HANUMAN ENTERPRISES,27-Feb-2025 03:14 PM,Rejected-AOC,Disqualified in transparent lottery,25-Jun-2025 08:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,2839148,JUPITER ENGINEERS,26-Feb-2025 09:15 PM,Accepted-AOC,Work has been awarded,25-Jun-2025 08:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,2840025,MAA ENTERPRISERS,27-Feb-2025 02:03 PM,Rejected-AOC,Disqualified in transparent lottery,25-Jun-2025 08:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,2839644,MARUTI CONSTRUCTIONS,27-Feb-2025 11:52 AM,Rejected-AOC,Disqualified in transparent lottery,25-Jun-2025 08:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
