Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
CCE RWC Baripada,CCE RWC Baripada,"10,000",0.0,Nil,Nil,No,Construction of Road from NH-18 at Nahanandasole chhak to Khadisole via Navadaya school at Salbani Road under MMSY-TRIP in the District of Mayurbhanj for the year 2024-25.,Construction of Road from NH-18 at Nahanandasole chhak to Khadisole via Navadaya school at Salbani Road under MMSY-TRIP in the District of Mayurbhanj for the year 2024-25.,Please refer Tender documents. ,NA ,"3,03,13,000",Civil Works - Roads,NA ,Tender,90.0,270.0,"SERW Division, Baripada",757002.0,NA ,NA ,NA ,CCE RWC Baripada,No ,No,1.0,Fee/PreQual/Technical,.pdf,"Paper cost, RC, PAN, GSTIN and EMD etc as per DTCN",24-Dec-2024 05:00 PM,07-Jan-2025 11:00 AM,24-Dec-2024 05:00 PM,06-Jan-2025 05:00 PM,24-Dec-2024 05:00 PM ,04-Jan-2025 05:00 PM ,24-Dec-2024 05:00 PM,06-Jan-2025 05:00 PM,12-Feb-2025 11:00 AM,1.0,ICICI BANK,"3,03,130",Yes,percentage,1.0%,Nil,Nil,CE RW I||RWCIRCLE-BARIPADA,Road Online N.C.B. No-360,2024_CERWI_108727_8,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,Technical,13 Nos of bidder participated,Ashwani Pradhan,06-Feb-2025 11:33 AM,,CE RW I||RWCIRCLE-BARIPADA,2024_CERWI_108727_8,Road Online N.C.B. No-360,Construction of Road from NH-18 at Nahanandasole chhak to Khadisole via Navadaya school at Salbani Road under MMSY-TRIP in the District of Mayurbhanj for the year 2024-25.,"CCERWCIRCLE, BARIPADA",Internal,,Ashwani Pradhan,15-Feb-2025 01:14 PM,finsummary_521784.pdf (1499.46 KB),1.0,2729062.0,KRUSHNA KUMAR KHANDELWAL,INR,"25,769,299",1,2726473,AJAY KUMAR ROUT,06-Jan-2025 01:07 PM,Rejected-AOC,L1,21-Jun-2025 11:12 AM,21-May-2025,"INR 25,769,299",270.0,Akshaya Kumar Naik,21-Jun-2025 11:12 AM,Nahandasole.pdf (144.00 KB),"CCERWCIRCLE, BARIPADA",Internal,,Ashwani Pradhan,06-Feb-2025 12:45 PM,12-Feb-2025 11:00 AM,techsummary_521784.pdf (913.20 KB),Finance,11 Nos of bidders Admitted,Ashwani Pradhan,15-Feb-2025 11:54 AM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"ATO, similar nature of work experience etc as per DTCN",,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,2731836,Durga Shankar Mohapatra,06-Jan-2025 12:55 PM,Rejected-AOC,L3,21-Jun-2025 11:12 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machineries, Affidavit etc as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,2732691,GAGAN KUMAR SINGH,06-Jan-2025 04:51 PM,Rejected-AOC,L2,21-Jun-2025 11:12 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4,2725529,GOLAK BIHARI NAYAK,05-Jan-2025 09:32 PM,Rejected-AOC,L1,21-Jun-2025 11:12 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,5,2731982,JASHOBANTA SAHU,06-Jan-2025 01:20 PM,Rejected-Technical,Non submission of RC and GSTIN,06-Feb-2025 12:45 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,6,2732342,KIRAN KUMAR DAS,06-Jan-2025 02:56 PM,Rejected-AOC,L1,21-Jun-2025 11:12 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,7,2729062,KRUSHNA KUMAR KHANDELWAL,06-Jan-2025 03:08 PM,Accepted-AOC,L1,21-Jun-2025 11:12 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,8,2729131,LAXMI KANTA MOHAKUD,06-Jan-2025 02:39 PM,Rejected-AOC,L1,21-Jun-2025 11:12 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,9,2731511,M/S ALPHA CONSTRUCTION,06-Jan-2025 03:31 PM,Rejected-Technical,Declaration of Hot mix plant is not furnished,06-Feb-2025 12:45 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,10,2724794,MS SHAKTIMAN BUILDERS,06-Jan-2025 01:42 PM,Rejected-AOC,L1,21-Jun-2025 11:12 AM,,,,,,,,,,,,,,,,,,,,AOC
