Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Periodical Maintenance of 5 years completed PMGSY roads under PMGSY Package No OR-16-PM-14 (a)Andhalo to Patsura road (b)Madana to Jagannathpur road (c)Patkura to Samsara road in the District of Kendrapara for the year 2024-25,Construction of road works,Please refer tender documents ,NA ,"1,25,20,934",Civil Works - Roads,NA ,Tender,90.0,180.0,Kendrapara,754211.0,NA ,NA ,NA ,"O/o CCE,R.W Circle,Kendrapara-Jajpur",No ,No,"Chief Construction Engineer,R.W Circle KPD-JJP","O/o CCE,R.W Circle,Kendrapara-Jajpur",CE RW I||RWCIRCLE-KENDRAPARA,Tender Online RCK-23/24,2025_CERWI_109692_3,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Paper cost, EMD ,GST,PAN,RC, Affidavit regarding correctness",21-Jan-2025 05:00 PM,01-Feb-2025 11:00 AM,21-Jan-2025 05:00 PM,31-Jan-2025 05:00 PM,21-Jan-2025 05:00 PM ,31-Jan-2025 02:00 PM ,21-Jan-2025 05:00 PM,31-Jan-2025 05:00 PM,15-Feb-2025 11:30 AM,1.0,ICICI BANK,"1,25,209",Yes,percentage,1.0%,Nil,Nil,"10,000",0.0,Nil,Nil,No,AOC,1,2791634,DEBASIS DAS,31-Jan-2025 02:59 PM,Rejected-Technical,"Disqualified due to insufficient ATO as per clause no. 12 ii of Qualification criteria on General Experience, of DTCN.",12-Feb-2025 01:46 PM,18-Jun-2025,"INR 10,644,046.1",180.0,Prachi Tamasa,18-Jun-2025 04:29 PM,1857.pdf (538.00 KB),The work has been awarded to Kishore Ku Panda,Finance,04 no of bidders have been participated,Nibedita Nayak,15-Feb-2025 12:52 PM,,BOQ Comparative Chart,CCE,Internal,"CCE, DAO",Nibedita Nayak,12-Feb-2025 01:46 PM,15-Feb-2025 11:30 AM,techsummary_526813.pdf (1457.97 KB),CCE,Internal,,Prachi Tamasa,18-Jun-2025 04:25 PM,finsummary_526813.pdf (125.98 KB),CE RW I||RWCIRCLE-KENDRAPARA,2025_CERWI_109692_3,Tender Online RCK-23/24,Periodical Maintenance of 5 years completed PMGSY roads under PMGSY Package No OR-16-PM-14 (a)Andhalo to Patsura road (b)Madana to Jagannathpur road (c)Patkura to Samsara road in the District of Kendrapara for the year 2024-25,Technical,06 no of bidders have participated,Nibedita Nayak,01-Feb-2025 03:40 PM,,1.0,2789511.0,KISHORE KUMAR PANDA,INR,"10,644,046.1",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Labour license ,Similar nature of work ,Annual Turn Over,Work in hand ,No relation certificate",,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,AOC,2,2789511,KISHORE KUMAR PANDA,31-Jan-2025 01:28 PM,Accepted-AOC,The work has been awarded to Kishore Ku Panda,18-Jun-2025 04:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machinery own obtained on hire, Balance sheet Bidder Contact address and other documents as per DTCN",,,,,,,,,,,,,,,,,,,,,,,AOC,3,2790274,MAMALI MADHUSMITA,30-Jan-2025 07:25 PM,Rejected-Technical,"Disqualified due to insufficient ATO as per clause no. 12 ii of Qualification criteria on General Experience, of DTCN and insufficient Bid Capacity as per clause no. 12 iii of DTCN",12-Feb-2025 01:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,AOC,4,2789283,Manas Ranjan Panda,31-Jan-2025 08:08 AM,Rejected-Finance,Rejected Bidder,18-Jun-2025 04:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2791719,RAJESH KUMAR SAHANI,31-Jan-2025 04:14 PM,Rejected-Finance,Rejected Bidder,18-Jun-2025 04:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,2786303,SUBASH CHANDRA KABI,30-Jan-2025 06:09 PM,Rejected-Finance,Rejected Bidder,18-Jun-2025 04:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
