Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Stage
City Engineer,Internal,"EECENTRALTENDERCELL,EEDIVISIONI,EEDRAINAGEDIVISION,ZONALCOMMISSIONER(LEGAL),CHIEFFINACEOFFICER",Lipsa Parida,25-Jun-2025 05:07 PM,techsummary_532866.pdf (2279.94 KB),1,2862013,BABA PATALESWAR ENGINEERING WORK,19-Mar-2025 09:24 AM,Rejected-Finance,Rejected,25-Jun-2025 05:15 PM,Finance,13 bids opened successfully,Lipsa Parida,19-Mar-2025 04:58 PM,finance_532866.pdf,BOQ Comparative Chart,Municipal Bodies||Bhubaneswar Municipal Corporation,2025_ORULB_111543_7,BMC-EE-Tender Cell-67/2024-25 Dt. 10.03.2025,Fitting fixing of Temporary shed at the Traffic Junction for protection from heat wave at Kalinga Hospital square in BMC North Zone Area.,AOC,1.0,ICICI BANK,Fitting fixing of Temporary shed at the Traffic Junction for protection from heat wave at Kalinga Hospital square in BMC North Zone Area.,Fitting fixing of Temporary shed at the Traffic Junction for protection from heat wave at Kalinga Hospital square in BMC North Zone Area.,Please refer Tender documents. ,NA ,"11,81,021",Civil Works - Others,NA ,Tender,120.0,7.0,BMC Area,751022.0,"City engineer chamber, BMC ","BMC, ICOMC Tower,Infront of Satya Nagar Kali Mandir, ",13-Mar-2025 12:30 PM ,"Central Tender Cell,BMC",No ,No,Municipal Bodies||Bhubaneswar Municipal Corporation,BMC-EE-Tender Cell-67/2024-25 Dt. 10.03.2025,2025_ORULB_111543_7,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,"EE Central Tender Cell,BMC","BMC, ICOMC Tower,Infront of Satya Nagar Kali Mandir,","11,900",Yes,fixed,,Nil,Nil,12-Mar-2025 04:00 PM,19-Mar-2025 03:30 PM,12-Mar-2025 04:00 PM,19-Mar-2025 03:00 PM,12-Mar-2025 04:00 PM ,13-Mar-2025 11:30 AM ,12-Mar-2025 04:00 PM,19-Mar-2025 03:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,Scanned copies of all documents,AOC
,,,,,,2,2862085,BINAY PRASAD MOHAPATRA,19-Mar-2025 02:57 PM,Accepted-AOC,L1 bidder,25-Jun-2025 05:24 PM,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC
,,,,,,3,2862079,BIPIN SWAIN,19-Mar-2025 11:09 AM,Rejected-Finance,Rejected,25-Jun-2025 05:15 PM,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,4,2859550,BULLAN MALLA,18-Mar-2025 04:13 PM,Rejected-Finance,Rejected,25-Jun-2025 05:15 PM,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,5,2855265,DEEPAK KUMAR NAYAK,14-Mar-2025 08:51 PM,Rejected-Finance,Rejected,25-Jun-2025 05:15 PM,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,6,2862310,JHIA MAA AGENCY,19-Mar-2025 02:45 PM,Rejected-Finance,Rejected,25-Jun-2025 05:15 PM,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,7,2855831,NIRUPAMA MALLICK,15-Mar-2025 07:30 PM,Rejected-Finance,Rejected,25-Jun-2025 05:15 PM,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,8,2862129,SAMBIT RAY,19-Mar-2025 01:27 PM,Rejected-Finance,Rejected,25-Jun-2025 05:15 PM,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,9,2859992,SANTOSH KUMAR BHOI,18-Mar-2025 07:44 PM,Rejected-Finance,Rejected,25-Jun-2025 05:15 PM,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,10,2862263,SAROJ KUMAR SAHOO,19-Mar-2025 01:27 PM,Rejected-Finance,Rejected,25-Jun-2025 05:15 PM,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
