Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Forest Environment and Climate Change Department||Nandankanan Zoological Park,61/PMU/NKZP,2025_NZP_111217_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,CONSTRUCTION OF REPTILE QUARANTINE INSIDE NANDANKANAN ZOOLOGICAL PARK,CONSTRUCTION OF REPTILE QUARANTINE INSIDE NANDANKANAN ZOOLOGICAL PARK,Please refer Tender documents. ,NA ,,Civil Works - Others,NA ,Tender,90.0,60.0,Nandankanan,754005.0,Nandanankanan zoological park ,Nandanankanan zoological park ,03-Mar-2025 11:00 AM ,Nandanankanan zoological park,No ,No,"1,46,912",Yes,fixed,,Nil,Nil,Deputy Director Nandankanan,Deputy Director Nandankanan,1,ICICI BANK,01-Mar-2025 05:00 PM,07-Mar-2025 10:00 AM,01-Mar-2025 05:00 PM,06-Mar-2025 05:00 PM,NA ,NA ,01-Mar-2025 05:00 PM,06-Mar-2025 05:00 PM,07-Mar-2025 05:00 PM,1,Fee/PreQual/Technical,.pdf,DTCN,"11,800",Nil,Nil,No,AOC,25-Mar-2025,"INR 12,489,055",60.0,Durga Ballav Rath,30-Jun-2025 06:23 PM,RQ.pdf (501.00 KB),AOC,Finance,Refer to the Document.,Manasmita Maharana,10-Mar-2025 12:28 PM,finance_531728.pdf,BOQ Comparative Chart,1.0,2845594.0,Shyamsundar Realcon private limited,INR,"12,489,055",Technical,Summary,Durga Ballav Rath,07-Mar-2025 04:53 PM,technical_531728.pdf,Chairman,Internal,and Others,Durga Ballav Rath,24-Mar-2025 12:08 PM,finsummary_531728.pdf (849.09 KB),Forest Environment and Climate Change Department||Nandankanan Zoological Park,2025_NZP_111217_1,61/PMU/NKZP,CONSTRUCTION OF REPTILE QUARANTINE INSIDE NANDANKANAN ZOOLOGICAL PARK,1,2845169,LAXMIDHAR SAMAL,05-Mar-2025 08:20 PM,Rejected-AOC,Lottery,30-Jun-2025 06:24 PM,Deputy Director,Internal,"ACF , Section Officer",Durga Ballav Rath,07-Mar-2025 04:55 PM,07-Mar-2025 05:00 PM,techsummary_531728.pdf (1225.47 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,2,Finance,.xls,BOQ,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2845594,Shyamsundar Realcon private limited,06-Mar-2025 12:01 PM,Accepted-AOC,Lottery,30-Jun-2025 06:24 PM,,,,,,,,AOC
