Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Construction of Kilusing Nalla Check Dam at Jinipur in Rayagada block of Gajapati district under MATY Scheme 2024-25,Construction of Kilusing Nalla Check Dam at Jinipur in Rayagada block of Gajapati district under MATY Scheme 2024-25,AS PER DTCN ,NA ,"42,48,530",Civil Works - Others,NA ,Tender,90.0,180.0,RAYAGADA,761213.0,NA ,NA ,NA ,"O/o Superintending Engineer,M.I.Division,Gajapati",No ,No,1.0,ICICI BANK,"42,500",Yes,fixed,,Nil,Nil,29-Jan-2025 10:00 AM,10-Feb-2025 11:00 AM,29-Jan-2025 10:00 AM,07-Feb-2025 05:00 PM,29-Jan-2025 10:00 AM ,07-Feb-2025 05:00 PM ,29-Jan-2025 10:00 AM,07-Feb-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,Scan copy of valid RC Active Certificate GSTN PAN Affidavit and other documents as per DTC,"CE,Minor Irrigation,BBSR||SESMIC-BERHAMPUR||GANJAM II",MIDGJP-11/2024-25,2025_CEMIB_109793_6,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,SUPERINTENDING ENGINEER,"O/o Superintending Engineer,M.I.Division,Gajapati","6,000",0.0,Nil,Nil,No,AOC,17-Jun-2025,"INR 4,248,530.42",180.0,KIRAN KUMAR SUBUDHY,17-Jun-2025 05:54 AM,AOC6.pdf (1194.00 KB),1,2802217,Amit kumar raulo,07-Feb-2025 12:50 PM,Rejected-AOC,UN SUCCESSFULLY,17-Jun-2025 05:54 AM,KIRAN SUBUDHY,Internal,,KIRAN KUMAR SUBUDHY,17-Jun-2025 05:37 AM,techsummary_527422.pdf (20.20 KB),"CE,Minor Irrigation,BBSR||SESMIC-BERHAMPUR||GANJAM II",2025_CEMIB_109793_6,MIDGJP-11/2024-25,Construction of Kilusing Nalla Check Dam at Jinipur in Rayagada block of Gajapati district under MATY Scheme 2024-25,KIRAN SUBUDHY,Internal,,KIRAN KUMAR SUBUDHY,17-Jun-2025 05:44 AM,finsummary_527422.pdf (40.71 KB),Finance,14 NOS AER BIDDERS PARTICIPATED IN THIS TENDER,KIRAN KUMAR SUBUDHY,17-Jun-2025 05:24 AM,,BOQ Comparative Chart,1.0,2800364.0,CHITTA RANJAN PARIDA,INR,"3,611,675.71",AOC
,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2,2802789,BALAGA SWATHI,07-Feb-2025 04:50 PM,Rejected-AOC,UN SUCCESSFULLY,17-Jun-2025 05:54 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3,2800364,CHITTA RANJAN PARIDA,06-Feb-2025 12:41 PM,Accepted-AOC,SELECTED THROUGH LOTTERY SYSTEM AS 1ST LOWEST,17-Jun-2025 05:54 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,4,2792973,D.HARISH KUMAR,01-Feb-2025 04:24 PM,Rejected-AOC,UN SUCCESSFULLY,17-Jun-2025 05:54 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,5,2797537,EPPILI MANMADHA RAO,07-Feb-2025 09:09 AM,Rejected-AOC,UN SUCCESSFULLY,17-Jun-2025 05:54 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,6,2800710,GANESH SWAIN,06-Feb-2025 06:44 PM,Rejected-AOC,UN SUCCESSFULLY,17-Jun-2025 05:54 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,7,2801914,HRUSHIKESH NAYAK,07-Feb-2025 07:22 AM,Rejected-AOC,UN SUCCESSFULLY,17-Jun-2025 05:54 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,8,2799516,OTTI JENESH,05-Feb-2025 06:04 PM,Rejected-AOC,UN SUCCESSFULLY,17-Jun-2025 05:54 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,9,2802645,Padala Taraka Rao,07-Feb-2025 03:38 PM,Rejected-AOC,UN SUCCESSFULLY,17-Jun-2025 05:54 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,10,2795790,P MUTTI RAJU,03-Feb-2025 09:01 PM,Rejected-AOC,UN SUCCESSFULLY,17-Jun-2025 05:54 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
