S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage
1.0,2792048.0,CHAKRADHAR DAS,INR,"1,765,728.62",Finance,All bids are Accepted.,Nachiketa Mahakud,11-Feb-2025 05:42 PM,,BOQ Comparative Chart,ER. Manas Ranjan Dash,Internal,,MANAS RANJAN DASH,24-Jun-2025 05:07 PM,finsummary_526981.pdf (531.68 KB),"CE,Minor Irrigation,BBSR||Baripada Minor Irrigation Circle Baripada||MI Division Mayurbhanj",2025_CEMIB_109742_2,07 MID(JSP/2024-25),Canal Lining from RD578m to 910m of RMC and 910m to 1078m of LMC of Chakulia MIP in Thakurmunda Block of Mayurbhanj District under ERM Scheme for the year 2024-25,ER. Manas Ranjan Dash,Internal,,MANAS RANJAN DASH,24-Jun-2025 11:19 AM,techsummary_526981.pdf (531.68 KB),1,2790756,ARSED HUSSAIN,01-Feb-2025 09:19 PM,Rejected-AOC,UnSuccessful through lottery,24-Jun-2025 05:54 PM,24-Jun-2025,"INR 2,077,083.42",45.0,MANAS RANJAN DASH,24-Jun-2025 05:54 PM,ChakuliaERM.pdf (541.00 KB),AOC,"6,000",0.0,Nil,Nil,No,"CE,Minor Irrigation,BBSR||Baripada Minor Irrigation Circle Baripada||MI Division Mayurbhanj",07 MID(JSP/2024-25),2025_CEMIB_109742_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Canal Lining from RD578m to 910m of RMC and 910m to 1078m of LMC of Chakulia MIP in Thakurmunda Block of Mayurbhanj District under ERM Scheme for the year 2024-25,Canal Lining from RD578m to 910m of RMC and 910m to 1078m of LMC of Chakulia MIP in Thakurmunda Block of Mayurbhanj District under ERM Scheme for the year 2024-25.,C and B ,NA ,"20,77,083",Civil Works - Others,NA ,Tender,90.0,45.0,Thakurmunda,757038.0,NA ,NA ,NA ,"O/O SE MI Division, Jashipur",No ,No,"SE MI Division, Jashipur","O/O SE MI Division, Jashipur","20,800",Yes,fixed,,Nil,Nil,24-Jan-2025 10:00 AM,04-Feb-2025 11:00 AM,24-Jan-2025 10:00 AM,03-Feb-2025 05:00 PM,24-Jan-2025 10:00 AM ,03-Feb-2025 05:00 PM ,24-Jan-2025 10:00 AM,03-Feb-2025 05:00 PM,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC,GSTIN,AFFIDAVIT,PAN,LITTIGATION, NO-RELATION...etc",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2793704,BAIDYANATH HEMBRAM,02-Feb-2025 03:54 PM,Rejected-AOC,UnSuccessful through lottery,24-Jun-2025 05:54 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BOQ,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2793189,BANDITA NAYAK,01-Feb-2025 07:59 PM,Rejected-AOC,UnSuccessful through lottery,24-Jun-2025 05:54 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2793263,BIRUPAKSHYA SENAPATI,01-Feb-2025 10:16 PM,Rejected-AOC,UnSuccessful through lottery,24-Jun-2025 05:54 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2782840,CHAITANYA PANDIT,01-Feb-2025 10:05 AM,Rejected-AOC,UnSuccessful through lottery,24-Jun-2025 05:54 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2792048,CHAKRADHAR DAS,31-Jan-2025 07:29 PM,Accepted-AOC,Successful through lottery,24-Jun-2025 05:54 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2785685,JATISH RANJAN DASH,03-Feb-2025 01:11 PM,Rejected-AOC,UnSuccessful through lottery,24-Jun-2025 05:54 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2794671,JYOTISMITA SAHU,03-Feb-2025 01:17 PM,Rejected-AOC,UnSuccessful through lottery,24-Jun-2025 05:54 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2793272,MANOJ KUMAR NAYAK,01-Feb-2025 10:55 PM,Rejected-AOC,UnSuccessful through lottery,24-Jun-2025 05:54 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2790762,PADMALOCHAN PANDA,31-Jan-2025 09:54 PM,Rejected-AOC,UnSuccessful through lottery,24-Jun-2025 05:54 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
