Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Finance,COMPARATIVE STATEMENT,Anil Kumar Das,17-Apr-2025 01:03 PM,finance_534961.pdf,BOQ Comparative Chart,13-Jun-2025,"INR 426,489",90.0,Anil Kumar Das,17-Jun-2025 08:45 PM,3982.pdf (311.00 KB),CE RW I||SE RW PH CIRCLE BBSR||EE RW PH DIVN. BBSR,2025_CERWI_111988_24,EERWPH-40/2024-25,PH works for construction of GHD building at Kardangi of Telkoi block in the district of Keonjhar.,1.0,2880187.0,RATHA KISHORE SAHOO,INR,"426,489",1,2880957,AKHOJI RAY,10-Apr-2025 04:22 PM,Rejected-Finance,Not Qualified in Transparency lottery,13-Jun-2025 01:39 PM,Executive Engineer,Internal,,Anil Kumar Das,28-Apr-2025 02:34 PM,techsummary_534961.pdf (537.76 KB),Executive Engineer,Internal,,Debasish Soren,13-Jun-2025 01:39 PM,finsummary_534961.pdf (60.43 KB),AOC,"4,000",0.0,Nil,Nil,No,1.0,ICICI BANK,02-Apr-2025 11:00 AM,15-Apr-2025 11:00 AM,02-Apr-2025 11:00 AM,11-Apr-2025 05:00 PM,NA ,NA ,02-Apr-2025 11:00 AM,11-Apr-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Valid License Document as per tender class of contractor in NIT, GST, Certificate, PAN Card.","5,100",Yes,fixed,,Nil,Nil,PH works for construction of GHD building at Kardangi of Telkoi block in the district of Keonjhar.,PH works for construction of GHD building at Kardangi of Telkoi block in the district of Keonjhar.,Please refer Tender documents. ,NA ,"5,01,693",Civil Works - Buildings,NA ,Tender,90.0,NA ,Kardangi,758019.0,NA ,NA ,NA ,"O/O THE SE RW (PH) DIVISION,BHUBANESWAR",No ,No,"Executive Engineer,RW (PH) Division, BBSR","SE RW (PH) DIVISION, BBSR Behind Esplande mall, Bomikhal, Rasulgarh,751010",CE RW I||SE RW PH CIRCLE BBSR||EE RW PH DIVN. BBSR,EERWPH-40/2024-25,2025_CERWI_111988_24,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,2,2882580,DILLIP KUMAR BEHERA,11-Apr-2025 04:47 PM,Rejected-Finance,Not Qualified in Transparency lottery,13-Jun-2025 01:39 PM,,,,,,,,,,,,,AOC,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,.pdf,"EMD, Tender Paper cost, Affidavit for correctness and no Relation Certificate.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,3,2880376,GURUDEV NAIK,11-Apr-2025 08:53 AM,Rejected-Finance,Not Qualified in Transparency lottery,13-Jun-2025 01:39 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,4,2879206,KAPILA CHARAN MALIK,08-Apr-2025 06:04 PM,Rejected-Finance,Not Qualified in Transparency lottery,13-Jun-2025 01:39 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,5,2882110,MIHIR KUMAR SAHU,11-Apr-2025 01:11 PM,Rejected-Finance,Not Qualified in Transparency lottery,13-Jun-2025 01:39 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,6,2882465,M/S SAI CONSTRUCTION,11-Apr-2025 04:17 PM,Rejected-Finance,Not Qualified in Transparency lottery,13-Jun-2025 01:39 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,7,2877268,NISHIKANTA SUTAR,06-Apr-2025 12:24 PM,Rejected-Finance,Not Qualified in Transparency lottery,13-Jun-2025 01:39 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,8,2880779,PRADEEP KUMAR SAHOO,11-Apr-2025 12:45 PM,Rejected-Finance,Not Qualified in Transparency lottery,13-Jun-2025 01:39 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,9,2882479,PRAKASH GHADEI,11-Apr-2025 04:09 PM,Rejected-Finance,Not Qualified in Transparency lottery,13-Jun-2025 01:39 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,10,2882545,PRASANNA KUMAR PRADHAN,11-Apr-2025 04:32 PM,Rejected-Finance,Not Qualified in Transparency lottery,13-Jun-2025 01:39 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
