Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage
EXECUTIVE OFFICER,DHARMAGARH NAC,20-Mar-2025 03:00 PM,10-Apr-2025 10:00 AM,20-Mar-2025 03:00 PM,08-Apr-2025 05:00 PM,NA ,NA ,20-Mar-2025 03:00 PM,08-Apr-2025 05:00 PM,"6,407",Yes,fixed,,Nil,Nil,Municipal Bodies||Dharmagarh NAC,DHM/01/2024-25,2025_ORULB_111779_31,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,IMPROVEMENT OF ROAD AND CONSTRUCTION OF DRAIN WITH ROADFROM JANGYASINI HOUSE TO MANOJ BAG HOUSEVIA RAJURAM BAGHOUSE IN WARD NO-02,IMPROVEMENT OF ROAD AND CONSTRUCTION OF DRAIN WITH ROADFROM JANGYASINI HOUSE TO MANOJ BAG HOUSEVIA RAJURAM BAGHOUSE IN WARD NO-02,Please refer Tender documents. ,NA ,"6,40,678",Civil Works - Roads,NA ,Tender,60.0,60.0,DHARMAGARH NAC,766015.0,NA ,NA ,NA ,DHARMAGARH NAC,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, PAN,GST Tender Paper cost, EMD and other document as per DTCN",1.0,ICICI BANK,"4,000",0.0,Nil,Nil,No,AOC,Ashok Kumar Mohanty,Mixed,"Birsingh Biroli,Rajiblochan Podh,Sarat Kumar Sahoo",Pramod Kumar Khillo,31-May-2025 12:08 PM,techsummary_533845.pdf (1285.36 KB),Ashok Kumar Mohanty,Mixed,"Birsingh Biroli,Rajiblochan Podh,Sarat Kumar Sahoo",Pramod Kumar Khillo,01-Jun-2025 08:46 AM,finsummary_533845.pdf (1285.36 KB),Finance,Summary,Pramod Kumar Khillo,31-May-2025 10:46 AM,finance_533845.pdf,BOQ Comparative Chart,1,2868599,AISCHARYA GOYAL,28-Mar-2025 11:49 PM,Rejected-Finance,By the tender committee,01-Jun-2025 08:46 AM,Municipal Bodies||Dharmagarh NAC,2025_ORULB_111779_31,DHM/01/2024-25,IMPROVEMENT OF ROAD AND CONSTRUCTION OF DRAIN WITH ROADFROM JANGYASINI HOUSE TO MANOJ BAG HOUSEVIA RAJURAM BAGHOUSE IN WARD NO-02,1.0,2877206.0,MAHENDRA NAIK,INR,"544,640.47",02-Jun-2025,"INR 544,640.47",60.0,Pramod Kumar Khillo,01-Jun-2025 08:56 AM,PROCEEDING.pdf (1285.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,2.0,ICICI NEFT/RTGS,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,2878886,DIPTIMAYEE JENA,08-Apr-2025 03:02 PM,Rejected-Finance,By the tender committee,01-Jun-2025 08:46 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3,2878837,KHUSBU AGRAWAL,08-Apr-2025 02:51 PM,Rejected-Finance,By the tender committee,01-Jun-2025 08:46 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,4,2877206,MAHENDRA NAIK,06-Apr-2025 04:51 PM,Accepted-AOC,By the tender committee,01-Jun-2025 08:56 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,5,2877469,MANOJ KUMAR AGRAWAL,08-Apr-2025 01:48 PM,Rejected-AOC,By the tender committee,01-Jun-2025 08:56 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,6,2876324,M/S ASHISH MOHANTY,04-Apr-2025 10:45 PM,Rejected-Finance,By the tender committee,01-Jun-2025 08:46 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,7,2878965,PARESWAR PRADHANI,08-Apr-2025 03:43 PM,Rejected-Finance,By the tender committee,01-Jun-2025 08:46 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,8,2877851,PRATAP KISHOR NAIK,07-Apr-2025 12:50 PM,Rejected-Finance,By the tender committee,01-Jun-2025 08:46 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,9,2867917,RASHMI RANJAN JENA,29-Mar-2025 10:49 AM,Rejected-Finance,By the tender committee,01-Jun-2025 08:46 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,10,2878263,RATHA MEHER,08-Apr-2025 10:20 AM,Rejected-Finance,By the tender committee,01-Jun-2025 08:46 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,11,2868237,ROSAN PRADHAN,29-Mar-2025 08:45 AM,Rejected-Finance,By the tender committee,01-Jun-2025 08:46 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,12,2876897,SANJAYA KUMAR JAIN,05-Apr-2025 05:38 PM,Rejected-Finance,By the tender committee,01-Jun-2025 08:46 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,13,2878488,SAROJ KUMAR NAIK,07-Apr-2025 11:06 PM,Rejected-Finance,By the tender committee,01-Jun-2025 08:46 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,14,2878684,S K DEVELOPERS,08-Apr-2025 10:50 AM,Rejected-Finance,By the tender committee,01-Jun-2025 08:46 AM,,,,,,,,,,,,,,,,AOC
